batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.61306,0.33124,41511
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.60913,0.34391,41511
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.60661,0.33478,41511
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.58784,0.34757,41511
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.59789,0.33606,41511
0,0,age_bin,ema_d0.99,0.01,0.0001,1.6044,0.33076,41511
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.65186,0.32517,41511
0,0,age_bin,mlp_h16,0.001,0.0,1.11357,0.3355,41511
0,0,age_bin,mlp_h32,0.001,0.0,1.11857,0.32888,41511
0,0,age_bin,mlp_h64,0.001,0.0,1.13242,0.3158,41511
0,0,age_bin,mlp_h128,0.001,0.0,1.10696,0.36651,41511
0,0,age_bin,attention,0.0001,1e-05,1.09855,0.3125,41511
0,0,age_bin,shuffled,0.01,0.0001,1.61405,0.33883,41511
0,0,gender,ema_lr1e-3,0.001,0.0001,1.08668,0.5023,41511
0,0,gender,ema_lr5e-3,0.005,0.0001,1.06836,0.49977,41511
0,0,gender,ema_lr1e-2,0.01,0.0001,1.08045,0.49854,41511
0,0,gender,ema_lr5e-2,0.05,0.0001,1.06423,0.5024,41511
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.01945,0.50854,41511
0,0,gender,ema_d0.99,0.01,0.0001,1.06317,0.49437,41511
0,0,gender,ema_d0.9999,0.01,0.0001,1.06787,0.50064,41511
0,0,gender,mlp_h16,0.001,0.0,0.73453,0.48746,41511
0,0,gender,mlp_h32,0.001,0.0,0.70649,0.50073,41511
0,0,gender,mlp_h64,0.001,0.0,0.71227,0.4878,41511
0,0,gender,mlp_h128,0.001,0.0,0.70489,0.50603,41511
0,0,gender,attention,0.0001,1e-05,0.69287,0.5625,41511
0,0,gender,shuffled,0.01,0.0001,1.0454,0.50196,41511
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.27423,0.08728,41511
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.31043,0.08569,41511
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.32218,0.08429,41511
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.28037,0.08552,41511
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.32584,0.08082,41511
0,0,star_sign,ema_d0.99,0.01,0.0001,3.28961,0.08562,41511
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.28592,0.07902,41511
0,0,star_sign,mlp_h16,0.001,0.0,2.4595,0.11464,41511
0,0,star_sign,mlp_h32,0.001,0.0,2.51659,0.06138,41511
0,0,star_sign,mlp_h64,0.001,0.0,2.50545,0.07757,41511
0,0,star_sign,mlp_h128,0.001,0.0,2.50797,0.07747,41511
0,0,star_sign,attention,0.0001,1e-05,2.48509,0.05469,41511
0,0,star_sign,shuffled,0.01,0.0001,3.30235,0.08391,41511
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.62656,0.33331,41511
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.65534,0.3202,41511
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.57132,0.34723,41511
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.56163,0.34307,41511
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.60319,0.32724,41511
0,4,age_bin,ema_d0.99,0.01,0.0001,1.57056,0.3435,41511
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.68755,0.30592,41511
0,4,age_bin,mlp_h16,0.001,0.0,1.13763,0.33316,41511
0,4,age_bin,mlp_h32,0.001,0.0,1.10743,0.34644,41511
0,4,age_bin,mlp_h64,0.001,0.0,1.11944,0.32921,41511
0,4,age_bin,mlp_h128,0.001,0.0,1.1156,0.32495,41511
0,4,age_bin,attention,0.0001,1e-05,1.09581,0.375,41511
0,4,age_bin,shuffled,0.01,0.0001,1.58784,0.33586,41511
0,4,gender,ema_lr1e-3,0.001,0.0001,1.05331,0.49399,41511
0,4,gender,ema_lr5e-3,0.005,0.0001,1.04234,0.50211,41511
0,4,gender,ema_lr1e-2,0.01,0.0001,1.06583,0.49079,41511
0,4,gender,ema_lr5e-2,0.05,0.0001,1.07335,0.50488,41511
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.06391,0.50302,41511
0,4,gender,ema_d0.99,0.01,0.0001,1.02712,0.50329,41511
0,4,gender,ema_d0.9999,0.01,0.0001,1.03246,0.5003,41511
0,4,gender,mlp_h16,0.001,0.0,0.70438,0.49165,41511
0,4,gender,mlp_h32,0.001,0.0,0.70521,0.50782,41511
0,4,gender,mlp_h64,0.001,0.0,0.70695,0.49466,41511
0,4,gender,mlp_h128,0.001,0.0,0.69949,0.51952,41511
0,4,gender,attention,0.0001,1e-05,0.69444,0.4375,41511
0,4,gender,shuffled,0.01,0.0001,1.04186,0.49963,41511
0,4,star_sign,ema_lr1e-3,0.001,0.0001,3.27187,0.08639,41511
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.28879,0.0815,41511
0,4,star_sign,ema_lr1e-2,0.01,0.0001,3.25196,0.08562,41511
0,4,star_sign,ema_lr5e-2,0.05,0.0001,3.31269,0.07904,41511
