model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
meta-llama/Llama-3.2-1B,ema_lr1e-3,0,age_bin,0.38187,0.38156,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,0,age_bin,0.41947,0.41189,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,0,age_bin,0.41137,0.3833,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,0,age_bin,0.50185,0.49983,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,0,age_bin,0.426,0.39623,,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,0,age_bin,0.4205,0.38408,,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,0,age_bin,0.41995,0.40004,,,,True
meta-llama/Llama-3.2-1B,mlp_h16,0,age_bin,0.42102,0.35162,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,0,age_bin,0.42307,0.36232,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,0,age_bin,0.41381,0.34909,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,0,age_bin,0.39757,0.31908,,,,True
meta-llama/Llama-3.2-1B,attention,0,age_bin,0.47126,0.43235,,,,True
meta-llama/Llama-3.2-1B,shuffled,0,age_bin,0.33361,0.28071,,,,True
meta-llama/Llama-3.2-1B,mm,0,age_bin,0.48472,0.49081,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,0,age_bin,0.4215,0.35047,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,0,age_bin,0.41702,0.34379,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,0,age_bin,0.39757,0.31268,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,0,age_bin,0.36506,0.25443,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,0,age_bin,0.33333,0.17952,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,0,gender,0.46973,0.46926,0.45257,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,0,gender,0.56564,0.55959,0.58569,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,0,gender,0.59217,0.58285,0.62618,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,0,gender,0.60657,0.5909,0.66962,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,0,gender,0.58229,0.57413,0.61549,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,0,gender,0.58868,0.57349,0.63905,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,0,gender,0.58878,0.58014,0.62844,,,True
meta-llama/Llama-3.2-1B,mlp_h16,0,gender,0.62659,0.61309,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,0,gender,0.62354,0.60693,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,0,gender,0.6328,0.62055,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,0,gender,0.61349,0.5914,,,,True
meta-llama/Llama-3.2-1B,attention,0,gender,0.60286,0.60278,,,,True
meta-llama/Llama-3.2-1B,shuffled,0,gender,0.49199,0.46308,,,,True
meta-llama/Llama-3.2-1B,mm,0,gender,0.58946,0.58472,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,0,gender,0.58795,0.54915,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,0,gender,0.58424,0.54357,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,0,gender,0.56647,0.51329,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,0,gender,0.49642,0.37302,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,0,gender,0.5,0.33382,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,0,star_sign,0.07892,0.0764,,0.07342,0.08454,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,0,star_sign,0.08736,0.08412,,0.08175,0.09336,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,0,star_sign,0.0799,0.07679,,0.07445,0.08529,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,0,star_sign,0.073,0.04561,,0.06879,0.07714,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,0,star_sign,0.07421,0.07056,,0.0694,0.0792,True
meta-llama/Llama-3.2-1B,ema_d0.99,0,star_sign,0.07202,0.06329,,0.06709,0.07728,True
meta-llama/Llama-3.2-1B,ema_d0.9999,0,star_sign,0.08334,0.0798,,0.07826,0.08884,True
meta-llama/Llama-3.2-1B,mlp_h16,0,star_sign,0.07557,0.02948,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,0,star_sign,0.08503,0.02636,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,0,star_sign,0.07025,0.02371,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,0,star_sign,0.07613,0.021,,,,True
meta-llama/Llama-3.2-1B,attention,0,star_sign,0.08356,0.01614,,,,True
meta-llama/Llama-3.2-1B,shuffled,0,star_sign,0.08014,0.07851,,,,True
meta-llama/Llama-3.2-1B,mm,0,star_sign,0.07616,0.04521,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,0,star_sign,0.08436,0.02524,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,0,star_sign,0.08455,0.02416,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,0,star_sign,0.08389,0.01914,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,0,star_sign,0.08333,0.01604,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,0,star_sign,0.08333,0.01604,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,4,age_bin,0.49193,0.48051,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,4,age_bin,0.5787,0.56551,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,4,age_bin,0.63573,0.63052,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,4,age_bin,0.65836,0.66513,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,4,age_bin,0.63518,0.62722,,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,4,age_bin,0.64649,0.64002,,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,4,age_bin,0.62403,0.61995,,,,True
meta-llama/Llama-3.2-1B,mlp_h16,4,age_bin,0.67542,0.68407,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,4,age_bin,0.68025,0.68925,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,4,age_bin,0.67942,0.68899,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,4,age_bin,0.6774,0.68827,,,,True
meta-llama/Llama-3.2-1B,attention,4,age_bin,0.41814,0.34555,,,,True
meta-llama/Llama-3.2-1B,shuffled,4,age_bin,0.32379,0.28563,,,,True
meta-llama/Llama-3.2-1B,mm,4,age_bin,0.48265,0.47134,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,4,age_bin,0.66832,0.67187,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,4,age_bin,0.66217,0.66581,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,4,age_bin,0.62476,0.62873,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,4,age_bin,0.47239,0.42472,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,4,age_bin,0.36749,0.25755,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,4,gender,0.55596,0.55431,0.58675,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,4,gender,0.65811,0.65752,0.71974,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,4,gender,0.67156,0.67032,0.73895,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,4,gender,0.69631,0.69587,0.76202,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,4,gender,0.672,0.67136,0.72255,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,4,gender,0.67682,0.67641,0.7369,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,4,gender,0.66688,0.66596,0.74387,,,True
meta-llama/Llama-3.2-1B,mlp_h16,4,gender,0.70535,0.7052,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,4,gender,0.70414,0.70394,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,4,gender,0.70303,0.70277,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,4,gender,0.70324,0.70302,,,,True
meta-llama/Llama-3.2-1B,attention,4,gender,0.64759,0.64759,,,,True
meta-llama/Llama-3.2-1B,shuffled,4,gender,0.49919,0.4893,,,,True
meta-llama/Llama-3.2-1B,mm,4,gender,0.5,0.33382,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,4,gender,0.69931,0.69887,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,4,gender,0.6968,0.69628,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,4,gender,0.67744,0.67572,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,4,gender,0.63913,0.62868,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,4,gender,0.50441,0.34475,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,4,star_sign,0.08792,0.0878,,0.08243,0.09387,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,4,star_sign,0.08274,0.0813,,0.07751,0.0883,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,4,star_sign,0.09849,0.09371,,0.09289,0.10406,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,4,star_sign,0.08579,0.0762,,0.08064,0.091,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,4,star_sign,0.08299,0.08117,,0.07743,0.08853,True
meta-llama/Llama-3.2-1B,ema_d0.99,4,star_sign,0.08694,0.08569,,0.08118,0.09262,True
meta-llama/Llama-3.2-1B,ema_d0.9999,4,star_sign,0.07812,0.07495,,0.07291,0.08389,True
meta-llama/Llama-3.2-1B,mlp_h16,4,star_sign,0.07857,0.06181,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,4,star_sign,0.07628,0.06466,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,4,star_sign,0.07243,0.06029,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,4,star_sign,0.07671,0.065,,,,True
meta-llama/Llama-3.2-1B,attention,4,star_sign,0.07625,0.04282,,,,True
meta-llama/Llama-3.2-1B,shuffled,4,star_sign,0.08157,0.07998,,,,True
meta-llama/Llama-3.2-1B,mm,4,star_sign,0.08583,0.01867,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,4,star_sign,0.0733,0.05686,,,,False
meta-llama/Llama-3.2-1B,ridge_0.1,4,star_sign,0.07453,0.05437,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,4,star_sign,0.08664,0.05368,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,4,star_sign,0.09313,0.04306,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,4,star_sign,0.08333,0.01604,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-3,8,age_bin,0.50341,0.49452,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,8,age_bin,0.65098,0.63578,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,8,age_bin,0.67202,0.66251,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,8,age_bin,0.69903,0.70309,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,8,age_bin,0.6804,0.67132,,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,8,age_bin,0.68122,0.67354,,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,8,age_bin,0.67125,0.66214,,,,True
meta-llama/Llama-3.2-1B,mlp_h16,8,age_bin,0.70647,0.71305,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,8,age_bin,0.70607,0.7133,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,8,age_bin,0.70706,0.71506,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,8,age_bin,0.70242,0.71167,,,,True
meta-llama/Llama-3.2-1B,attention,8,age_bin,0.68793,0.69473,,,,True
meta-llama/Llama-3.2-1B,shuffled,8,age_bin,0.33725,0.30383,,,,True
meta-llama/Llama-3.2-1B,mm,8,age_bin,0.59176,0.60185,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,8,age_bin,0.69319,0.69688,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,8,age_bin,0.68813,0.69164,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,8,age_bin,0.67296,0.67688,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,8,age_bin,0.54386,0.53313,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,8,age_bin,0.39912,0.30588,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,8,gender,0.56239,0.56239,0.58451,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,8,gender,0.66239,0.6616,0.7198,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,8,gender,0.67671,0.67627,0.73513,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,8,gender,0.69521,0.69473,0.76273,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,8,gender,0.67851,0.678,0.72743,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,8,gender,0.683,0.68242,0.75376,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,8,gender,0.67803,0.67774,0.72724,,,True
meta-llama/Llama-3.2-1B,mlp_h16,8,gender,0.70915,0.70901,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,8,gender,0.70694,0.70673,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,8,gender,0.70713,0.70691,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,8,gender,0.70964,0.70946,,,,True
meta-llama/Llama-3.2-1B,attention,8,gender,0.70607,0.70604,,,,True
meta-llama/Llama-3.2-1B,shuffled,8,gender,0.51761,0.50921,,,,True
meta-llama/Llama-3.2-1B,mm,8,gender,0.50698,0.37286,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,8,gender,0.6996,0.69905,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,8,gender,0.6965,0.69586,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,8,gender,0.68064,0.67909,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,8,gender,0.64169,0.63465,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,8,gender,0.5257,0.42981,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,8,star_sign,0.08521,0.08343,,0.07995,0.09085,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,8,star_sign,0.08386,0.07817,,0.07818,0.08943,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,8,star_sign,0.07635,0.07543,,0.07106,0.08154,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,8,star_sign,0.07469,0.07016,,0.06948,0.07939,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,8,star_sign,0.08115,0.0789,,0.07519,0.08658,True
meta-llama/Llama-3.2-1B,ema_d0.99,8,star_sign,0.08231,0.07941,,0.07724,0.0876,True
meta-llama/Llama-3.2-1B,ema_d0.9999,8,star_sign,0.07791,0.07676,,0.07269,0.08297,True
meta-llama/Llama-3.2-1B,mlp_h16,8,star_sign,0.07214,0.06011,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,8,star_sign,0.07801,0.06677,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,8,star_sign,0.08047,0.07051,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,8,star_sign,0.08187,0.07413,,,,True
meta-llama/Llama-3.2-1B,attention,8,star_sign,0.0749,0.05445,,,,True
meta-llama/Llama-3.2-1B,shuffled,8,star_sign,0.07695,0.07497,,,,True
meta-llama/Llama-3.2-1B,mm,8,star_sign,0.07487,0.02367,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,8,star_sign,0.07617,0.06184,,,,False
meta-llama/Llama-3.2-1B,ridge_0.1,8,star_sign,0.07597,0.06014,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,8,star_sign,0.07228,0.05075,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,8,star_sign,0.09508,0.04784,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,8,star_sign,0.08338,0.01646,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-3,12,age_bin,0.5266,0.5159,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,12,age_bin,0.64854,0.63095,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,12,age_bin,0.67259,0.65913,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,12,age_bin,0.70123,0.70417,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,12,age_bin,0.67702,0.66338,,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,12,age_bin,0.68986,0.67894,,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,12,age_bin,0.67012,0.65894,,,,True
meta-llama/Llama-3.2-1B,mlp_h16,12,age_bin,0.70297,0.70925,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,12,age_bin,0.70738,0.71444,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,12,age_bin,0.70724,0.71536,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,12,age_bin,0.70576,0.71472,,,,True
meta-llama/Llama-3.2-1B,attention,12,age_bin,0.69746,0.70464,,,,True
meta-llama/Llama-3.2-1B,shuffled,12,age_bin,0.33176,0.30953,,,,True
meta-llama/Llama-3.2-1B,mm,12,age_bin,0.60542,0.60352,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,12,age_bin,0.69211,0.69432,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,12,age_bin,0.69055,0.69282,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,12,age_bin,0.67697,0.67953,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,12,age_bin,0.58624,0.58446,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,12,age_bin,0.42292,0.33579,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,12,gender,0.63357,0.63316,0.6931,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,12,gender,0.6826,0.6826,0.74096,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,12,gender,0.7058,0.7058,0.75388,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,12,gender,0.71077,0.71072,0.76715,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,12,gender,0.69238,0.69235,0.75097,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,12,gender,0.70109,0.70109,0.75809,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,12,gender,0.69427,0.69424,0.74439,,,True
meta-llama/Llama-3.2-1B,mlp_h16,12,gender,0.71922,0.71917,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,12,gender,0.71982,0.71979,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,12,gender,0.72251,0.72249,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,12,gender,0.72281,0.7228,,,,True
meta-llama/Llama-3.2-1B,attention,12,gender,0.7188,0.7188,,,,True
meta-llama/Llama-3.2-1B,shuffled,12,gender,0.49998,0.48937,,,,True
meta-llama/Llama-3.2-1B,mm,12,gender,0.6246,0.61227,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,12,gender,0.71296,0.71291,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,12,gender,0.71276,0.71271,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,12,gender,0.70384,0.70365,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,12,gender,0.66961,0.66728,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,12,gender,0.57407,0.52213,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,12,star_sign,0.07962,0.07863,,0.07431,0.08506,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,12,star_sign,0.09985,0.09992,,0.09388,0.10597,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,12,star_sign,0.08107,0.08064,,0.07577,0.08724,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,12,star_sign,0.08842,0.0832,,0.08317,0.09402,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,12,star_sign,0.09202,0.08997,,0.08648,0.09785,True
meta-llama/Llama-3.2-1B,ema_d0.99,12,star_sign,0.08489,0.0809,,0.07943,0.09075,True
meta-llama/Llama-3.2-1B,ema_d0.9999,12,star_sign,0.07367,0.07258,,0.06817,0.07892,True
meta-llama/Llama-3.2-1B,mlp_h16,12,star_sign,0.09005,0.0791,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,12,star_sign,0.08738,0.07819,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,12,star_sign,0.08591,0.08071,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,12,star_sign,0.08748,0.08133,,,,True
meta-llama/Llama-3.2-1B,attention,12,star_sign,0.07854,0.0666,,,,True
meta-llama/Llama-3.2-1B,shuffled,12,star_sign,0.07977,0.07731,,,,True
