model_name,strategy,layer,task,text_balanced_acc,macro_f1
Qwen/Qwen2.5-0.5B-Instruct,ema,0,age_bin,0.37296,0.30256
Qwen/Qwen2.5-0.5B-Instruct,ema,0,gender,0.5647,0.5613
Qwen/Qwen2.5-0.5B-Instruct,ema,0,star_sign,0.08184,0.06971
Qwen/Qwen2.5-0.5B-Instruct,ema,4,age_bin,0.47612,0.47032
Qwen/Qwen2.5-0.5B-Instruct,ema,4,gender,0.58625,0.58366
Qwen/Qwen2.5-0.5B-Instruct,ema,4,star_sign,0.07987,0.07398
Qwen/Qwen2.5-0.5B-Instruct,ema,8,age_bin,0.53829,0.54674
Qwen/Qwen2.5-0.5B-Instruct,ema,8,gender,0.61834,0.61749
Qwen/Qwen2.5-0.5B-Instruct,ema,8,star_sign,0.07735,0.07069
Qwen/Qwen2.5-0.5B-Instruct,ema,12,age_bin,0.5276,0.53417
Qwen/Qwen2.5-0.5B-Instruct,ema,12,gender,0.59775,0.59768
Qwen/Qwen2.5-0.5B-Instruct,ema,12,star_sign,0.08293,0.07904
Qwen/Qwen2.5-0.5B-Instruct,ema,16,age_bin,0.57023,0.57687
Qwen/Qwen2.5-0.5B-Instruct,ema,16,gender,0.62324,0.62272
Qwen/Qwen2.5-0.5B-Instruct,ema,16,star_sign,0.0805,0.07723
Qwen/Qwen2.5-0.5B-Instruct,ema,20,age_bin,0.57711,0.57968
Qwen/Qwen2.5-0.5B-Instruct,ema,20,gender,0.62382,0.62362
Qwen/Qwen2.5-0.5B-Instruct,ema,20,star_sign,0.08558,0.08182
Qwen/Qwen2.5-0.5B-Instruct,ema,24,age_bin,0.59328,0.59696
Qwen/Qwen2.5-0.5B-Instruct,ema,24,gender,0.63947,0.63899
Qwen/Qwen2.5-0.5B-Instruct,ema,24,star_sign,0.08012,0.07797
