batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign
0,1.62044,0.33486,1.03276,0.49935,3.31898,0.08271,1.53031,0.33306,1.03319,0.49966,3.26725,0.08337,1.56717,0.33239,1.15553,0.47992,3.20103,0.08576,1.59413,0.34322,1.03221,0.49961,3.20306,0.08515,1.53697,0.3346,1.13291,0.47918,3.37384,0.07413,1.55824,0.34161,1.07562,0.49549,3.26074,0.08297,1.59688,0.31708,0.99683,0.51423,3.26157,0.08413
1,1.58782,0.33028,1.01525,0.50121,3.30619,0.07846,1.52597,0.33264,1.03119,0.50231,3.25099,0.08305,1.53147,0.33669,1.11562,0.48551,3.22433,0.08209,1.58006,0.34362,1.01573,0.50119,3.20041,0.0864,1.58447,0.32763,1.11094,0.48273,3.31752,0.07541,1.52444,0.34739,1.01792,0.50342,3.28873,0.08224,1.5442,0.32736,0.95957,0.51994,3.27237,0.08193
2,1.55304,0.33212,1.00239,0.50251,3.22353,0.08253,1.54423,0.33046,1.00797,0.50329,3.24535,0.08399,1.53556,0.3355,1.08663,0.48994,3.17198,0.08369,1.62386,0.33834,1.02585,0.49854,3.21996,0.08514,1.52711,0.33074,1.09355,0.48526,3.23678,0.07914,1.57164,0.34336,1.02012,0.5045,3.2821,0.08155,1.58639,0.32544,0.96562,0.52176,3.19451,0.08719
3,1.55138,0.33181,0.99548,0.50305,3.23419,0.08305,1.50895,0.33194,1.00086,0.50321,3.28316,0.0827,1.51815,0.33619,1.11689,0.48669,3.17744,0.08418,1.59645,0.33796,0.98978,0.50175,3.22945,0.08512,1.53607,0.33005,1.05749,0.48882,3.18833,0.08147,1.5221,0.34428,1.0259,0.50443,3.24778,0.08254,1.62211,0.32035,0.99757,0.5195,3.2516,0.08549
4,1.51085,0.33379,1.00242,0.50241,3.2086,0.08262,1.5098,0.33258,1.00461,0.50344,3.21407,0.08384,1.51435,0.33732,1.07043,0.48891,3.20115,0.08339,1.61099,0.33606,0.99701,0.50177,3.21121,0.08509,1.53156,0.32909,1.08141,0.48882,3.17952,0.08285,1.50938,0.34457,1.02575,0.50454,3.28855,0.08222,1.60032,0.31902,0.96279,0.52005,3.2022,0.08635
5,1.50267,0.33363,0.98375,0.50211,3.16283,0.08272,1.50023,0.33247,1.00983,0.50266,3.22192,0.08385,1.52936,0.33593,1.03818,0.49195,3.17077,0.08365,1.57696,0.33618,1.00728,0.5014,3.18819,0.08537,1.49924,0.33088,1.05107,0.49048,3.22399,0.08289,1.45967,0.34665,1.02842,0.50389,3.27208,0.08259,1.562,0.31947,0.9855,0.51778,3.20265,0.08636
6,1.51306,0.33354,0.98332,0.50182,3.1784,0.08292,1.5147,0.33164,0.99717,0.50291,3.19868,0.0839,1.47655,0.33841,1.06619,0.49181,3.14831,0.08379,1.53493,0.33789,1.00378,0.50064,3.22267,0.08445,1.48593,0.33281,1.02853,0.49251,3.1956,0.08362,1.52768,0.34451,1.00684,0.50495,3.26848,0.08286,1.49541,0.32243,0.93799,0.51927,3.16405,0.08587
7,1.4694,0.33347,0.97319,0.50261,3.17735,0.08264,1.46787,0.33257,0.999,0.50192,3.19302,0.08356,1.49334,0.33844,1.0361,0.49281,3.16243,0.08393,1.5382,0.33832,0.96495,0.50213,3.23195,0.08391,1.5019,0.33152,1.0875,0.49132,3.22177,0.08343,1.50653,0.34446,0.96809,0.50672,3.24409,0.08365,1.49753,0.32392,0.96497,0.51865,3.1803,0.08699
8,1.48246,0.33384,0.97784,0.50265,3.16017,0.08265,1.48725,0.33229,0.98004,0.50104,3.18846,0.08353,1.47,0.33928,1.0115,0.49451,3.17552,0.08359,1.5173,0.33954,0.97466,0.50302,3.19143,0.08392,1.4932,0.33218,1.03851,0.49167,3.24393,0.08311,1.4823,0.34471,1.01715,0.50583,3.22365,0.08427,1.53301,0.32279,0.94178,0.51933,3.19464,0.08624
9,1.48138,0.33415,0.97859,0.50312,3.14624,0.08247,1.46879,0.33335,0.96666,0.50123,3.16197,0.08369,1.48869,0.33916,1.01615,0.49537,3.18933,0.08328,1.55918,0.3386,1.00761,0.50185,3.18768,0.08394,1.46658,0.33317,0.99059,0.49379,3.18445,0.08347,1.49673,0.34466,0.9927,0.50534,3.18733,0.08511,1.44805,0.32612,0.94488,0.51928,3.15111,0.08649
10,1.46558,0.3345,0.97827,0.50302,3.14568,0.08293,1.49684,0.33283,0.98858,0.49975,3.20497,0.0833,1.49778,0.33874,1.01813,0.49571,3.1801,0.08322,1.57066,0.33751,0.98096,0.50184,3.23711,0.08348,1.48788,0.33354,1.0212,0.49382,3.19537,0.08405,1.40609,0.34749,0.99885,0.50546,3.30984,0.08436,1.47553,0.32726,0.90352,0.52143,3.11186,0.08718
11,1.46499,0.33519,0.98136,0.50226,3.13444,0.08294,1.45111,0.33325,0.95063,0.50022,3.18374,0.08296,1.50293,0.33813,0.98912,0.49678,3.18069,0.083,1.53234,0.33725,0.95593,0.50235,3.18609,0.08354,1.48601,0.33371,0.99628,0.49473,3.18599,0.08413,1.44903,0.34842,0.9756,0.50564,3.21895,0.08443,1.40858,0.33033,0.9234,0.52173,3.17105,0.08731
12,1.43513,0.33599,0.94462,0.50259,3.12716,0.08319,1.46155,0.33348,0.93347,0.50053,3.18846,0.08272,1.49222,0.33772,0.99694,0.49713,3.15762,0.08299,1.52275,0.33735,0.97507,0.50223,3.16991,0.08342,1.47047,0.33383,0.97055,0.49623,3.20908,0.0841,1.45249,0.34894,0.99416,0.50512,3.22748,0.08415,1.45742,0.33185,0.94159,0.52178,3.19021,0.0871
13,1.46166,0.33629,0.95945,0.50266,3.10734,0.08335,1.48218,0.33336,0.94978,0.5004,3.15715,0.08273,1.47439,0.33797,0.98213,0.49734,3.17406,0.08298,1.52321,0.33767,0.96217,0.50238,3.15352,0.08363,1.40841,0.33612,0.98701,0.49697,3.18511,0.08406,1.4385,0.34959,0.98766,0.50497,3.27239,0.08397,1.45434,0.33258,0.88993,0.52392,3.19697,0.08677
14,1.44193,0.33678,0.93621,0.50285,3.12188,0.08298,1.45274,0.33386,0.95348,0.4998,3.13891,0.08279,1.45464,0.3383,1.00313,0.49699,3.16524,0.08273,1.53239,0.33713,0.95383,0.50285,3.20595,0.08323,1.50203,0.33539,1.03731,0.4959,3.19734,0.08428,1.4178,0.35062,0.96181,0.50536,3.16239,0.08429,1.46376,0.33279,0.8945,0.52513,3.1928,0.08661
15,1.41805,0.33846,0.93717,0.50354,3.11883,0.08289,1.44574,0.33426,0.93178,0.50015,3.16675,0.08278,1.46419,0.33855,1.00082,0.49654,3.1605,0.08256,1.52834,0.3368,0.94036,0.50381,3.16946,0.08313,1.4507,0.33569,1.0126,0.49574,3.22319,0.08422,1.45048,0.35047,0.942,0.50629,3.24434,0.08413,1.42205,0.33415,0.87215,0.52708,3.21877,0.08639
16,1.43934,0.33846,0.94679,0.5035,3.11159,0.08276,1.47678,0.33414,0.94273,0.50017,3.11368,0.08292,1.44405,0.33881,0.99248,0.4963,3.15115,0.08256,1.50401,0.33701,0.9569,0.50386,3.14234,0.08331,1.437,0.3364,0.94711,0.49722,3.22471,0.08402,1.3965,0.35176,0.95519,0.50659,3.15542,0.08449,1.38418,0.33608,0.89362,0.52797,3.23039,0.086
17,1.42104,0.33903,0.92881,0.5038,3.09541,0.08271,1.44203,0.33456,0.94582,0.50008,3.15278,0.083,1.44729,0.3388,0.98922,0.4959,3.16755,0.08233,1.48561,0.33738,0.93235,0.50448,3.12562,0.08355,1.43863,0.33702,0.95274,0.49819,3.14954,0.0843,1.38751,0.35293,0.94849,0.50688,3.19121,0.08474,1.39177,0.33756,0.82191,0.53101,3.24324,0.08545
18,1.43841,0.33888,0.92446,0.50408,3.10772,0.08274,1.45585,0.33437,0.93718,0.49993,3.11748,0.08303,1.43311,0.33888,0.9816,0.49554,3.14791,0.08232,1.52265,0.33696,0.95127,0.50437,3.12581,0.08388,1.45085,0.33703,0.96406,0.49864,3.21297,0.08401,1.37431,0.35396,0.98752,0.50632,3.2276,0.08447,1.38582,0.33893,0.86775,0.53211,3.1581,0.08534
19,1.4186,0.33882,0.94542,0.50403,3.11124,0.08271,1.45437,0.33418,0.93908,0.49995,3.14539,0.08285,1.41589,0.33947,0.96374,0.49579,3.14775,0.0822,1.49941,0.33686,0.96822,0.50413,3.1243,0.08406,1.42929,0.33749,0.9842,0.49884,3.20364,0.08399,1.36677,0.35535,0.95078,0.50639,3.16966,0.08458,1.37132,0.3408,0.93708,0.53066,3.10211,0.08563
20,1.4175,0.33921,0.93526,0.50406,3.08662,0.08287,1.44713,0.33402,0.93948,0.4999,3.15245,0.08275,1.42073,0.33952,0.96742,0.49567,3.13097,0.08227,1.48848,0.33699,0.95314,0.50409,3.1363,0.084,1.44598,0.33736,0.97228,0.49896,3.14667,0.0841,1.44738,0.35479,0.92739,0.507,3.17205,0.08478,1.36951,0.34207,0.90592,0.53089,3.16276,0.08528
21,1.39619,0.33913,0.92513,0.50349,3.04951,0.0828,1.48341,0.3338,1.01975,0.49986,3.09345,0.08269,1.39778,0.34051,0.91223,0.49674,3.10115,0.08227,1.45674,0.33793,0.92916,0.50455,3.20126,0.08375,1.44088,0.33756,0.98796,0.49866,3.21673,0.08385,1.40573,0.35468,0.97088,0.50657,3.22151,0.08467,1.44069,0.34278,0.91956,0.53039,3.20014,0.08528
22,1.4065,0.33941,0.92189,0.50355,3.08218,0.08287,1.42577,0.33409,0.93424,0.4997,3.14333,0.08264,1.41989,0.34053,0.95988,0.49654,3.13249,0.08247,1.46226,0.33825,0.92486,0.50488,3.1729,0.08366,1.47168,0.33705,0.94409,0.49901,3.12269,0.08404,1.45773,0.35387,0.88473,0.50771,3.16851,0.08476,1.3979,0.34267,0.89551,0.5304,3.05414,0.08563
