model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi
Qwen/Qwen2.5-0.5B-Instruct,ema,0,age_bin,0.39036,0.32871,,,
Qwen/Qwen2.5-0.5B-Instruct,mm,0,age_bin,0.47702,0.47542,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,0,age_bin,0.41314,0.33572,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,0,age_bin,0.40076,0.31574,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,0,age_bin,0.37284,0.26328,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,0,age_bin,0.33592,0.16845,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,0,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,0,gender,0.56972,0.56791,0.59143,,
Qwen/Qwen2.5-0.5B-Instruct,mm,0,gender,0.58631,0.58522,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,0,gender,0.60874,0.60869,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,0,gender,0.60625,0.60597,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,0,gender,0.5971,0.596,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,0,gender,0.59452,0.59051,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,0,gender,0.55569,0.48716,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,0,star_sign,0.08156,0.07305,,0.07645,0.08671
Qwen/Qwen2.5-0.5B-Instruct,mm,0,star_sign,0.08704,0.07682,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,0,star_sign,0.08354,0.02305,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,0,star_sign,0.08354,0.02305,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,4,age_bin,0.498,0.49975,,,
Qwen/Qwen2.5-0.5B-Instruct,mm,4,age_bin,0.37957,0.32294,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,4,age_bin,0.50896,0.51418,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,4,age_bin,0.50259,0.50431,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,4,age_bin,0.46277,0.44131,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,4,age_bin,0.37099,0.25444,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,4,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,4,gender,0.59388,0.59239,0.62083,,
Qwen/Qwen2.5-0.5B-Instruct,mm,4,gender,0.52687,0.50893,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,4,gender,0.60713,0.60697,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,4,gender,0.60601,0.60571,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,4,gender,0.60205,0.60138,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,4,gender,0.59755,0.596,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,4,gender,0.58513,0.56652,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,4,star_sign,0.08463,0.07973,,0.07873,0.08973
Qwen/Qwen2.5-0.5B-Instruct,mm,4,star_sign,0.07795,0.0296,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.01,4,star_sign,0.08646,0.04437,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_0.1,4,star_sign,0.0835,0.03771,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_1.0,4,star_sign,0.08358,0.02456,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_10.0,4,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ridge_100.0,4,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-0.5B-Instruct,ema,8,age_bin,0.55987,0.56742,,,
Qwen/Qwen2.5-0.5B-Instruct,mm,8,age_bin,0.40147,0.35349,,,
