model_name,strategy,layer,task,text_balanced_acc,macro_f1
Qwen/Qwen2.5-0.5B-Instruct,ema,0,age_bin,0.38217,0.32139
Qwen/Qwen2.5-0.5B-Instruct,ema,0,gender,0.56915,0.56798
Qwen/Qwen2.5-0.5B-Instruct,ema,0,star_sign,0.08099,0.07201
Qwen/Qwen2.5-0.5B-Instruct,ema,4,age_bin,0.49134,0.49473
Qwen/Qwen2.5-0.5B-Instruct,ema,4,gender,0.58737,0.58658
Qwen/Qwen2.5-0.5B-Instruct,ema,4,star_sign,0.08139,0.0771
Qwen/Qwen2.5-0.5B-Instruct,ema,8,age_bin,0.55223,0.56027
Qwen/Qwen2.5-0.5B-Instruct,ema,8,gender,0.62535,0.62504
Qwen/Qwen2.5-0.5B-Instruct,ema,8,star_sign,0.0778,0.07319
Qwen/Qwen2.5-0.5B-Instruct,ema,12,age_bin,0.54078,0.5465
Qwen/Qwen2.5-0.5B-Instruct,ema,12,gender,0.60397,0.60393
Qwen/Qwen2.5-0.5B-Instruct,ema,12,star_sign,0.08026,0.07721
Qwen/Qwen2.5-0.5B-Instruct,ema,16,age_bin,0.584,0.5872
Qwen/Qwen2.5-0.5B-Instruct,ema,16,gender,0.62465,0.62439
Qwen/Qwen2.5-0.5B-Instruct,ema,16,star_sign,0.08417,0.08117
Qwen/Qwen2.5-0.5B-Instruct,ema,20,age_bin,0.58867,0.58812
Qwen/Qwen2.5-0.5B-Instruct,ema,20,gender,0.62415,0.62401
Qwen/Qwen2.5-0.5B-Instruct,ema,20,star_sign,0.08309,0.07985
Qwen/Qwen2.5-0.5B-Instruct,ema,24,age_bin,0.60521,0.60564
Qwen/Qwen2.5-0.5B-Instruct,ema,24,gender,0.63935,0.63905
Qwen/Qwen2.5-0.5B-Instruct,ema,24,star_sign,0.07853,0.07619
