batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign
0,1.6252,0.33428,1.04213,0.49911,3.31369,0.08302,1.55127,0.33248,1.03457,0.50189,3.28049,0.08222,1.56994,0.33075,1.14152,0.48144,3.20055,0.08688,1.58648,0.34498,1.03537,0.50341,3.23381,0.08493,1.54916,0.33572,1.10972,0.47696,3.37596,0.07222,1.55594,0.34374,1.07478,0.49613,3.2656,0.08238,1.56197,0.32314,0.98042,0.51851,3.2678,0.08539
1,1.59017,0.33034,1.02804,0.50153,3.30228,0.078,1.54926,0.33224,1.03577,0.50326,3.26642,0.08227,1.52724,0.33598,1.11288,0.48494,3.23468,0.08285,1.57188,0.34548,1.02245,0.50438,3.24159,0.08625,1.59547,0.32801,1.07664,0.48168,3.30637,0.07482,1.51491,0.35205,1.01813,0.50364,3.29561,0.08148,1.53147,0.32696,0.93079,0.52701,3.29336,0.08184
2,1.55776,0.3323,1.01327,0.50302,3.2204,0.08208,1.56599,0.33092,1.01334,0.50365,3.26092,0.08308,1.531,0.33488,1.08594,0.48803,3.17813,0.08389,1.61831,0.34074,1.03577,0.50277,3.25703,0.08497,1.5356,0.33105,1.05737,0.48542,3.23971,0.07836,1.5623,0.34888,1.03662,0.50384,3.27355,0.0813,1.55086,0.32673,0.92852,0.53119,3.20704,0.08806
3,1.55506,0.33226,1.00895,0.50366,3.23854,0.08255,1.53421,0.33263,1.00001,0.50446,3.30526,0.08178,1.51418,0.33558,1.10275,0.48546,3.18667,0.0846,1.60441,0.33978,0.99895,0.50593,3.26063,0.08504,1.54391,0.33026,1.04025,0.48854,3.19108,0.08082,1.53595,0.34841,1.02574,0.50487,3.24738,0.08182,1.59467,0.32156,0.99098,0.52696,3.26555,0.08679
4,1.51187,0.33358,1.01595,0.50298,3.2112,0.08199,1.53286,0.33346,1.009,0.50462,3.22691,0.08314,1.51101,0.3368,1.06356,0.48791,3.21239,0.08368,1.61176,0.33807,1.01404,0.50509,3.25567,0.08486,1.53226,0.32995,1.05841,0.48905,3.17942,0.08274,1.52036,0.34778,1.04383,0.50353,3.29058,0.0812,1.57199,0.32052,0.9296,0.52929,3.20692,0.08739
5,1.50364,0.33297,0.9967,0.50222,3.16371,0.08241,1.5245,0.33386,1.0174,0.50356,3.23449,0.08304,1.52893,0.33502,1.02968,0.49114,3.17483,0.08415,1.57671,0.33811,1.03125,0.50345,3.23147,0.08489,1.50285,0.33214,1.02412,0.49134,3.22018,0.08304,1.45371,0.35005,1.03318,0.5032,3.27037,0.08198,1.54009,0.32056,0.95643,0.52721,3.21695,0.08712
6,1.51254,0.33301,0.99606,0.50191,3.18377,0.08261,1.54023,0.33342,1.00254,0.50365,3.21781,0.08304,1.47657,0.33762,1.05565,0.49143,3.16452,0.08428,1.54276,0.33977,1.02078,0.5024,3.27871,0.0839,1.49399,0.33437,1.01739,0.49347,3.20827,0.08388,1.53132,0.34817,1.01054,0.50456,3.25844,0.08258,1.47783,0.32401,0.92706,0.52806,3.18031,0.08669
7,1.47037,0.33342,0.98657,0.50247,3.18274,0.08239,1.48899,0.33443,1.00538,0.50261,3.20084,0.08293,1.48865,0.33772,1.02549,0.49304,3.1604,0.08477,1.52741,0.341,0.98116,0.50384,3.28822,0.08315,1.51872,0.33319,1.07712,0.49244,3.22994,0.08369,1.49803,0.3487,0.9822,0.50587,3.25263,0.08329,1.47949,0.32552,0.94355,0.5274,3.17545,0.08845
8,1.48344,0.33451,0.99056,0.50248,3.16167,0.08256,1.50907,0.33435,0.9873,0.5017,3.20534,0.08303,1.47196,0.33836,0.99778,0.49554,3.17994,0.08449,1.52463,0.34261,0.99518,0.50427,3.24624,0.08293,1.5024,0.33367,1.01778,0.49338,3.25218,0.08342,1.47892,0.34925,1.01535,0.50548,3.20756,0.08414,1.52939,0.32433,0.93196,0.52804,3.19665,0.08799
9,1.48572,0.33432,0.99125,0.50309,3.15,0.08248,1.48708,0.33546,0.97582,0.50172,3.17859,0.08327,1.49076,0.33843,1.01207,0.49651,3.20547,0.08407,1.5583,0.34148,1.0298,0.50296,3.22629,0.08313,1.47182,0.33499,0.96667,0.4963,3.17366,0.08399,1.51463,0.34843,0.99719,0.50525,3.18846,0.08473,1.42089,0.32847,0.93604,0.52776,3.18983,0.08784
10,1.46635,0.33473,0.99261,0.5028,3.15157,0.08298,1.52258,0.33503,0.99911,0.50013,3.22215,0.08297,1.50129,0.33801,1.00785,0.49725,3.19009,0.08371,1.57091,0.34055,1.00445,0.50282,3.2809,0.08268,1.49036,0.33575,1.00344,0.49702,3.21576,0.08432,1.39974,0.35163,1.00075,0.50572,3.31993,0.08392,1.4836,0.32923,0.8771,0.53056,3.14123,0.0885
11,1.47318,0.33543,0.99821,0.50209,3.13983,0.08295,1.4736,0.3357,0.95861,0.50059,3.19702,0.08257,1.49378,0.3377,0.98405,0.49837,3.19316,0.08343,1.52983,0.34051,0.97471,0.50333,3.2289,0.08291,1.50073,0.33588,0.98836,0.498,3.20142,0.08432,1.44568,0.3528,0.97783,0.50603,3.21132,0.08423,1.36372,0.33343,0.89533,0.53138,3.17464,0.08859
12,1.44009,0.33636,0.95666,0.50232,3.13403,0.08321,1.48191,0.33599,0.94133,0.50101,3.20314,0.08227,1.49109,0.33728,0.98862,0.49885,3.16882,0.08331,1.52106,0.34083,0.99759,0.5032,3.21593,0.0828,1.47962,0.33615,0.95913,0.49981,3.22891,0.08423,1.4485,0.35352,1.00109,0.5057,3.22097,0.0839,1.44444,0.33538,0.94283,0.53098,3.22372,0.08814
13,1.46405,0.33676,0.97134,0.50242,3.11069,0.0835,1.50896,0.33586,0.96391,0.5008,3.16743,0.08231,1.47859,0.33732,0.98695,0.49883,3.18805,0.0832,1.53977,0.34083,0.97019,0.50374,3.19972,0.08302,1.42019,0.33827,0.98856,0.50061,3.20521,0.08407,1.43248,0.35429,1.00135,0.50544,3.27142,0.0837,1.45004,0.33639,0.87061,0.53356,3.22007,0.08791
14,1.44338,0.33729,0.94665,0.50241,3.12754,0.08321,1.47907,0.33627,0.96678,0.50025,3.14842,0.08237,1.45723,0.3378,1.00293,0.49873,3.1848,0.08287,1.54289,0.34008,0.97179,0.50414,3.26163,0.08263,1.51876,0.33738,1.02873,0.49968,3.22443,0.08404,1.40951,0.35556,0.9616,0.50615,3.15968,0.084,1.4715,0.33673,0.89019,0.5347,3.19666,0.08784
15,1.42048,0.33904,0.94835,0.50314,3.12483,0.083,1.46817,0.33677,0.94315,0.50063,3.17406,0.08244,1.45926,0.33835,1.00701,0.49804,3.17804,0.08269,1.53449,0.33973,0.95107,0.50525,3.2091,0.08271,1.45452,0.33777,1.0099,0.49956,3.23415,0.08404,1.45928,0.35508,0.9474,0.50696,3.25479,0.08375,1.39796,0.33892,0.85112,0.53709,3.26683,0.0877
16,1.44385,0.3391,0.95848,0.50296,3.11462,0.08289,1.49712,0.33658,0.95449,0.50059,3.1209,0.08258,1.44968,0.33866,0.99002,0.49791,3.16693,0.08262,1.51266,0.33994,0.97379,0.50524,3.1804,0.0829,1.44667,0.33873,0.94549,0.50111,3.24083,0.0839,1.39561,0.35657,0.96321,0.50733,3.15847,0.08411,1.36717,0.34136,0.88288,0.53803,3.26886,0.08711
17,1.42554,0.33973,0.93915,0.50336,3.09815,0.08288,1.46225,0.33701,0.9608,0.50039,3.16316,0.08263,1.45387,0.33872,0.99918,0.49754,3.18543,0.08239,1.48806,0.34044,0.94577,0.5058,3.16598,0.08321,1.44936,0.33942,0.94323,0.50251,3.17095,0.08404,1.38178,0.35799,0.95273,0.50781,3.19209,0.08431,1.36798,0.34322,0.80174,0.54148,3.29577,0.08632
18,1.44405,0.3395,0.93544,0.50367,3.11519,0.08292,1.48155,0.33678,0.94806,0.50031,3.12859,0.08265,1.43848,0.33881,0.98192,0.49732,3.16836,0.08234,1.53958,0.33976,0.96381,0.50583,3.17224,0.08345,1.46904,0.33946,0.97405,0.50281,3.22851,0.0838,1.36543,0.35915,1.0017,0.50709,3.22624,0.08411,1.38845,0.34438,0.85317,0.5428,3.17533,0.08627
19,1.42533,0.33938,0.95642,0.50374,3.1164,0.08288,1.47392,0.33652,0.95134,0.50035,3.16221,0.08248,1.41846,0.33958,0.97397,0.49735,3.1638,0.0822,1.5064,0.33972,0.98192,0.5056,3.16953,0.08364,1.43093,0.34026,0.99907,0.50275,3.21336,0.08384,1.36553,0.36063,0.9553,0.5074,3.16752,0.08438,1.36237,0.34659,0.93543,0.54133,3.14341,0.08655
20,1.42329,0.33972,0.94608,0.50383,3.09278,0.08309,1.47148,0.33632,0.95324,0.50027,3.16759,0.08234,1.42866,0.33963,0.97735,0.49715,3.14749,0.0823,1.50166,0.3398,0.97422,0.50542,3.17615,0.08365,1.45851,0.34029,0.97923,0.50281,3.17846,0.08391,1.45086,0.36003,0.9362,0.50806,3.18023,0.08461,1.36942,0.34792,0.90075,0.54162,3.18606,0.08612
21,1.40149,0.33958,0.93544,0.50323,3.05393,0.08311,1.5111,0.33617,1.04796,0.50028,3.10234,0.08232,1.40452,0.34078,0.91381,0.49845,3.11745,0.0823,1.45369,0.34081,0.94146,0.50592,3.24437,0.08349,1.45129,0.34063,1.00467,0.50227,3.23737,0.08367,1.40002,0.35995,0.97857,0.50739,3.24963,0.08438,1.43275,0.34881,0.92159,0.54106,3.24057,0.08618
22,1.41513,0.33969,0.93279,0.50336,3.0885,0.08336,1.44937,0.33644,0.95165,0.50001,3.1558,0.08229,1.42934,0.34085,0.96475,0.4985,3.14532,0.08254,1.472,0.34115,0.94191,0.50622,3.22194,0.08338,1.49395,0.34013,0.95103,0.5026,3.14968,0.08386,1.46532,0.35901,0.88716,0.50863,3.15958,0.08453,1.38601,0.34908,0.8974,0.54088,3.09473,0.08646
