model_name,strategy,layer,task,text_balanced_acc,macro_f1
Qwen/Qwen2.5-0.5B,attention,0,age_bin,0.46002,0.45862
Qwen/Qwen2.5-0.5B,attention,0,gender,0.57803,0.5778
Qwen/Qwen2.5-0.5B,attention,0,star_sign,0.08087,0.031
Qwen/Qwen2.5-0.5B,attention,4,age_bin,0.59759,0.60362
Qwen/Qwen2.5-0.5B,attention,4,gender,0.59921,0.59762
Qwen/Qwen2.5-0.5B,attention,4,star_sign,0.09681,0.07349
Qwen/Qwen2.5-0.5B,attention,8,age_bin,0.63809,0.64251
Qwen/Qwen2.5-0.5B,attention,8,gender,0.68224,0.681
Qwen/Qwen2.5-0.5B,attention,8,star_sign,0.09503,0.07791
Qwen/Qwen2.5-0.5B,attention,12,age_bin,0.65158,0.65607
Qwen/Qwen2.5-0.5B,attention,12,gender,0.62998,0.62962
Qwen/Qwen2.5-0.5B,attention,12,star_sign,0.08832,0.03885
Qwen/Qwen2.5-0.5B,attention,16,age_bin,0.5662,0.57196
Qwen/Qwen2.5-0.5B,attention,16,gender,0.69187,0.69074
Qwen/Qwen2.5-0.5B,attention,16,star_sign,0.09283,0.07613
Qwen/Qwen2.5-0.5B,attention,20,age_bin,0.64931,0.65435
Qwen/Qwen2.5-0.5B,attention,20,gender,0.6938,0.69098
Qwen/Qwen2.5-0.5B,attention,20,star_sign,0.08333,0.06575
Qwen/Qwen2.5-0.5B,attention,24,age_bin,0.61021,0.58768
Qwen/Qwen2.5-0.5B,attention,24,gender,0.6569,0.64988
Qwen/Qwen2.5-0.5B,attention,24,star_sign,0.08769,0.06595
