batch,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L4_age_bin,loss_L4_gender,loss_L4_star_sign,loss_L8_age_bin,loss_L8_gender,loss_L8_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L16_age_bin,loss_L16_gender,loss_L16_star_sign,loss_L20_age_bin,loss_L20_gender,loss_L20_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign
0,1.09932,0.69302,2.48521,1.10568,1.01699,2.52445,1.16631,0.71216,2.53009,1.09868,38.91319,69.40411,42.90303,0.69772,2.55063,1.09564,1.21588,52.55622,5.7387,6.70186,13.17031
1,1.09801,0.69225,2.4857,1.10441,4.31181,2.51694,1.12994,0.70788,2.49944,1.09449,36.80104,66.30033,39.8294,0.66399,2.54407,1.10484,1.21132,53.98605,4.1601,3.54732,12.02779
2,1.09772,0.69355,2.48489,1.09087,1.7557,2.49393,1.12579,0.67612,2.51228,1.09693,23.75964,60.19496,31.80029,0.70357,2.56639,1.06731,0.90051,43.82932,3.49549,3.19664,11.08294
3,1.09744,0.6938,2.48489,1.10055,1.11379,2.49329,1.10436,0.67927,2.48816,1.0833,14.52348,54.17255,23.87834,0.66692,2.51735,1.05032,0.81006,32.82572,3.17907,1.83573,9.224
4,1.0972,0.69286,2.4849,1.08788,1.80932,2.50048,1.08592,0.68021,2.51105,1.06255,2.28892,51.79462,18.57786,0.68234,2.52245,1.03611,0.81327,10.07118,3.40597,2.57064,9.71415
5,1.09592,0.69223,2.4849,1.07755,1.27782,2.50626,1.06606,0.68045,2.51784,1.05913,0.73718,50.84019,19.80516,0.67551,2.50765,1.04717,0.77863,3.58953,3.55536,3.08552,8.85727
6,1.09396,0.69185,2.48549,1.07141,0.75049,2.48438,1.06086,0.6638,2.50595,1.0472,0.72423,46.21339,18.65614,0.69497,2.55442,0.97444,0.70008,3.26572,3.85526,2.62795,8.47385
7,1.09568,0.6919,2.4835,1.08161,1.17463,2.49003,1.07517,0.66994,2.45997,1.06109,0.71118,36.24035,18.80173,0.7058,2.49321,1.03948,0.73123,3.31773,3.34155,2.21245,8.39986
8,1.09371,0.69321,2.48385,1.06571,1.11345,2.48376,1.0516,0.70024,2.48702,1.03934,0.72383,33.88322,15.34094,0.68145,2.51204,0.9452,0.79096,3.16459,3.35741,1.91263,7.0898
9,1.09449,0.69141,2.48315,1.07468,0.83893,2.47973,1.07197,0.67798,2.46358,1.05297,0.74043,29.67022,13.85232,0.67627,2.48752,0.97203,0.7922,3.22667,2.62597,1.95977,7.97445
