model_name,strategy,layer,task,text_balanced_acc,macro_f1
Qwen/Qwen2.5-0.5B,ema,0,age_bin,0.38292,0.32275
Qwen/Qwen2.5-0.5B,ema,0,gender,0.5695,0.56846
Qwen/Qwen2.5-0.5B,ema,0,star_sign,0.08152,0.07248
Qwen/Qwen2.5-0.5B,ema,4,age_bin,0.49419,0.49822
Qwen/Qwen2.5-0.5B,ema,4,gender,0.58727,0.58669
Qwen/Qwen2.5-0.5B,ema,4,star_sign,0.08208,0.07847
Qwen/Qwen2.5-0.5B,ema,8,age_bin,0.55809,0.56514
Qwen/Qwen2.5-0.5B,ema,8,gender,0.62871,0.62843
Qwen/Qwen2.5-0.5B,ema,8,star_sign,0.07631,0.07175
Qwen/Qwen2.5-0.5B,ema,12,age_bin,0.55263,0.55762
Qwen/Qwen2.5-0.5B,ema,12,gender,0.61247,0.61239
Qwen/Qwen2.5-0.5B,ema,12,star_sign,0.08188,0.07901
Qwen/Qwen2.5-0.5B,ema,16,age_bin,0.59235,0.59368
Qwen/Qwen2.5-0.5B,ema,16,gender,0.63276,0.63234
Qwen/Qwen2.5-0.5B,ema,16,star_sign,0.08414,0.08082
Qwen/Qwen2.5-0.5B,ema,20,age_bin,0.59181,0.58963
Qwen/Qwen2.5-0.5B,ema,20,gender,0.63319,0.633
Qwen/Qwen2.5-0.5B,ema,20,star_sign,0.08378,0.08079
Qwen/Qwen2.5-0.5B,ema,24,age_bin,0.61267,0.61179
Qwen/Qwen2.5-0.5B,ema,24,gender,0.64514,0.64468
Qwen/Qwen2.5-0.5B,ema,24,star_sign,0.07567,0.07308
