batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign
0,1.62081,0.3351,1.04108,0.49708,3.31674,0.08377,1.55594,0.33232,1.03043,0.50022,3.27248,0.0815,1.56524,0.33235,1.14816,0.47853,3.19427,0.0868,1.58889,0.34652,1.02893,0.50526,3.2259,0.08693,1.54997,0.33615,1.10014,0.47876,3.3793,0.07139,1.53754,0.34863,1.07726,0.49247,3.28147,0.08089,1.56175,0.32252,0.96363,0.52662,3.27217,0.08683
1,1.58808,0.33077,1.0263,0.50019,3.30601,0.07872,1.54938,0.33311,1.03316,0.50193,3.26478,0.08205,1.52633,0.33638,1.12515,0.48151,3.23051,0.08353,1.57426,0.34685,0.99821,0.50958,3.22751,0.08856,1.59624,0.32613,1.07236,0.48081,3.30544,0.07417,1.50854,0.35478,1.02015,0.50149,3.29164,0.08075,1.52747,0.32711,0.91427,0.53483,3.28237,0.08368
2,1.55672,0.33262,1.01173,0.50204,3.22628,0.0828,1.56921,0.33153,1.0098,0.50278,3.25944,0.08262,1.52351,0.33557,1.09545,0.48497,3.17734,0.08469,1.6181,0.34164,1.02214,0.50755,3.24301,0.08685,1.52414,0.33055,1.04811,0.48588,3.23764,0.07738,1.56181,0.35078,1.03625,0.50146,3.26938,0.08111,1.5252,0.32822,0.93512,0.53518,3.20782,0.08882
3,1.55582,0.33249,1.00771,0.50274,3.2423,0.08298,1.53959,0.3329,0.99488,0.50363,3.30175,0.08137,1.50997,0.33697,1.10615,0.48297,3.18099,0.08526,1.59544,0.34153,0.99413,0.50942,3.25135,0.08703,1.53183,0.33131,1.03185,0.4893,3.17811,0.08024,1.53069,0.35,1.02675,0.50292,3.23987,0.08185,1.59767,0.32272,0.99082,0.53096,3.25816,0.0871
4,1.51367,0.33384,1.01661,0.50226,3.21587,0.08235,1.53952,0.33326,1.00736,0.50363,3.22814,0.08262,1.50499,0.3379,1.07275,0.48562,3.21789,0.08424,1.60588,0.34053,0.99773,0.50989,3.25027,0.08626,1.52892,0.33116,1.05799,0.48945,3.17595,0.08218,1.51339,0.3495,1.04496,0.50142,3.30429,0.08095,1.57158,0.32177,0.92145,0.53366,3.20339,0.08801
5,1.50523,0.33336,0.99705,0.5016,3.1681,0.08272,1.53145,0.3334,1.01373,0.50232,3.22645,0.08264,1.52198,0.33616,1.03896,0.48886,3.17593,0.08489,1.56462,0.34071,1.00838,0.5096,3.21782,0.08634,1.4963,0.33389,1.02299,0.49143,3.23206,0.08222,1.4529,0.35171,1.03481,0.50082,3.27851,0.08136,1.5264,0.32175,0.9509,0.53086,3.21238,0.08734
6,1.51393,0.33348,0.99522,0.50143,3.18663,0.08311,1.54591,0.33277,1.00021,0.5023,3.21946,0.08262,1.47109,0.33849,1.06334,0.48944,3.16303,0.08496,1.53682,0.34258,1.01121,0.50848,3.27999,0.08515,1.49897,0.33595,1.01063,0.49448,3.22305,0.08308,1.53669,0.34969,1.01048,0.50245,3.27763,0.08192,1.49318,0.32513,0.92217,0.53246,3.2029,0.08684
7,1.47169,0.33405,0.98723,0.5015,3.19113,0.08292,1.49418,0.3339,1.00511,0.50132,3.20001,0.08253,1.48592,0.33889,1.03669,0.49115,3.16088,0.08545,1.52207,0.34372,0.97064,0.50945,3.27991,0.08439,1.52978,0.33398,1.05982,0.4938,3.24473,0.08289,1.48641,0.35063,0.99089,0.50348,3.26221,0.08257,1.48188,0.32704,0.95145,0.53116,3.1731,0.08847
8,1.48579,0.33521,0.98994,0.50167,3.16515,0.08295,1.5112,0.3339,0.98237,0.50073,3.20574,0.08273,1.46908,0.33969,0.99984,0.49405,3.17876,0.08547,1.51424,0.34543,0.9926,0.50924,3.24486,0.08418,1.49784,0.33482,0.99183,0.49566,3.26379,0.0827,1.47537,0.351,1.00861,0.50377,3.21131,0.08342,1.52178,0.32586,0.9309,0.53123,3.18858,0.08811
9,1.48648,0.33489,0.99116,0.50245,3.15366,0.08274,1.49293,0.33516,0.97464,0.50077,3.17914,0.083,1.48606,0.33998,1.01845,0.49515,3.21759,0.08477,1.54125,0.34488,1.01187,0.50836,3.22629,0.0842,1.47988,0.33629,0.96251,0.49779,3.15932,0.08362,1.51818,0.35008,1.00036,0.50346,3.18704,0.08432,1.40681,0.33035,0.93581,0.53047,3.18677,0.0876
