model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi
Qwen/Qwen2.5-1.5B-Instruct,ema,0,age_bin,0.39493,0.33291,,,
Qwen/Qwen2.5-1.5B-Instruct,mm,0,age_bin,0.48915,0.48858,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,0,age_bin,0.40212,0.31632,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,0,age_bin,0.39556,0.3034,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,0,age_bin,0.36948,0.25563,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,0,age_bin,0.33554,0.16693,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,0,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,0,gender,0.58222,0.57795,0.60884,,
Qwen/Qwen2.5-1.5B-Instruct,mm,0,gender,0.59309,0.58978,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,0,gender,0.61224,0.61076,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,0,gender,0.61264,0.6107,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,0,gender,0.60541,0.60081,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,0,gender,0.59823,0.58043,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,0,gender,0.50689,0.34161,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,0,star_sign,0.08712,0.07181,,0.08224,0.09179
Qwen/Qwen2.5-1.5B-Instruct,mm,0,star_sign,0.09145,0.07991,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,0,star_sign,0.08354,0.02306,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,0,star_sign,0.08354,0.02305,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,4,age_bin,0.53675,0.54186,,,
Qwen/Qwen2.5-1.5B-Instruct,mm,4,age_bin,0.36068,0.29126,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,4,age_bin,0.56065,0.5672,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,4,age_bin,0.54955,0.55513,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,4,age_bin,0.49932,0.48979,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,4,age_bin,0.37609,0.25918,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,4,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,4,gender,0.59862,0.59781,0.63481,,
Qwen/Qwen2.5-1.5B-Instruct,mm,4,gender,0.52419,0.50295,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,4,gender,0.63509,0.63416,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,4,gender,0.62577,0.62454,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,4,gender,0.60807,0.6065,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,4,gender,0.59844,0.59287,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,4,gender,0.54445,0.46062,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,4,star_sign,0.08196,0.07549,,0.07666,0.08674
Qwen/Qwen2.5-1.5B-Instruct,mm,4,star_sign,0.07941,0.02809,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,4,star_sign,0.08951,0.05084,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,4,star_sign,0.08883,0.04594,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,4,star_sign,0.08585,0.03317,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,4,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,4,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,8,age_bin,0.57929,0.58636,,,
Qwen/Qwen2.5-1.5B-Instruct,mm,8,age_bin,0.37076,0.30507,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,8,age_bin,0.63949,0.64534,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,8,age_bin,0.62221,0.62843,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,8,age_bin,0.55712,0.55432,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,8,age_bin,0.40006,0.30141,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,8,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,8,gender,0.63063,0.62893,0.67686,,
Qwen/Qwen2.5-1.5B-Instruct,mm,8,gender,0.52675,0.50689,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,8,gender,0.65949,0.65809,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,8,gender,0.64917,0.64742,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,8,gender,0.63342,0.6314,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,8,gender,0.61342,0.60907,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,8,gender,0.58463,0.54225,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,8,star_sign,0.07934,0.0734,,0.07461,0.0846
Qwen/Qwen2.5-1.5B-Instruct,mm,8,star_sign,0.07923,0.02924,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,8,star_sign,0.08596,0.05708,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,8,star_sign,0.088,0.05078,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,8,star_sign,0.0873,0.03472,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,8,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,8,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,12,age_bin,0.57354,0.58028,,,
Qwen/Qwen2.5-1.5B-Instruct,mm,12,age_bin,0.38334,0.32126,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,12,age_bin,0.63568,0.64139,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,12,age_bin,0.62155,0.62802,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,12,age_bin,0.56766,0.56979,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,12,age_bin,0.4102,0.32226,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,12,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,12,gender,0.63479,0.63392,0.68802,,
Qwen/Qwen2.5-1.5B-Instruct,mm,12,gender,0.53072,0.51246,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,12,gender,0.66418,0.66312,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,12,gender,0.65707,0.65569,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,12,gender,0.62852,0.62697,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,12,gender,0.60426,0.60044,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,12,gender,0.58438,0.55608,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,12,star_sign,0.08516,0.08172,,0.07975,0.09031
Qwen/Qwen2.5-1.5B-Instruct,mm,12,star_sign,0.07946,0.03179,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,12,star_sign,0.0839,0.06102,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,12,star_sign,0.08663,0.05689,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,12,star_sign,0.08862,0.04044,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,12,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,12,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,16,age_bin,0.57455,0.58101,,,
Qwen/Qwen2.5-1.5B-Instruct,mm,16,age_bin,0.38786,0.33068,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,16,age_bin,0.62961,0.63562,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,16,age_bin,0.61096,0.61761,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,16,age_bin,0.55482,0.55583,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,16,age_bin,0.41,0.32719,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_100.0,16,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-1.5B-Instruct,ema,16,gender,0.62995,0.62845,0.6787,,
Qwen/Qwen2.5-1.5B-Instruct,mm,16,gender,0.53299,0.51566,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.01,16,gender,0.65325,0.65239,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_0.1,16,gender,0.64121,0.6402,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_1.0,16,gender,0.61921,0.61768,,,
Qwen/Qwen2.5-1.5B-Instruct,ridge_10.0,16,gender,0.6007,0.59533,,,
