model_name,layer,task,position_pct,correct,total,accuracy
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,2.5,53027,152573,0.34755
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,7.5,52194,147619,0.35357
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,12.5,53153,148031,0.35907
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,17.5,53429,147210,0.36294
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,22.5,53621,147601,0.36328
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,27.5,53749,148556,0.36181
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,32.5,54031,148122,0.36477
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,37.5,53298,147101,0.36232
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,42.5,53347,148603,0.35899
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,47.5,52584,145587,0.36119
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,52.5,54809,150118,0.36511
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,57.5,53468,147130,0.36341
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,62.5,53931,148574,0.36299
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,67.5,53773,147649,0.36419
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,72.5,53050,147016,0.36085
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,77.5,53966,148141,0.36429
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,82.5,53782,148683,0.36172
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,87.5,53497,147558,0.36255
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,92.5,53825,148092,0.36346
Qwen/Qwen2.5-1.5B-Instruct_chat,0,age_bin,97.5,51265,143105,0.35823
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,2.5,73631,152573,0.4826
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,7.5,74010,147619,0.50136
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,12.5,75760,148031,0.51178
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,17.5,76064,147210,0.5167
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,22.5,75791,147601,0.51349
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,27.5,76715,148556,0.5164
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,32.5,76806,148122,0.51853
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,37.5,76013,147101,0.51674
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,42.5,76873,148603,0.5173
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,47.5,75327,145587,0.5174
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,52.5,77639,150118,0.51719
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,57.5,76283,147130,0.51847
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,62.5,77011,148574,0.51833
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,67.5,75986,147649,0.51464
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,72.5,76249,147016,0.51864
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,77.5,76786,148141,0.51833
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,82.5,76828,148683,0.51672
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,87.5,76309,147558,0.51715
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,92.5,76681,148092,0.51779
Qwen/Qwen2.5-1.5B-Instruct_chat,0,gender,97.5,72984,143105,0.51
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,2.5,16718,152573,0.10957
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,7.5,14722,147619,0.09973
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,12.5,13759,148031,0.09295
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,17.5,13815,147210,0.09385
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,22.5,13710,147601,0.09289
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,27.5,13480,148556,0.09074
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,32.5,13265,148122,0.08955
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,37.5,13222,147101,0.08988
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,42.5,13240,148603,0.0891
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,47.5,12876,145587,0.08844
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,52.5,13645,150118,0.0909
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,57.5,13331,147130,0.09061
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,62.5,13189,148574,0.08877
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,67.5,13289,147649,0.09
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,72.5,13180,147016,0.08965
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,77.5,13180,148141,0.08897
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,82.5,13557,148683,0.09118
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,87.5,13333,147558,0.09036
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,92.5,13327,148092,0.08999
Qwen/Qwen2.5-1.5B-Instruct_chat,0,star_sign,97.5,13962,143105,0.09756
