batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
0,1.59736,0.32498,1.06261,0.50418,3.31282,0.08131,1.46264,0.33905,0.94846,0.4989,3.00258,0.08716,1.53434,0.31673,1.0332,0.49771,3.05661,0.08598,1.46484,0.32474,0.94744,0.49506,3.11581,0.07899,1.51502,0.32626,0.92465,0.5129,3.10963,0.08313,1.49905,0.34081,1.02514,0.49956,3.28953,0.07124,1.59075,0.33758,1.08184,0.49989,3.21211,0.08735,1.61893,0.34574,1.01973,0.52608,3.32899,0.08906
1,1.57588,0.32492,1.02142,0.5092,3.29884,0.08039,1.44402,0.34298,0.95644,0.49476,3.00616,0.086,1.50863,0.31595,1.01873,0.49959,3.03135,0.08605,1.41721,0.33306,0.92617,0.49937,3.08589,0.08144,1.44965,0.33436,0.96292,0.49937,3.13031,0.08282,1.49642,0.34138,0.98716,0.50384,3.22504,0.07578,1.52851,0.34506,1.04087,0.50821,3.21579,0.08671,1.617,0.33501,1.04159,0.51699,3.40051,0.08348
2,1.57315,0.32522,1.05196,0.50351,3.24611,0.08027,1.43938,0.3424,0.90973,0.50036,2.99068,0.08595,1.46568,0.31915,1.00591,0.49844,3.05366,0.08388,1.46634,0.32951,0.94967,0.49443,3.09102,0.08182,1.45432,0.33241,0.95532,0.49389,3.13674,0.08136,1.52594,0.33565,0.98011,0.50525,3.19595,0.07736,1.60392,0.33859,1.01604,0.51023,3.28112,0.0837,1.65352,0.32867,0.98308,0.5206,3.30345,0.08431
3,1.52686,0.32858,1.02248,0.50286,3.22982,0.08185,1.43999,0.34083,0.9173,0.5011,2.96178,0.08589,1.48586,0.31862,0.99003,0.49704,3.03437,0.08332,1.46491,0.32667,0.92738,0.49413,3.02965,0.08296,1.42771,0.33348,0.93548,0.49499,3.07313,0.08277,1.45065,0.33856,0.9613,0.50658,3.16991,0.07915,1.56499,0.3371,1.05377,0.50522,3.21058,0.0838,1.66914,0.32438,1.02512,0.51786,3.32166,0.08409
4,1.53465,0.32949,1.02446,0.5023,3.20923,0.08305,1.41987,0.34032,0.90624,0.50257,2.99074,0.0849,1.48645,0.31859,0.94528,0.49988,3.01184,0.08365,1.43406,0.3272,0.9453,0.49213,3.11254,0.08054,1.43977,0.33277,0.93408,0.49482,3.0837,0.08235,1.45687,0.33884,0.98436,0.50557,3.15882,0.08102,1.60227,0.33453,0.9945,0.50825,3.27825,0.08151,1.5806,0.32497,0.97209,0.52022,3.29875,0.08303
5,1.51501,0.32924,1.00496,0.50255,3.20121,0.08299,1.41253,0.34065,0.91978,0.50274,2.96357,0.08452,1.46599,0.31887,0.95569,0.50025,3.00449,0.08369,1.41235,0.32839,0.91121,0.49372,3.05929,0.08081,1.3884,0.33449,0.92159,0.49566,3.0592,0.08217,1.45621,0.33853,0.96166,0.50593,3.14061,0.08151,1.46839,0.33858,0.98835,0.50915,3.17377,0.08229,1.51898,0.32871,1.01695,0.51695,3.27641,0.08267
6,1.49483,0.32949,1.01205,0.50264,3.18617,0.08304,1.41873,0.34068,0.90961,0.50236,2.96295,0.08414,1.42779,0.32044,0.92349,0.50224,3.02367,0.08301,1.39654,0.3298,0.91696,0.49426,2.97691,0.08185,1.42163,0.33436,0.92265,0.49635,3.06316,0.08199,1.43324,0.33905,0.98396,0.50494,3.16123,0.08176,1.47145,0.34201,0.98748,0.51013,3.16783,0.08265,1.51052,0.33128,0.95534,0.51739,3.26543,0.08265
7,1.50142,0.32896,0.98137,0.50328,3.18312,0.08285,1.41714,0.34037,0.92619,0.50065,2.95084,0.08468,1.44083,0.3216,0.94813,0.50194,3.03057,0.08269,1.37653,0.33231,0.91025,0.49515,3.00343,0.08243,1.40946,0.33357,0.90747,0.49702,3.07571,0.08147,1.42799,0.33996,0.95946,0.50475,3.12448,0.082,1.48047,0.34329,0.96781,0.51171,3.19003,0.08269,1.52943,0.33231,0.95341,0.51807,3.34022,0.08201
8,1.47645,0.32817,0.98168,0.50368,3.1601,0.08344,1.39275,0.34133,0.91233,0.50043,2.95443,0.08427,1.4482,0.32176,0.936,0.50138,2.98134,0.08276,1.41269,0.33174,0.91813,0.49479,3.03374,0.08234,1.40034,0.33452,0.919,0.49715,3.02859,0.08159,1.42562,0.34054,0.95334,0.50491,3.13416,0.08195,1.50599,0.34272,0.99444,0.50989,3.24333,0.08189,1.4611,0.33487,0.97189,0.51744,3.3057,0.0814
9,1.4622,0.3285,0.98953,0.50312,3.15099,0.08355,1.39071,0.34195,0.90813,0.5,2.95684,0.0846,1.45592,0.32205,0.94411,0.50085,2.98562,0.08318,1.41466,0.33142,0.89897,0.49528,3.06181,0.08155,1.39388,0.33437,0.94247,0.49569,3.04017,0.08157,1.41697,0.34087,0.97896,0.50351,3.14424,0.08216,1.51082,0.34212,0.96338,0.51001,3.16166,0.08217,1.42492,0.33822,0.98561,0.51526,3.15013,0.08288
10,1.4715,0.32774,0.97588,0.503,3.14711,0.08338,1.40253,0.34241,0.89381,0.50036,2.97566,0.08435,1.43517,0.32217,0.9213,0.50152,3.00335,0.08299,1.38825,0.33231,0.88187,0.49642,3.0216,0.08166,1.36143,0.33579,0.90638,0.49641,3.00743,0.08205,1.41249,0.34137,0.94991,0.50342,3.12099,0.08226,1.41646,0.34496,0.92503,0.51167,3.18411,0.08207,1.48888,0.33884,0.90599,0.51738,3.25358,0.08274
11,1.45866,0.32799,0.97025,0.50279,3.13946,0.08358,1.37427,0.34333,0.90494,0.50015,2.96805,0.08397,1.45569,0.32188,0.92362,0.50156,2.96967,0.08328,1.38971,0.33234,0.90191,0.49672,3.00723,0.08172,1.37673,0.33609,0.90604,0.49669,3.04118,0.08206,1.40618,0.34163,0.93658,0.50379,3.11265,0.08235,1.45184,0.34608,0.88421,0.51435,3.186,0.08211,1.43541,0.34035,0.9369,0.51747,3.22338,0.08289
12,1.45231,0.32825,0.97445,0.5022,3.14607,0.08367,1.38379,0.34385,0.89405,0.50094,2.9594,0.08362,1.43501,0.3222,0.90874,0.50212,2.98106,0.08345,1.38478,0.333,0.88464,0.49726,2.98335,0.08194,1.34413,0.33742,0.88808,0.49801,2.98936,0.08252,1.37339,0.34296,0.91917,0.50423,3.07072,0.08288,1.4637,0.34635,0.94594,0.5147,3.1609,0.08234,1.50027,0.3404,0.92207,0.5186,3.30179,0.08226
13,1.44184,0.32834,0.96866,0.50176,3.1298,0.0837,1.38748,0.3442,0.88474,0.50143,2.94475,0.08368,1.4227,0.32293,0.9018,0.50288,2.98487,0.08352,1.41545,0.33245,0.87507,0.49853,2.99963,0.08217,1.34817,0.33875,0.90826,0.49805,3.05873,0.08209,1.42602,0.34257,0.9068,0.50534,3.06159,0.08337,1.41456,0.34813,0.96387,0.51445,3.23059,0.08178,1.43261,0.34141,0.88764,0.52088,3.1982,0.08251
14,1.44615,0.32854,0.94827,0.50197,3.1159,0.08402,1.39898,0.34398,0.89153,0.50166,2.94337,0.08381,1.40949,0.32368,0.93645,0.50194,2.97628,0.08362,1.38738,0.33215,0.89207,0.49848,3.00119,0.08228,1.35665,0.33913,0.86563,0.4997,3.06093,0.08151,1.38311,0.34341,0.92022,0.50562,3.12841,0.08309,1.45872,0.34823,0.88456,0.51627,3.16152,0.082,1.46131,0.34164,0.86599,0.52386,3.19231,0.08309
15,1.42567,0.32924,0.9515,0.5021,3.11126,0.08422,1.38469,0.34401,0.89777,0.50139,2.94303,0.08389,1.42051,0.32415,0.89667,0.50284,2.95442,0.08403,1.39031,0.33238,0.86659,0.49957,2.98215,0.08229,1.36411,0.33981,0.89308,0.49999,3.04974,0.08131,1.39008,0.34378,0.89817,0.5067,3.12558,0.08294,1.46305,0.34786,0.8824,0.51827,3.18427,0.08196,1.43185,0.34264,0.85976,0.52584,3.18484,0.08333
16,1.43157,0.3295,0.94994,0.50186,3.12277,0.08409,1.37126,0.34461,0.88587,0.50164,2.96105,0.08381,1.42673,0.32421,0.88226,0.50365,2.97199,0.08419,1.36906,0.3328,0.84944,0.50092,2.99844,0.082,1.35688,0.34027,0.89613,0.50067,2.97098,0.08203,1.40377,0.34376,0.89155,0.50798,3.08785,0.08275,1.3992,0.34881,0.91945,0.51873,3.1838,0.08176,1.39527,0.34476,0.92234,0.52625,3.23725,0.08298
