model_name,layer,task,position_pct,correct,total,accuracy
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,2.5,51681,139495,0.37049
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,7.5,49184,134717,0.36509
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,12.5,49531,135083,0.36667
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,17.5,48853,134169,0.36412
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,22.5,49153,134610,0.36515
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,27.5,49441,135622,0.36455
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,32.5,49040,135135,0.3629
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,37.5,48720,134154,0.36316
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,42.5,48818,135617,0.35997
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,47.5,48595,132632,0.36639
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,52.5,50308,137149,0.36681
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,57.5,48803,134086,0.36397
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,62.5,49345,135685,0.36367
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,67.5,49005,134579,0.36414
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,72.5,48945,134178,0.36478
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,77.5,49043,135079,0.36307
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,82.5,49409,135700,0.3641
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,87.5,49005,134527,0.36428
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,92.5,49370,135273,0.36497
Qwen/Qwen2.5-1.5B-Instruct,0,age_bin,97.5,47573,130028,0.36587
Qwen/Qwen2.5-1.5B-Instruct,0,gender,2.5,72173,139495,0.51739
Qwen/Qwen2.5-1.5B-Instruct,0,gender,7.5,69566,134717,0.51639
Qwen/Qwen2.5-1.5B-Instruct,0,gender,12.5,69607,135083,0.51529
Qwen/Qwen2.5-1.5B-Instruct,0,gender,17.5,69004,134169,0.51431
Qwen/Qwen2.5-1.5B-Instruct,0,gender,22.5,69474,134610,0.51611
Qwen/Qwen2.5-1.5B-Instruct,0,gender,27.5,70229,135622,0.51783
Qwen/Qwen2.5-1.5B-Instruct,0,gender,32.5,69832,135135,0.51676
Qwen/Qwen2.5-1.5B-Instruct,0,gender,37.5,69216,134154,0.51594
Qwen/Qwen2.5-1.5B-Instruct,0,gender,42.5,70360,135617,0.51881
Qwen/Qwen2.5-1.5B-Instruct,0,gender,47.5,68816,132632,0.51885
Qwen/Qwen2.5-1.5B-Instruct,0,gender,52.5,70770,137149,0.51601
Qwen/Qwen2.5-1.5B-Instruct,0,gender,57.5,69525,134086,0.51851
Qwen/Qwen2.5-1.5B-Instruct,0,gender,62.5,70280,135685,0.51796
Qwen/Qwen2.5-1.5B-Instruct,0,gender,67.5,69344,134579,0.51527
