batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
0,1.60406,0.32545,1.06486,0.50356,3.3103,0.08271,1.42618,0.33878,0.91405,0.49631,2.94493,0.08675,1.52233,0.31812,0.97794,0.50336,3.01387,0.08451,1.45095,0.32769,0.94059,0.48851,3.0882,0.08037,1.48734,0.32442,0.90459,0.51223,3.07487,0.08212,1.50737,0.33816,1.00864,0.50243,3.24888,0.07278,1.55847,0.34112,1.09169,0.49497,3.18268,0.08984,1.59729,0.34948,1.05293,0.52294,3.34201,0.08529
1,1.58282,0.32418,1.02192,0.50835,3.30244,0.08125,1.40507,0.34358,0.92429,0.49402,2.96503,0.08573,1.50095,0.31854,0.96545,0.50498,2.98743,0.08537,1.40129,0.33457,0.91262,0.49557,3.05599,0.08205,1.41559,0.33393,0.93995,0.50052,3.09536,0.08022,1.49983,0.34095,0.97618,0.50573,3.17377,0.07775,1.50527,0.34719,1.04573,0.50376,3.20023,0.08842,1.62132,0.33606,1.08851,0.51319,3.40056,0.0801
2,1.5801,0.32342,1.05065,0.50336,3.25174,0.08099,1.40631,0.34346,0.88034,0.50023,2.94929,0.08638,1.45344,0.32092,0.97987,0.50052,3.01464,0.08392,1.45322,0.33066,0.93429,0.49235,3.0481,0.08199,1.41487,0.33449,0.93761,0.49415,3.09518,0.07962,1.53511,0.33458,0.9656,0.50767,3.14467,0.07898,1.58894,0.34036,1.01399,0.50782,3.26663,0.08464,1.66129,0.32916,1.00091,0.52064,3.31375,0.08119
3,1.52938,0.32713,1.02655,0.50255,3.23973,0.08247,1.41076,0.34183,0.89022,0.50216,2.92985,0.0863,1.46196,0.32054,0.94939,0.49922,3.00598,0.08296,1.45847,0.32676,0.91611,0.49349,3.0032,0.08293,1.41651,0.33326,0.91658,0.49523,3.02672,0.0816,1.45847,0.33858,0.94613,0.50928,3.13748,0.08009,1.53808,0.34026,1.06322,0.50264,3.19722,0.0848,1.70018,0.32469,1.0672,0.51743,3.30096,0.08254
4,1.53895,0.32814,1.02566,0.5018,3.21996,0.08372,1.39152,0.34134,0.87859,0.50363,2.95687,0.08511,1.46055,0.32108,0.90555,0.50206,2.98073,0.08293,1.43519,0.32642,0.93238,0.4921,3.08216,0.08053,1.42906,0.33179,0.91707,0.49467,3.0174,0.08159,1.48104,0.33783,0.96625,0.50945,3.1188,0.08172,1.57244,0.33818,0.99184,0.50663,3.26721,0.08232,1.5937,0.32564,1.01247,0.52027,3.2953,0.08234
5,1.51844,0.32789,1.00647,0.50217,3.21529,0.08352,1.38338,0.34195,0.88661,0.50376,2.9336,0.08474,1.44595,0.32172,0.92374,0.50209,2.97384,0.08276,1.41104,0.32806,0.90055,0.49403,3.02516,0.08109,1.36398,0.3339,0.89951,0.49607,3.01661,0.08146,1.4677,0.33743,0.94513,0.5104,3.10886,0.08203,1.42913,0.34287,0.98582,0.50822,3.15952,0.08286,1.53189,0.33021,1.05358,0.5178,3.2871,0.08218
6,1.49686,0.32823,1.0166,0.50208,3.19809,0.08349,1.39372,0.34175,0.88397,0.50351,2.92889,0.08441,1.40584,0.32326,0.89537,0.50417,2.99186,0.08205,1.39369,0.32988,0.90819,0.49452,2.94581,0.08218,1.41085,0.33336,0.90273,0.49705,3.01971,0.08129,1.43159,0.33887,0.97893,0.50905,3.11497,0.08216,1.4491,0.34635,0.98329,0.50996,3.16085,0.08308,1.54051,0.33325,0.98013,0.51959,3.26828,0.0825
7,1.50673,0.32746,0.98304,0.5027,3.20071,0.08326,1.38934,0.34157,0.912,0.50103,2.90989,0.08507,1.43281,0.32403,0.93017,0.50376,2.99977,0.08174,1.38132,0.3322,0.89858,0.49568,2.99823,0.0827,1.39617,0.33216,0.87898,0.49856,3.03068,0.0806,1.43831,0.33974,0.95643,0.50829,3.0883,0.08247,1.45757,0.34771,0.97555,0.51121,3.18507,0.08293,1.56377,0.33369,0.99428,0.52033,3.38534,0.08165
8,1.47852,0.32749,0.98607,0.50326,3.17469,0.08393,1.36748,0.34244,0.89028,0.50073,2.91938,0.08471,1.42273,0.32447,0.91327,0.50349,2.95076,0.082,1.41922,0.33128,0.91094,0.49567,3.01171,0.08258,1.38449,0.33322,0.9049,0.49812,2.98742,0.08082,1.43153,0.34091,0.94649,0.50871,3.1032,0.08236,1.48087,0.34743,1.00098,0.50955,3.23777,0.08212,1.47293,0.33738,1.00997,0.51983,3.35735,0.08056
9,1.46375,0.32805,0.99309,0.50259,3.16284,0.084,1.36484,0.34327,0.88412,0.50049,2.92495,0.08503,1.43349,0.32481,0.92461,0.50278,2.94557,0.08255,1.41703,0.33099,0.89236,0.49608,3.03597,0.0819,1.37787,0.33353,0.92654,0.49685,2.9972,0.08078,1.42212,0.34177,0.97306,0.50727,3.09893,0.08262,1.48685,0.34691,0.96618,0.5098,3.15161,0.08247,1.43658,0.34176,1.01765,0.51819,3.16266,0.08215
10,1.47508,0.32734,0.98096,0.50247,3.16272,0.08385,1.39116,0.34345,0.86685,0.50137,2.94766,0.08469,1.41404,0.32524,0.90146,0.50362,2.97422,0.08242,1.38816,0.33197,0.87178,0.49758,2.9854,0.08223,1.33916,0.33568,0.89238,0.49746,2.97334,0.08112,1.41878,0.34251,0.94684,0.50708,3.09075,0.08271,1.39453,0.34973,0.92873,0.51174,3.18471,0.08221,1.531,0.34261,0.91618,0.52145,3.28997,0.08211
11,1.46195,0.32816,0.97713,0.5024,3.15695,0.08403,1.34894,0.34478,0.88243,0.50121,2.93981,0.08437,1.4448,0.32466,0.90212,0.50384,2.94777,0.08267,1.39931,0.33188,0.89826,0.49799,2.98576,0.08222,1.36443,0.33619,0.89034,0.49815,2.99333,0.08132,1.42664,0.34246,0.93524,0.5077,3.08889,0.08276,1.42187,0.3512,0.88304,0.51487,3.19458,0.08211,1.43925,0.34518,0.97175,0.52203,3.25731,0.08223
12,1.45612,0.32858,0.98119,0.50184,3.1634,0.08412,1.36055,0.34553,0.86919,0.5022,2.93254,0.08419,1.42049,0.32482,0.88755,0.50449,2.95495,0.08282,1.39216,0.33251,0.87915,0.49886,2.97088,0.08266,1.32912,0.33766,0.8755,0.49925,2.95093,0.08196,1.38649,0.34399,0.91667,0.50844,3.05917,0.08311,1.44338,0.35162,0.95094,0.51537,3.16397,0.08225,1.52403,0.34612,0.96528,0.52292,3.35279,0.08137
13,1.44531,0.3289,0.97164,0.50141,3.1453,0.08412,1.3662,0.34589,0.87047,0.50262,2.91625,0.08424,1.41032,0.32549,0.89251,0.50511,2.95826,0.08299,1.42258,0.33164,0.87601,0.4999,2.96904,0.08305,1.3343,0.33909,0.89667,0.49927,3.0285,0.08142,1.43155,0.34389,0.91514,0.5094,3.04804,0.08354,1.39406,0.35354,0.96835,0.51545,3.24083,0.08157,1.47133,0.34738,0.91186,0.52576,3.24071,0.08159
14,1.45068,0.32916,0.95153,0.50194,3.1313,0.08444,1.38274,0.34556,0.87395,0.5031,2.91489,0.08436,1.39506,0.32607,0.91813,0.50431,2.95196,0.08317,1.39269,0.33132,0.87756,0.5004,2.98974,0.08297,1.33998,0.33962,0.85027,0.50112,3.03162,0.08085,1.37954,0.34501,0.91452,0.51006,3.13352,0.08296,1.44652,0.35359,0.88452,0.51764,3.15872,0.08181,1.50325,0.34769,0.88867,0.52892,3.23419,0.08224
15,1.42958,0.33005,0.95657,0.50212,3.12725,0.08465,1.36892,0.34554,0.88224,0.50272,2.91694,0.08435,1.40908,0.3266,0.87582,0.50547,2.93618,0.08353,1.3987,0.33139,0.86154,0.50149,2.96131,0.08297,1.35889,0.34009,0.87944,0.50148,3.01133,0.08071,1.3961,0.34555,0.89517,0.51134,3.11474,0.08277,1.44715,0.3533,0.87536,0.52,3.20167,0.08162,1.45834,0.34907,0.88298,0.53134,3.22498,0.08264
