batch,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L4_age_bin,loss_L4_gender,loss_L4_star_sign,loss_L8_age_bin,loss_L8_gender,loss_L8_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L16_age_bin,loss_L16_gender,loss_L16_star_sign,loss_L20_age_bin,loss_L20_gender,loss_L20_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign,loss_L28_age_bin,loss_L28_gender,loss_L28_star_sign
0,1.09823,0.69288,2.48549,99.23872,167.79466,2.62807,175.34505,45.37241,2.81151,369.30701,1.04041,2.58872,464.1962,0.97135,2.68714,1.23716,0.81745,615.61902,4.13933,1.44104,792.53479,3.72844,7.48306,6.0015
1,1.09815,0.69136,2.48474,32.1769,0.67916,2.5153,104.25843,10.6952,2.56763,305.71738,0.77198,2.61408,349.61615,0.77274,2.64691,1.15541,0.79673,514.4314,2.93496,1.41174,732.64874,1.95103,5.60255,4.51951
2,1.09719,0.69428,2.48471,48.8307,0.80352,2.48224,49.44227,3.1362,2.53073,206.37149,0.81474,2.56519,276.98505,0.80404,2.72417,1.10017,0.78162,370.90558,2.53723,1.33248,648.42426,1.70092,2.47004,3.75568
3,1.09575,0.69449,2.48369,62.64279,0.80803,2.50179,46.51982,4.49425,2.52891,112.09737,0.69575,2.47265,228.2421,0.66628,2.58101,1.13235,0.77507,287.77661,2.45253,1.07292,524.06836,2.15199,1.34468,3.58561
4,1.0953,0.69253,2.48481,68.08376,0.77341,2.5325,19.92101,7.59547,2.5303,126.95132,0.73766,2.60913,209.11003,0.75732,2.65674,1.05937,0.72065,242.98792,2.0425,1.15979,448.9191,2.24344,1.96848,3.56841
5,1.09367,0.69104,2.48387,55.59321,0.75089,2.47905,48.63554,2.42613,2.51872,131.16264,0.71667,2.54414,181.06377,0.79525,2.51668,0.95944,0.67704,244.75716,1.6159,1.35908,391.6973,1.98671,2.26729,3.57757
6,1.0883,0.69067,2.48669,57.8752,0.73422,2.52432,57.71843,9.48636,2.58633,100.67601,0.86085,2.59313,163.02461,0.86534,2.51891,1.02818,0.6674,183.03615,1.84631,1.12492,329.72101,1.81608,1.94549,3.92334
7,1.09402,0.69068,2.48059,39.38282,0.7158,2.46002,38.26759,2.46026,2.507,86.6352,0.8211,2.53787,91.13826,0.83724,2.55138,1.06517,0.71443,188.882,1.8768,0.97901,260.17914,1.48961,1.67247,3.52621
8,1.08758,0.69319,2.48098,24.29432,0.83863,2.4757,33.97353,11.93242,2.56848,43.25412,0.70718,2.54223,87.76118,0.70946,2.51843,0.97026,0.79124,172.45715,2.00022,0.99086,206.7738,1.21226,1.78682,3.34622
9,1.09054,0.68958,2.47982,11.6771,0.76979,2.49366,40.43423,10.81053,2.4875,87.09039,0.67918,2.56335,52.59145,0.7245,2.57105,1.01641,0.71037,161.98575,1.95345,1.11416,200.05359,1.28414,1.04748,3.23213
10,1.09155,0.69175,2.47984,24.59946,0.80411,2.51784,32.36271,2.04641,2.48876,110.29832,0.64097,2.49137,21.22384,0.69174,2.54258,0.95561,0.63502,173.49158,1.60164,0.94413,155.51106,1.46572,1.0251,3.33281
11,1.08057,0.69107,2.47901,31.9559,0.78257,2.46541,11.22024,11.36924,2.51814,115.382,0.67511,2.47538,24.32952,0.72019,2.51255,0.95636,0.71252,201.0582,1.65924,1.11106,96.35293,1.56123,1.20465,3.28417
12,1.08317,0.69989,2.47625,35.18648,0.90735,2.49611,27.36399,8.36657,2.50259,113.35289,0.68046,2.50457,54.90302,0.77625,2.51434,0.90533,0.64231,151.99844,1.46255,1.03044,106.48274,1.54029,1.02325,3.02451
13,1.07479,0.69522,2.48364,21.7319,0.83218,2.52491,31.62238,2.62008,2.49957,93.85117,0.68735,2.54637,66.17107,0.76935,2.54871,0.86099,0.6835,155.1012,1.31158,0.90515,119.3187,1.19986,1.23284,2.89775
14,1.08775,0.69683,2.4803,8.1678,0.85091,2.50044,31.88634,10.06549,2.53689,90.89773,0.66756,2.52758,64.83774,0.72676,2.52946,0.99543,0.61027,152.85913,1.34834,0.98441,142.57175,1.30696,0.98219,3.01381
15,1.07395,0.68924,2.48391,15.66279,0.7469,2.53541,16.55393,7.95765,2.51943,52.50427,0.62863,2.56218,58.87335,0.63985,2.57278,0.9037,0.73542,195.66052,1.49188,0.94557,182.91339,1.07975,1.04123,3.02712
16,1.09702,0.69383,2.47449,11.85167,0.80182,2.46696,7.6265,2.99929,2.46217,41.99379,0.63942,2.47079,49.10935,0.71585,2.55332,0.85041,0.73764,172.43265,1.4644,1.01286,139.40097,1.16205,0.91827,2.94093
17,1.09251,0.68995,2.47461,23.56446,0.76258,2.48178,12.11019,9.37819,2.48937,45.71947,0.64196,2.52585,23.79918,0.59912,2.49428,0.90249,0.6048,155.59137,1.32222,0.82714,127.86816,1.25669,0.95442,3.06751
18,1.07306,0.69011,2.48449,22.49223,0.77607,2.45102,22.0905,10.92931,2.4766,47.08182,0.61119,2.45989,36.43697,0.65947,2.50417,0.99521,0.64048,127.87095,1.32969,52.94012,185.2097,1.48773,1.00918,3.0362
19,1.08961,0.68917,2.48501,9.27486,0.72374,2.47604,20.2146,3.16829,2.51905,40.70125,0.65883,2.57409,31.15245,0.69735,2.54054,0.83756,0.64944,107.67171,1.12466,0.79459,192.79875,1.23626,0.85268,2.9858
20,1.078,0.68884,2.48482,7.04928,0.74925,2.50708,20.6244,9.42199,2.55272,29.44869,0.635,2.49655,17.94166,0.65285,2.58577,0.97721,0.57793,79.81115,1.32254,0.96386,145.98222,1.21516,0.71158,2.90851
21,1.07421,0.69051,2.48008,11.23578,0.73803,2.46765,14.55089,13.52353,2.5225,42.979,0.6212,2.54731,32.10816,0.66544,2.5418,0.87544,0.66673,65.48344,1.12269,0.88084,201.00259,1.14124,0.71078,2.83996
22,1.06198,0.68733,2.48955,11.92121,0.70321,2.49118,3.44358,9.48608,2.5689,54.45219,0.63679,2.49112,51.05989,0.6681,2.55456,0.90589,0.63736,108.83903,1.40586,0.80854,155.15187,1.26175,0.71416,2.67172
23,1.08557,0.69133,2.48081,1.53219,0.73683,2.48989,14.14534,2.29207,2.49828,45.83408,0.63729,2.51554,58.55808,0.65826,2.48997,0.87441,0.62173,101.51374,1.09601,0.71583,145.49586,1.34303,0.74687,2.79255
24,1.06328,0.69496,2.4727,1.36588,0.80398,2.51657,13.3908,9.07973,2.43004,38.42803,0.62902,2.4671,49.69317,0.67395,2.536,0.87529,0.67583,88.96723,0.90127,0.92816,153.81862,1.09545,0.84206,2.73334
25,1.07287,0.69013,2.47077,1.1973,0.74519,2.47143,12.41278,14.24508,2.47019,22.14152,0.66582,2.52219,29.29134,0.68399,2.54375,0.97702,0.64064,100.61124,1.27779,0.84557,125.92146,1.23506,0.83593,2.87338
26,1.09121,0.69171,2.4775,1.32293,0.75928,2.47328,13.16417,7.99363,2.45547,36.00329,0.66727,2.44156,13.51632,0.67574,2.49523,0.91099,0.67689,104.32684,1.10619,0.84427,116.22191,1.38605,0.77679,2.67908
27,1.09243,0.69622,2.4752,1.23785,0.81213,2.51939,9.91017,4.61674,2.46015,30.30596,0.65299,2.49651,21.71893,0.6876,2.51111,0.81473,0.6479,111.83012,1.01429,0.8664,127.20145,1.07879,0.72922,2.71682
28,1.078,0.69325,2.48528,1.34393,0.76902,2.5023,8.29072,7.05537,2.51049,26.02938,0.61099,2.48271,22.61712,0.61669,2.48407,0.80358,0.61098,93.17876,1.05623,0.86179,123.1845,1.08107,0.70204,2.59144
29,1.08174,0.69263,2.47165,1.23125,0.77005,2.5124,3.90342,3.10416,2.48243,16.56403,0.6213,2.55488,28.1694,0.61312,2.58962,0.81723,0.62099,79.31131,0.98017,0.83117,102.3862,1.23355,0.80213,2.69941
30,1.08446,0.69437,2.47595,1.17864,0.79279,2.47339,7.55945,6.39356,2.44429,25.84658,0.57763,2.42255,31.12902,0.60127,2.43938,0.83773,0.6027,100.65784,0.99427,0.78213,101.76881,0.94471,0.76845,2.63655
31,1.10333,0.69642,2.47669,1.22563,0.76595,2.45627,6.40182,7.00065,2.43003,26.49035,0.61164,2.46004,31.02882,0.63321,2.49296,0.84436,0.56541,66.91019,1.11767,0.81924,79.58813,0.96621,0.69129,2.69826
32,1.08842,0.68615,2.47124,1.27038,0.67953,2.46523,3.53027,3.89544,2.43018,18.41239,0.62181,2.43956,24.16779,0.64499,2.41717,0.76172,0.64528,52.31427,0.86647,0.90444,66.10764,0.95823,0.69855,2.87028
33,1.07435,0.69125,2.48136,1.19216,0.71471,2.41347,5.54378,8.54124,2.38543,5.99741,0.615,2.37777,20.50433,0.58616,2.41431,0.81183,0.61525,75.61572,1.00799,0.8435,72.88692,0.9715,0.64923,2.55039
34,1.09326,0.69069,2.47127,1.18014,0.72664,2.45362,5.56757,11.56443,2.4346,10.80965,0.60497,2.44515,13.13217,0.62165,2.50406,0.73851,0.60302,69.7543,0.882,0.71809,85.61188,0.94574,0.72975,2.59102
35,1.08962,0.69055,2.47293,1.18135,0.73499,2.44727,4.65187,8.19894,2.48323,17.3875,0.58606,2.49293,9.81313,0.59372,2.47249,0.84457,0.63664,84.5191,1.01389,0.67965,74.89762,1.09332,0.65282,2.62534
36,1.07468,0.68702,2.46467,1.22395,0.67075,2.47254,4.41045,2.88255,2.47978,22.51139,0.63911,2.46617,17.16092,0.64425,2.46428,0.80211,0.61484,47.7602,0.99704,0.72169,65.88006,0.91997,0.78017,2.68526
37,1.08268,0.69132,2.45784,1.25431,0.72345,2.45774,3.0038,5.11517,2.49801,24.1703,0.53437,2.49187,20.1988,0.55062,2.49113,0.84211,0.57487,51.98997,1.09869,0.67231,66.39483,0.97984,0.63624,2.65056
38,1.07195,0.68856,2.46552,1.2573,0.67945,2.4298,4.79888,3.11435,2.40369,22.95673,0.59669,2.45171,12.75304,0.63066,2.42792,0.90769,0.63899,50.75529,0.97604,0.80847,68.8321,0.98844,0.62928,2.58077
39,1.09782,0.69321,2.49377,1.154,0.75148,2.48283,2.81095,6.30294,2.47457,14.03256,0.5816,2.48293,6.37299,0.60758,2.5272,0.72408,0.57287,40.09854,0.84217,0.75633,72.63126,0.93194,0.69796,2.77983
