model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen2.5-1.5B,ema_lr1e-3,0,age_bin,0.33634,0.33679,,,,True
Qwen/Qwen2.5-1.5B,ema_lr5e-3,0,age_bin,0.45625,0.45391,,,,True
Qwen/Qwen2.5-1.5B,ema_lr1e-2,0,age_bin,0.40286,0.36685,,,,True
Qwen/Qwen2.5-1.5B,ema_lr5e-2,0,age_bin,0.49479,0.49268,,,,True
Qwen/Qwen2.5-1.5B,ema_lr1e-2_wd1e-3,0,age_bin,0.40645,0.3795,,,,True
Qwen/Qwen2.5-1.5B,ema_d0.99,0,age_bin,0.42035,0.3812,,,,True
Qwen/Qwen2.5-1.5B,ema_d0.9999,0,age_bin,0.41318,0.38635,,,,True
Qwen/Qwen2.5-1.5B,mlp_h16,0,age_bin,0.38357,0.28733,,,,True
Qwen/Qwen2.5-1.5B,mlp_h32,0,age_bin,0.36872,0.26156,,,,True
Qwen/Qwen2.5-1.5B,mlp_h64,0,age_bin,0.41633,0.35412,,,,True
Qwen/Qwen2.5-1.5B,mlp_h128,0,age_bin,0.38414,0.28338,,,,True
Qwen/Qwen2.5-1.5B,attention,0,age_bin,0.34758,0.22272,,,,True
Qwen/Qwen2.5-1.5B,shuffled,0,age_bin,0.32921,0.27796,,,,True
Qwen/Qwen2.5-1.5B,mm,0,age_bin,0.49662,0.50244,,,,True
Qwen/Qwen2.5-1.5B,ridge_0.01,0,age_bin,0.41672,0.34292,,,,True
Qwen/Qwen2.5-1.5B,ridge_0.1,0,age_bin,0.41038,0.33318,,,,False
Qwen/Qwen2.5-1.5B,ridge_1.0,0,age_bin,0.39021,0.29991,,,,False
Qwen/Qwen2.5-1.5B,ridge_10.0,0,age_bin,0.35537,0.23198,,,,False
Qwen/Qwen2.5-1.5B,ridge_100.0,0,age_bin,0.33333,0.17952,,,,False
Qwen/Qwen2.5-1.5B,ema_lr1e-3,0,gender,0.51,0.51,0.51453,,,True
Qwen/Qwen2.5-1.5B,ema_lr5e-3,0,gender,0.58581,0.58296,0.61835,,,True
Qwen/Qwen2.5-1.5B,ema_lr1e-2,0,gender,0.57198,0.56315,0.59783,,,True
Qwen/Qwen2.5-1.5B,ema_lr5e-2,0,gender,0.58638,0.56216,0.64933,,,True
Qwen/Qwen2.5-1.5B,ema_lr1e-2_wd1e-3,0,gender,0.57658,0.56775,0.60525,,,True
Qwen/Qwen2.5-1.5B,ema_d0.99,0,gender,0.59689,0.58259,0.64244,,,True
