model_name,layer,task,position_pct,correct,total,accuracy
Qwen/Qwen2.5-1.5B,0,age_bin,2.5,51671,139495,0.37041
Qwen/Qwen2.5-1.5B,0,age_bin,7.5,49180,134717,0.36506
Qwen/Qwen2.5-1.5B,0,age_bin,12.5,49534,135083,0.36669
Qwen/Qwen2.5-1.5B,0,age_bin,17.5,48847,134169,0.36407
Qwen/Qwen2.5-1.5B,0,age_bin,22.5,49153,134610,0.36515
Qwen/Qwen2.5-1.5B,0,age_bin,27.5,49450,135622,0.36462
Qwen/Qwen2.5-1.5B,0,age_bin,32.5,49047,135135,0.36295
Qwen/Qwen2.5-1.5B,0,age_bin,37.5,48710,134154,0.36309
Qwen/Qwen2.5-1.5B,0,age_bin,42.5,48809,135617,0.3599
Qwen/Qwen2.5-1.5B,0,age_bin,47.5,48564,132632,0.36616
Qwen/Qwen2.5-1.5B,0,age_bin,52.5,50272,137149,0.36655
Qwen/Qwen2.5-1.5B,0,age_bin,57.5,48760,134086,0.36365
Qwen/Qwen2.5-1.5B,0,age_bin,62.5,49380,135685,0.36393
Qwen/Qwen2.5-1.5B,0,age_bin,67.5,49023,134579,0.36427
Qwen/Qwen2.5-1.5B,0,age_bin,72.5,48942,134178,0.36475
Qwen/Qwen2.5-1.5B,0,age_bin,77.5,49055,135079,0.36316
Qwen/Qwen2.5-1.5B,0,age_bin,82.5,49412,135700,0.36413
Qwen/Qwen2.5-1.5B,0,age_bin,87.5,49015,134527,0.36435
Qwen/Qwen2.5-1.5B,0,age_bin,92.5,49352,135273,0.36483
Qwen/Qwen2.5-1.5B,0,age_bin,97.5,47586,130028,0.36597
Qwen/Qwen2.5-1.5B,0,gender,2.5,72168,139495,0.51735
Qwen/Qwen2.5-1.5B,0,gender,7.5,69583,134717,0.51651
Qwen/Qwen2.5-1.5B,0,gender,12.5,69615,135083,0.51535
Qwen/Qwen2.5-1.5B,0,gender,17.5,68975,134169,0.51409
Qwen/Qwen2.5-1.5B,0,gender,22.5,69463,134610,0.51603
Qwen/Qwen2.5-1.5B,0,gender,27.5,70240,135622,0.51791
Qwen/Qwen2.5-1.5B,0,gender,32.5,69860,135135,0.51696
Qwen/Qwen2.5-1.5B,0,gender,37.5,69262,134154,0.51629
Qwen/Qwen2.5-1.5B,0,gender,42.5,70380,135617,0.51896
Qwen/Qwen2.5-1.5B,0,gender,47.5,68805,132632,0.51877
Qwen/Qwen2.5-1.5B,0,gender,52.5,70800,137149,0.51623
Qwen/Qwen2.5-1.5B,0,gender,57.5,69576,134086,0.51889
Qwen/Qwen2.5-1.5B,0,gender,62.5,70289,135685,0.51803
Qwen/Qwen2.5-1.5B,0,gender,67.5,69382,134579,0.51555
Qwen/Qwen2.5-1.5B,0,gender,72.5,69718,134178,0.51959
Qwen/Qwen2.5-1.5B,0,gender,77.5,69983,135079,0.51809
Qwen/Qwen2.5-1.5B,0,gender,82.5,70151,135700,0.51696
Qwen/Qwen2.5-1.5B,0,gender,87.5,69536,134527,0.51689
Qwen/Qwen2.5-1.5B,0,gender,92.5,70324,135273,0.51987
Qwen/Qwen2.5-1.5B,0,gender,97.5,67234,130028,0.51707
Qwen/Qwen2.5-1.5B,0,star_sign,2.5,12356,139495,0.08858
Qwen/Qwen2.5-1.5B,0,star_sign,7.5,12002,134717,0.08909
Qwen/Qwen2.5-1.5B,0,star_sign,12.5,11979,135083,0.08868
Qwen/Qwen2.5-1.5B,0,star_sign,17.5,12071,134169,0.08997
Qwen/Qwen2.5-1.5B,0,star_sign,22.5,12159,134610,0.09033
Qwen/Qwen2.5-1.5B,0,star_sign,27.5,12084,135622,0.0891
Qwen/Qwen2.5-1.5B,0,star_sign,32.5,12241,135135,0.09058
Qwen/Qwen2.5-1.5B,0,star_sign,37.5,12035,134154,0.08971
Qwen/Qwen2.5-1.5B,0,star_sign,42.5,12039,135617,0.08877
Qwen/Qwen2.5-1.5B,0,star_sign,47.5,12040,132632,0.09078
Qwen/Qwen2.5-1.5B,0,star_sign,52.5,12246,137149,0.08929
Qwen/Qwen2.5-1.5B,0,star_sign,57.5,11814,134086,0.08811
Qwen/Qwen2.5-1.5B,0,star_sign,62.5,12237,135685,0.09019
Qwen/Qwen2.5-1.5B,0,star_sign,67.5,12096,134579,0.08988
Qwen/Qwen2.5-1.5B,0,star_sign,72.5,11934,134178,0.08894
Qwen/Qwen2.5-1.5B,0,star_sign,77.5,12134,135079,0.08983
Qwen/Qwen2.5-1.5B,0,star_sign,82.5,12386,135700,0.09127
Qwen/Qwen2.5-1.5B,0,star_sign,87.5,12170,134527,0.09047
Qwen/Qwen2.5-1.5B,0,star_sign,92.5,12119,135273,0.08959
Qwen/Qwen2.5-1.5B,0,star_sign,97.5,11944,130028,0.09186
Qwen/Qwen2.5-1.5B,4,age_bin,2.5,56843,139495,0.40749
Qwen/Qwen2.5-1.5B,4,age_bin,7.5,58450,134717,0.43387
Qwen/Qwen2.5-1.5B,4,age_bin,12.5,59538,135083,0.44075
Qwen/Qwen2.5-1.5B,4,age_bin,17.5,59611,134169,0.4443
Qwen/Qwen2.5-1.5B,4,age_bin,22.5,59967,134610,0.44549
Qwen/Qwen2.5-1.5B,4,age_bin,27.5,60342,135622,0.44493
Qwen/Qwen2.5-1.5B,4,age_bin,32.5,60362,135135,0.44668
Qwen/Qwen2.5-1.5B,4,age_bin,37.5,59713,134154,0.44511
Qwen/Qwen2.5-1.5B,4,age_bin,42.5,60632,135617,0.44708
Qwen/Qwen2.5-1.5B,4,age_bin,47.5,59606,132632,0.44941
Qwen/Qwen2.5-1.5B,4,age_bin,52.5,61097,137149,0.44548
Qwen/Qwen2.5-1.5B,4,age_bin,57.5,59669,134086,0.44501
Qwen/Qwen2.5-1.5B,4,age_bin,62.5,60506,135685,0.44593
Qwen/Qwen2.5-1.5B,4,age_bin,67.5,60122,134579,0.44674
Qwen/Qwen2.5-1.5B,4,age_bin,72.5,59594,134178,0.44414
Qwen/Qwen2.5-1.5B,4,age_bin,77.5,60105,135079,0.44496
Qwen/Qwen2.5-1.5B,4,age_bin,82.5,60443,135700,0.44542
Qwen/Qwen2.5-1.5B,4,age_bin,87.5,60199,134527,0.44749
Qwen/Qwen2.5-1.5B,4,age_bin,92.5,60826,135273,0.44965
Qwen/Qwen2.5-1.5B,4,age_bin,97.5,57952,130028,0.44569
Qwen/Qwen2.5-1.5B,4,gender,2.5,73977,139495,0.53032
Qwen/Qwen2.5-1.5B,4,gender,7.5,73312,134717,0.54419
Qwen/Qwen2.5-1.5B,4,gender,12.5,74398,135083,0.55076
Qwen/Qwen2.5-1.5B,4,gender,17.5,73996,134169,0.55151
Qwen/Qwen2.5-1.5B,4,gender,22.5,74072,134610,0.55027
Qwen/Qwen2.5-1.5B,4,gender,27.5,74792,135622,0.55147
Qwen/Qwen2.5-1.5B,4,gender,32.5,75068,135135,0.5555
Qwen/Qwen2.5-1.5B,4,gender,37.5,74508,134154,0.55539
Qwen/Qwen2.5-1.5B,4,gender,42.5,75240,135617,0.5548
Qwen/Qwen2.5-1.5B,4,gender,47.5,73982,132632,0.5578
Qwen/Qwen2.5-1.5B,4,gender,52.5,75991,137149,0.55408
Qwen/Qwen2.5-1.5B,4,gender,57.5,74724,134086,0.55728
Qwen/Qwen2.5-1.5B,4,gender,62.5,75660,135685,0.55762
Qwen/Qwen2.5-1.5B,4,gender,67.5,74859,134579,0.55625
Qwen/Qwen2.5-1.5B,4,gender,72.5,74814,134178,0.55757
Qwen/Qwen2.5-1.5B,4,gender,77.5,75385,135079,0.55808
Qwen/Qwen2.5-1.5B,4,gender,82.5,75540,135700,0.55667
Qwen/Qwen2.5-1.5B,4,gender,87.5,74816,134527,0.55614
Qwen/Qwen2.5-1.5B,4,gender,92.5,75665,135273,0.55935
Qwen/Qwen2.5-1.5B,4,gender,97.5,72549,130028,0.55795
Qwen/Qwen2.5-1.5B,4,star_sign,2.5,11675,139495,0.08369
Qwen/Qwen2.5-1.5B,4,star_sign,7.5,11387,134717,0.08453
Qwen/Qwen2.5-1.5B,4,star_sign,12.5,11343,135083,0.08397
Qwen/Qwen2.5-1.5B,4,star_sign,17.5,11248,134169,0.08383
Qwen/Qwen2.5-1.5B,4,star_sign,22.5,11545,134610,0.08577
Qwen/Qwen2.5-1.5B,4,star_sign,27.5,11588,135622,0.08544
Qwen/Qwen2.5-1.5B,4,star_sign,32.5,11548,135135,0.08546
Qwen/Qwen2.5-1.5B,4,star_sign,37.5,11346,134154,0.08457
Qwen/Qwen2.5-1.5B,4,star_sign,42.5,11424,135617,0.08424
Qwen/Qwen2.5-1.5B,4,star_sign,47.5,11146,132632,0.08404
Qwen/Qwen2.5-1.5B,4,star_sign,52.5,11741,137149,0.08561
Qwen/Qwen2.5-1.5B,4,star_sign,57.5,11306,134086,0.08432
Qwen/Qwen2.5-1.5B,4,star_sign,62.5,11442,135685,0.08433
Qwen/Qwen2.5-1.5B,4,star_sign,67.5,11563,134579,0.08592
Qwen/Qwen2.5-1.5B,4,star_sign,72.5,11296,134178,0.08419
Qwen/Qwen2.5-1.5B,4,star_sign,77.5,11184,135079,0.0828
Qwen/Qwen2.5-1.5B,4,star_sign,82.5,11438,135700,0.08429
Qwen/Qwen2.5-1.5B,4,star_sign,87.5,11227,134527,0.08346
Qwen/Qwen2.5-1.5B,4,star_sign,92.5,11291,135273,0.08347
Qwen/Qwen2.5-1.5B,4,star_sign,97.5,10978,130028,0.08443
Qwen/Qwen2.5-1.5B,8,age_bin,2.5,58704,139495,0.42083
Qwen/Qwen2.5-1.5B,8,age_bin,7.5,61972,134717,0.46002
Qwen/Qwen2.5-1.5B,8,age_bin,12.5,63722,135083,0.47172
Qwen/Qwen2.5-1.5B,8,age_bin,17.5,64179,134169,0.47834
Qwen/Qwen2.5-1.5B,8,age_bin,22.5,65031,134610,0.48311
Qwen/Qwen2.5-1.5B,8,age_bin,27.5,66606,135622,0.49112
Qwen/Qwen2.5-1.5B,8,age_bin,32.5,66979,135135,0.49565
Qwen/Qwen2.5-1.5B,8,age_bin,37.5,66911,134154,0.49876
Qwen/Qwen2.5-1.5B,8,age_bin,42.5,67142,135617,0.49509
Qwen/Qwen2.5-1.5B,8,age_bin,47.5,66471,132632,0.50117
Qwen/Qwen2.5-1.5B,8,age_bin,52.5,68011,137149,0.49589
Qwen/Qwen2.5-1.5B,8,age_bin,57.5,67315,134086,0.50203
Qwen/Qwen2.5-1.5B,8,age_bin,62.5,68218,135685,0.50277
Qwen/Qwen2.5-1.5B,8,age_bin,67.5,67676,134579,0.50287
Qwen/Qwen2.5-1.5B,8,age_bin,72.5,67417,134178,0.50244
Qwen/Qwen2.5-1.5B,8,age_bin,77.5,68097,135079,0.50413
Qwen/Qwen2.5-1.5B,8,age_bin,82.5,68618,135700,0.50566
Qwen/Qwen2.5-1.5B,8,age_bin,87.5,68242,134527,0.50727
Qwen/Qwen2.5-1.5B,8,age_bin,92.5,68748,135273,0.50822
Qwen/Qwen2.5-1.5B,8,age_bin,97.5,66045,130028,0.50793
Qwen/Qwen2.5-1.5B,8,gender,2.5,74952,139495,0.53731
Qwen/Qwen2.5-1.5B,8,gender,7.5,75345,134717,0.55928
Qwen/Qwen2.5-1.5B,8,gender,12.5,76426,135083,0.56577
Qwen/Qwen2.5-1.5B,8,gender,17.5,76527,134169,0.57038
Qwen/Qwen2.5-1.5B,8,gender,22.5,77597,134610,0.57646
Qwen/Qwen2.5-1.5B,8,gender,27.5,78159,135622,0.5763
Qwen/Qwen2.5-1.5B,8,gender,32.5,78351,135135,0.5798
Qwen/Qwen2.5-1.5B,8,gender,37.5,77996,134154,0.58139
Qwen/Qwen2.5-1.5B,8,gender,42.5,78926,135617,0.58198
Qwen/Qwen2.5-1.5B,8,gender,47.5,77662,132632,0.58554
Qwen/Qwen2.5-1.5B,8,gender,52.5,79910,137149,0.58265
Qwen/Qwen2.5-1.5B,8,gender,57.5,78900,134086,0.58843
Qwen/Qwen2.5-1.5B,8,gender,62.5,79339,135685,0.58473
Qwen/Qwen2.5-1.5B,8,gender,67.5,78536,134579,0.58357
Qwen/Qwen2.5-1.5B,8,gender,72.5,78568,134178,0.58555
Qwen/Qwen2.5-1.5B,8,gender,77.5,79530,135079,0.58877
Qwen/Qwen2.5-1.5B,8,gender,82.5,79433,135700,0.58536
Qwen/Qwen2.5-1.5B,8,gender,87.5,78938,134527,0.58678
Qwen/Qwen2.5-1.5B,8,gender,92.5,79708,135273,0.58924
Qwen/Qwen2.5-1.5B,8,gender,97.5,76250,130028,0.58641
Qwen/Qwen2.5-1.5B,8,star_sign,2.5,11721,139495,0.08402
