batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.6111,0.32157,75882
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.57238,0.33488,75882
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.63321,0.3258,75882
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.69846,0.32717,75882
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.59799,0.32163,75882
0,0,age_bin,ema_d0.99,0.01,0.0001,1.58062,0.32966,75882
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.71095,0.3342,75882
0,0,age_bin,mlp_h16,0.001,0.0,1.10595,0.35684,75882
0,0,age_bin,mlp_h32,0.001,0.0,1.11053,0.3699,75882
0,0,age_bin,mlp_h64,0.001,0.0,1.13304,0.28742,75882
0,0,age_bin,mlp_h128,0.001,0.0,1.11256,0.35153,75882
0,0,age_bin,attention,0.0001,1e-05,1.09804,0.36719,75882
0,0,age_bin,shuffled,0.01,0.0001,1.64051,0.33379,75882
0,0,gender,ema_lr1e-3,0.001,0.0001,1.26819,0.49871,75882
0,0,gender,ema_lr5e-3,0.005,0.0001,1.0812,0.50722,75882
0,0,gender,ema_lr1e-2,0.01,0.0001,1.05997,0.50124,75882
0,0,gender,ema_lr5e-2,0.05,0.0001,1.06521,0.49356,75882
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.02672,0.50215,75882
0,0,gender,ema_d0.99,0.01,0.0001,1.11571,0.49493,75882
0,0,gender,ema_d0.9999,0.01,0.0001,1.02639,0.49183,75882
0,0,gender,mlp_h16,0.001,0.0,0.70792,0.48637,75882
0,0,gender,mlp_h32,0.001,0.0,0.69691,0.5087,75882
0,0,gender,mlp_h64,0.001,0.0,0.7026,0.4917,75882
0,0,gender,mlp_h128,0.001,0.0,0.70026,0.50467,75882
0,0,gender,attention,0.0001,1e-05,0.69273,0.55469,75882
0,0,gender,shuffled,0.01,0.0001,1.06779,0.49764,75882
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.25117,0.08432,75882
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.37911,0.08587,75882
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.32969,0.07915,75882
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.30843,0.08152,75882
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.31298,0.08902,75882
0,0,star_sign,ema_d0.99,0.01,0.0001,3.31621,0.08106,75882
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.21697,0.08458,75882
0,0,star_sign,mlp_h16,0.001,0.0,2.5217,0.08236,75882
0,0,star_sign,mlp_h32,0.001,0.0,2.51082,0.07898,75882
0,0,star_sign,mlp_h64,0.001,0.0,2.50679,0.07559,75882
0,0,star_sign,mlp_h128,0.001,0.0,2.51812,0.07471,75882
0,0,star_sign,attention,0.0001,1e-05,2.48486,0.125,75882
0,0,star_sign,shuffled,0.01,0.0001,3.24975,0.08022,75882
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.44902,0.3292,75882
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.41727,0.33155,75882
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.50379,0.33059,75882
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.37829,0.35102,75882
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.38288,0.3499,75882
0,4,age_bin,ema_d0.99,0.01,0.0001,1.41371,0.33593,75882
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.50138,0.34032,75882
0,4,age_bin,mlp_h16,0.001,0.0,1.11222,0.34169,75882
0,4,age_bin,mlp_h32,0.001,0.0,1.1134,0.32232,75882
0,4,age_bin,mlp_h64,0.001,0.0,1.11634,0.34775,75882
0,4,age_bin,mlp_h128,0.001,0.0,1.11228,0.31214,75882
0,4,age_bin,attention,0.0001,1e-05,1.19428,0.3125,75882
0,4,age_bin,shuffled,0.01,0.0001,1.43056,0.32968,75882
0,4,gender,ema_lr1e-3,0.001,0.0001,0.9298,0.49199,75882
0,4,gender,ema_lr5e-3,0.005,0.0001,0.9072,0.49829,75882
0,4,gender,ema_lr1e-2,0.01,0.0001,0.96149,0.50059,75882
0,4,gender,ema_lr5e-2,0.05,0.0001,0.94531,0.49685,75882
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,0.91304,0.50716,75882
0,4,gender,ema_d0.99,0.01,0.0001,0.91039,0.50264,75882
0,4,gender,ema_d0.9999,0.01,0.0001,0.98273,0.48983,75882
0,4,gender,mlp_h16,0.001,0.0,0.71708,0.46152,75882
0,4,gender,mlp_h32,0.001,0.0,0.70318,0.53094,75882
0,4,gender,mlp_h64,0.001,0.0,0.70133,0.49377,75882
0,4,gender,mlp_h128,0.001,0.0,0.71003,0.46796,75882
0,4,gender,attention,0.0001,1e-05,0.71388,0.44531,75882
0,4,gender,shuffled,0.01,0.0001,0.9097,0.50104,75882
0,4,star_sign,ema_lr1e-3,0.001,0.0001,2.98773,0.08492,75882
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.05789,0.08544,75882
0,4,star_sign,ema_lr1e-2,0.01,0.0001,2.9768,0.0848,75882
0,4,star_sign,ema_lr5e-2,0.05,0.0001,2.97369,0.08015,75882
0,4,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.07595,0.08064,75882
0,4,star_sign,ema_d0.99,0.01,0.0001,2.9853,0.08363,75882
0,4,star_sign,ema_d0.9999,0.01,0.0001,2.9916,0.08392,75882
0,4,star_sign,mlp_h16,0.001,0.0,2.48266,0.10114,75882
0,4,star_sign,mlp_h32,0.001,0.0,2.49848,0.07472,75882
0,4,star_sign,mlp_h64,0.001,0.0,2.5014,0.08391,75882
0,4,star_sign,mlp_h128,0.001,0.0,2.50477,0.09793,75882
0,4,star_sign,attention,0.0001,1e-05,2.61497,0.10156,75882
0,4,star_sign,shuffled,0.01,0.0001,3.03788,0.08399,75882
0,8,age_bin,ema_lr1e-3,0.001,0.0001,1.39262,0.34871,75882
0,8,age_bin,ema_lr5e-3,0.005,0.0001,1.45416,0.34414,75882
0,8,age_bin,ema_lr1e-2,0.01,0.0001,1.42857,0.32792,75882
0,8,age_bin,ema_lr5e-2,0.05,0.0001,1.47196,0.31772,75882
0,8,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.46281,0.32722,75882
0,8,age_bin,ema_d0.99,0.01,0.0001,1.55335,0.32721,75882
0,8,age_bin,ema_d0.9999,0.01,0.0001,1.40173,0.3365,75882
0,8,age_bin,mlp_h16,0.001,0.0,1.12778,0.29363,75882
0,8,age_bin,mlp_h32,0.001,0.0,1.11678,0.31085,75882
0,8,age_bin,mlp_h64,0.001,0.0,1.11125,0.31994,75882
0,8,age_bin,mlp_h128,0.001,0.0,1.1033,0.36723,75882
0,8,age_bin,attention,0.0001,1e-05,1.3596,0.29297,75882
0,8,age_bin,shuffled,0.01,0.0001,1.44483,0.3356,75882
0,8,gender,ema_lr1e-3,0.001,0.0001,0.94888,0.51021,75882
0,8,gender,ema_lr5e-3,0.005,0.0001,0.9193,0.52126,75882
0,8,gender,ema_lr1e-2,0.01,0.0001,0.95931,0.48575,75882
0,8,gender,ema_lr5e-2,0.05,0.0001,0.92921,0.50336,75882
0,8,gender,ema_lr1e-2_wd1e-3,0.01,0.001,0.94169,0.49495,75882
0,8,gender,ema_d0.99,0.01,0.0001,0.94075,0.51357,75882
0,8,gender,ema_d0.9999,0.01,0.0001,0.93454,0.49265,75882
0,8,gender,mlp_h16,0.001,0.0,0.70375,0.48583,75882
0,8,gender,mlp_h32,0.001,0.0,0.69769,0.54279,75882
0,8,gender,mlp_h64,0.001,0.0,0.70236,0.50485,75882
0,8,gender,mlp_h128,0.001,0.0,0.70423,0.47986,75882
0,8,gender,attention,0.0001,1e-05,0.72231,0.51953,75882
0,8,gender,shuffled,0.01,0.0001,0.92673,0.49966,75882
0,8,star_sign,ema_lr1e-3,0.001,0.0001,2.99039,0.08557,75882
0,8,star_sign,ema_lr5e-3,0.005,0.0001,3.06706,0.0802,75882
0,8,star_sign,ema_lr1e-2,0.01,0.0001,3.01818,0.08279,75882
0,8,star_sign,ema_lr5e-2,0.05,0.0001,3.03206,0.08359,75882
0,8,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.00312,0.08355,75882
0,8,star_sign,ema_d0.99,0.01,0.0001,3.05846,0.08117,75882
0,8,star_sign,ema_d0.9999,0.01,0.0001,2.99297,0.08475,75882
0,8,star_sign,mlp_h16,0.001,0.0,2.51463,0.09046,75882
0,8,star_sign,mlp_h32,0.001,0.0,2.50985,0.08482,75882
0,8,star_sign,mlp_h64,0.001,0.0,2.47868,0.10346,75882
0,8,star_sign,mlp_h128,0.001,0.0,2.49742,0.0867,75882
0,8,star_sign,attention,0.0001,1e-05,590.51569,0.07422,75882
0,8,star_sign,shuffled,0.01,0.0001,3.023,0.08376,75882
0,12,age_bin,ema_lr1e-3,0.001,0.0001,1.42055,0.35156,75882
0,12,age_bin,ema_lr5e-3,0.005,0.0001,1.49914,0.3293,75882
0,12,age_bin,ema_lr1e-2,0.01,0.0001,1.47039,0.3252,75882
0,12,age_bin,ema_lr5e-2,0.05,0.0001,1.51309,0.30993,75882
0,12,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.47784,0.32319,75882
0,12,age_bin,ema_d0.99,0.01,0.0001,1.39042,0.34795,75882
0,12,age_bin,ema_d0.9999,0.01,0.0001,1.4363,0.33665,75882
0,12,age_bin,mlp_h16,0.001,0.0,1.09611,0.37496,75882
0,12,age_bin,mlp_h32,0.001,0.0,1.10779,0.33224,75882
0,12,age_bin,mlp_h64,0.001,0.0,1.10781,0.34596,75882
0,12,age_bin,mlp_h128,0.001,0.0,1.11817,0.33453,75882
0,12,age_bin,attention,0.0001,1e-05,432.63379,0.33594,75882
0,12,age_bin,shuffled,0.01,0.0001,1.45109,0.33045,75882
0,12,gender,ema_lr1e-3,0.001,0.0001,0.94208,0.50456,75882
0,12,gender,ema_lr5e-3,0.005,0.0001,0.90558,0.51118,75882
0,12,gender,ema_lr1e-2,0.01,0.0001,0.95204,0.49255,75882
0,12,gender,ema_lr5e-2,0.05,0.0001,0.92591,0.50066,75882
0,12,gender,ema_lr1e-2_wd1e-3,0.01,0.001,0.91575,0.5157,75882
0,12,gender,ema_d0.99,0.01,0.0001,0.95967,0.49425,75882
0,12,gender,ema_d0.9999,0.01,0.0001,0.90434,0.51691,75882
0,12,gender,mlp_h16,0.001,0.0,0.72523,0.45604,75882
0,12,gender,mlp_h32,0.001,0.0,0.69369,0.52211,75882
0,12,gender,mlp_h64,0.001,0.0,0.69679,0.51058,75882
0,12,gender,mlp_h128,0.001,0.0,0.69637,0.516,75882
0,12,gender,attention,0.0001,1e-05,0.80375,0.46094,75882
0,12,gender,shuffled,0.01,0.0001,1.00906,0.49694,75882
0,12,star_sign,ema_lr1e-3,0.001,0.0001,3.0516,0.08035,75882
0,12,star_sign,ema_lr5e-3,0.005,0.0001,3.02899,0.08263,75882
0,12,star_sign,ema_lr1e-2,0.01,0.0001,3.12535,0.07943,75882
0,12,star_sign,ema_lr5e-2,0.05,0.0001,3.03286,0.08416,75882
0,12,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.13104,0.08405,75882
0,12,star_sign,ema_d0.99,0.01,0.0001,3.10217,0.08379,75882
0,12,star_sign,ema_d0.9999,0.01,0.0001,3.0247,0.08359,75882
0,12,star_sign,mlp_h16,0.001,0.0,2.53777,0.04639,75882
0,12,star_sign,mlp_h32,0.001,0.0,2.52565,0.06426,75882
0,12,star_sign,mlp_h64,0.001,0.0,2.5293,0.08517,75882
0,12,star_sign,mlp_h128,0.001,0.0,2.49071,0.1062,75882
0,12,star_sign,attention,0.0001,1e-05,301.41394,0.0625,75882
0,12,star_sign,shuffled,0.01,0.0001,3.00453,0.08284,75882
0,16,age_bin,ema_lr1e-3,0.001,0.0001,1.48422,0.31993,75882
