batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
0,1.60454,0.32517,1.06536,0.50341,3.30982,0.08289,1.42328,0.34261,0.9215,0.49675,2.94795,0.08817,1.52138,0.31953,0.98078,0.50408,3.02289,0.08462,1.46966,0.3253,0.93328,0.4979,3.09885,0.07795,1.50003,0.32316,0.90493,0.51136,3.06733,0.08168,1.5123,0.33865,1.0173,0.50349,3.23703,0.07453,1.55699,0.34156,1.10268,0.48926,3.17592,0.0918,1.59364,0.35113,1.05977,0.52003,3.32907,0.08518
1,1.58283,0.32433,1.0224,0.50825,3.30199,0.08143,1.40449,0.34634,0.92718,0.49377,2.9677,0.08655,1.49714,0.31958,0.97386,0.50486,2.99221,0.08566,1.42263,0.33342,0.91886,0.50071,3.05568,0.08065,1.43352,0.3315,0.94402,0.49994,3.0957,0.07968,1.50185,0.34194,0.98223,0.50675,3.17818,0.07809,1.5117,0.34662,1.06423,0.49764,3.20632,0.08953,1.61424,0.33792,1.08553,0.51149,3.419,0.08065
2,1.5807,0.32335,1.05083,0.50339,3.25062,0.08118,1.41284,0.34368,0.88111,0.49997,2.95364,0.08677,1.45391,0.32163,0.98798,0.49968,3.01863,0.08372,1.47794,0.32765,0.92977,0.49705,3.05704,0.08074,1.43034,0.33148,0.93899,0.4933,3.09618,0.07904,1.53062,0.33688,0.97752,0.50622,3.14317,0.07935,1.59225,0.33924,1.02357,0.50329,3.26377,0.08585,1.66521,0.33046,0.99023,0.51973,3.30482,0.08211
3,1.52946,0.32711,1.02688,0.50265,3.23947,0.08237,1.41639,0.34157,0.89217,0.50199,2.93008,0.08685,1.46304,0.32192,0.9489,0.49932,3.01823,0.08262,1.47821,0.32346,0.91238,0.49862,3.00248,0.08233,1.41968,0.33205,0.91818,0.49421,3.01798,0.08143,1.45682,0.34049,0.94522,0.50943,3.13458,0.08068,1.53691,0.33901,1.07198,0.49866,3.1906,0.08567,1.68644,0.32643,1.05916,0.51738,3.29588,0.08266
4,1.53962,0.32824,1.02589,0.50189,3.21974,0.08358,1.39521,0.34122,0.88029,0.50367,2.96296,0.08564,1.4653,0.32225,0.91786,0.50094,2.98096,0.08271,1.44251,0.32389,0.93777,0.49633,3.08,0.07985,1.43543,0.3305,0.91659,0.49337,3.01093,0.08165,1.4752,0.3402,0.95996,0.51067,3.12067,0.08231,1.57244,0.33703,1.00191,0.50258,3.26288,0.08327,1.59079,0.32737,1.00135,0.52,3.28588,0.08262
5,1.51891,0.32804,1.00655,0.50225,3.21511,0.08341,1.38711,0.34194,0.8917,0.5035,2.93813,0.08489,1.44694,0.32246,0.93404,0.50043,2.98471,0.08262,1.41832,0.32589,0.90831,0.49692,3.01701,0.08046,1.35834,0.33334,0.89624,0.49534,3.01227,0.08173,1.46157,0.33979,0.94706,0.51175,3.12957,0.08213,1.42118,0.34245,0.98587,0.5052,3.15308,0.08393,1.51985,0.33239,1.0418,0.51767,3.28697,0.08208
6,1.49719,0.3284,1.01717,0.50222,3.19783,0.08344,1.39861,0.34172,0.88566,0.50321,2.93334,0.08459,1.40644,0.3243,0.89951,0.5028,2.99973,0.0819,1.40176,0.32788,0.91621,0.49704,2.94383,0.08189,1.42237,0.33218,0.90428,0.49675,3.02395,0.08165,1.43376,0.34113,0.97911,0.51039,3.14303,0.08205,1.45098,0.34575,0.98193,0.50766,3.16119,0.08433,1.55053,0.33599,0.97293,0.52016,3.27911,0.08263
7,1.50731,0.32763,0.98316,0.50283,3.20046,0.08316,1.39263,0.3414,0.91579,0.50099,2.91624,0.08511,1.43142,0.32499,0.93307,0.50259,3.00987,0.08143,1.38774,0.33015,0.90481,0.49789,2.99241,0.0824,1.39716,0.3312,0.87386,0.4989,3.03935,0.08082,1.44146,0.34206,0.95182,0.50999,3.08809,0.08256,1.45662,0.34749,0.98076,0.50907,3.18792,0.08391,1.55043,0.33695,1.00194,0.5206,3.39383,0.08169
8,1.47907,0.32767,0.98672,0.50325,3.17465,0.08385,1.3739,0.34233,0.89402,0.50085,2.92485,0.08489,1.42216,0.32557,0.91447,0.5023,2.96304,0.08177,1.43087,0.32931,0.91452,0.49776,3.0109,0.08224,1.38257,0.33233,0.90139,0.49899,2.97711,0.0813,1.43228,0.34316,0.95071,0.51019,3.11266,0.08227,1.47224,0.34747,1.00979,0.50742,3.23761,0.08298,1.46745,0.34044,0.9948,0.52056,3.36389,0.08055
9,1.46412,0.32821,0.99338,0.50255,3.16262,0.08394,1.36558,0.34333,0.88794,0.50051,2.92611,0.08522,1.43562,0.32577,0.93053,0.50139,2.9554,0.08218,1.41819,0.3292,0.90158,0.498,3.03459,0.0816,1.37348,0.33296,0.92547,0.49783,2.98608,0.08137,1.41069,0.34473,0.97305,0.50888,3.10337,0.08248,1.47512,0.3475,0.97148,0.50743,3.14732,0.08346,1.43404,0.34436,1.01617,0.51913,3.1601,0.08224
10,1.4757,0.32743,0.98146,0.50247,3.16255,0.08381,1.39814,0.34334,0.8733,0.5011,2.94997,0.08488,1.41387,0.32622,0.90134,0.50245,2.9825,0.08195,1.39484,0.33009,0.87083,0.49971,2.98034,0.08206,1.34748,0.33458,0.88547,0.49888,2.96883,0.08191,1.40834,0.3457,0.93605,0.50941,3.07642,0.08283,1.39525,0.35033,0.93105,0.50946,3.18468,0.08315,1.52499,0.34508,0.91225,0.52227,3.28316,0.08233
11,1.46257,0.32826,0.97783,0.5024,3.15685,0.08393,1.35576,0.34453,0.88731,0.50083,2.94702,0.08451,1.44469,0.32585,0.89995,0.50304,2.96296,0.08213,1.40708,0.33013,0.89821,0.50022,2.9908,0.0821,1.36601,0.3351,0.89401,0.49944,2.99728,0.08216,1.41872,0.34601,0.93412,0.50991,3.0986,0.08286,1.41487,0.35223,0.8814,0.51294,3.19939,0.08292,1.43741,0.34746,0.96847,0.52302,3.26252,0.0823
12,1.45667,0.32869,0.98155,0.50188,3.16353,0.08405,1.36543,0.3452,0.87387,0.50176,2.93851,0.08423,1.41882,0.32631,0.88827,0.50379,2.96096,0.08232,1.39543,0.33081,0.88378,0.50122,2.97265,0.08236,1.32575,0.3367,0.86956,0.50067,2.96039,0.08283,1.37502,0.34778,0.92811,0.51021,3.0627,0.08318,1.43817,0.35295,0.95504,0.51357,3.1618,0.08307,1.53465,0.3483,0.96376,0.52409,3.36573,0.08148
13,1.44565,0.32907,0.97196,0.5014,3.14529,0.08404,1.37049,0.34561,0.87217,0.5023,2.92021,0.08427,1.41041,0.32708,0.8949,0.50444,2.96865,0.08237,1.42927,0.32986,0.88727,0.50199,2.9762,0.08274,1.33868,0.33786,0.88718,0.50092,3.02291,0.08229,1.42148,0.34774,0.92595,0.51112,3.06157,0.08361,1.38983,0.3549,0.97691,0.51356,3.23907,0.08233,1.49312,0.34952,0.92817,0.52652,3.26155,0.08192
14,1.45129,0.32934,0.95178,0.50178,3.13168,0.08436,1.38803,0.34529,0.87528,0.50278,2.9202,0.08431,1.39152,0.32777,0.91418,0.50388,2.9529,0.08266,1.39925,0.32956,0.88009,0.50246,2.99641,0.08259,1.34557,0.33841,0.84768,0.50261,3.03156,0.08162,1.37221,0.34888,0.90691,0.51207,3.1433,0.08301,1.44069,0.35503,0.88942,0.51578,3.16204,0.08255,1.50272,0.3496,0.87382,0.53012,3.22411,0.08264
15,1.43015,0.3303,0.95696,0.50201,3.1274,0.08457,1.37063,0.34533,0.88371,0.50246,2.92246,0.08432,1.4041,0.32842,0.8826,0.50487,2.93611,0.08302,1.39822,0.32984,0.86887,0.5033,2.96226,0.08259,1.35322,0.33918,0.88172,0.50295,3.01363,0.08149,1.39676,0.3494,0.8988,0.51317,3.12098,0.0827,1.43664,0.35504,0.87737,0.51842,3.21206,0.0822,1.44906,0.35095,0.87643,0.53243,3.19897,0.08309
16,1.43625,0.33046,0.95561,0.50195,3.13775,0.08442,1.36155,0.34576,0.87369,0.50274,2.93789,0.08433,1.41278,0.32857,0.873,0.50566,2.96768,0.08306,1.36726,0.33077,0.84803,0.50487,2.99647,0.08223,1.347,0.33979,0.88978,0.50343,2.92287,0.08238,1.38587,0.35011,0.88334,0.51493,3.06635,0.08248,1.35172,0.35698,0.938,0.51872,3.19673,0.08204,1.40081,0.35442,0.96648,0.53275,3.30239,0.08268
17,1.43807,0.33062,0.93989,0.50274,3.10967,0.08414,1.36864,0.34577,0.87946,0.50241,2.91173,0.08424,1.40664,0.32891,0.85036,0.50713,2.95787,0.08312,1.36511,0.3315,0.84392,0.50626,2.96815,0.08229,1.31741,0.34101,0.85249,0.50467,2.95934,0.08245,1.39058,0.3504,0.92111,0.51505,3.05493,0.08292,1.36024,0.35891,0.88618,0.5204,3.12999,0.08246,1.37286,0.35675,0.86675,0.53521,3.113,0.08384
18,1.42311,0.33079,0.95967,0.50287,3.12873,0.08416,1.37624,0.34565,0.84869,0.50314,2.9172,0.08413,1.37343,0.32968,0.86039,0.50815,2.92447,0.0835,1.33032,0.33275,0.84851,0.50744,2.96465,0.08246,1.33808,0.34168,0.87344,0.50509,2.96881,0.08255,1.40198,0.35071,0.90331,0.51531,3.13296,0.08261,1.37978,0.35987,0.86087,0.52234,3.16853,0.08251,1.41846,0.35772,0.91272,0.53578,3.21001,0.08373
