model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen2.5-14B,ema_lr1e-3,0,age_bin,0.45999,0.4571,,,,True
Qwen/Qwen2.5-14B,ema_lr5e-3,0,age_bin,0.41714,0.36127,,,,True
Qwen/Qwen2.5-14B,ema_lr1e-2,0,age_bin,0.42273,0.36079,,,,True
Qwen/Qwen2.5-14B,ema_lr5e-2,0,age_bin,0.42384,0.35797,,,,True
Qwen/Qwen2.5-14B,ema_lr1e-2_wd1e-3,0,age_bin,0.42056,0.35541,,,,True
Qwen/Qwen2.5-14B,ema_d0.99,0,age_bin,0.42569,0.36156,,,,True
Qwen/Qwen2.5-14B,ema_d0.9999,0,age_bin,0.42522,0.36521,,,,True
Qwen/Qwen2.5-14B,mlp_h16,0,age_bin,0.36733,0.24745,,,,True
Qwen/Qwen2.5-14B,mlp_h32,0,age_bin,0.36161,0.23351,,,,True
Qwen/Qwen2.5-14B,mlp_h64,0,age_bin,0.33392,0.17329,,,,True
Qwen/Qwen2.5-14B,mlp_h128,0,age_bin,0.33366,0.17254,,,,True
Qwen/Qwen2.5-14B,attention,0,age_bin,0.47042,0.45764,,,,True
Qwen/Qwen2.5-14B,shuffled,0,age_bin,0.32956,0.23835,,,,True
Qwen/Qwen2.5-14B,mm,0,age_bin,0.50545,0.49704,,,,True
Qwen/Qwen2.5-14B,ridge_0.01,0,age_bin,0.41932,0.3478,,,,True
Qwen/Qwen2.5-14B,ridge_0.1,0,age_bin,0.41392,0.33813,,,,False
Qwen/Qwen2.5-14B,ridge_1.0,0,age_bin,0.40114,0.31758,,,,False
Qwen/Qwen2.5-14B,ridge_10.0,0,age_bin,0.37662,0.2755,,,,False
Qwen/Qwen2.5-14B,ridge_100.0,0,age_bin,0.33546,0.18554,,,,False
Qwen/Qwen2.5-14B,ema_lr1e-3,0,gender,0.59936,0.59479,0.62747,,,True
Qwen/Qwen2.5-14B,ema_lr5e-3,0,gender,0.59997,0.57584,0.66441,,,True
Qwen/Qwen2.5-14B,ema_lr1e-2,0,gender,0.59192,0.56165,0.66637,,,True
Qwen/Qwen2.5-14B,ema_lr5e-2,0,gender,0.58475,0.5447,0.67739,,,True
