model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi
Qwen/Qwen2.5-3B-Instruct,ema,0,age_bin,0.39237,0.3143,,,
Qwen/Qwen2.5-3B-Instruct,mm,0,age_bin,0.49827,0.498,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.01,0,age_bin,0.40493,0.32011,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.1,0,age_bin,0.39787,0.30808,,,
Qwen/Qwen2.5-3B-Instruct,ridge_1.0,0,age_bin,0.37438,0.26388,,,
Qwen/Qwen2.5-3B-Instruct,ridge_10.0,0,age_bin,0.33673,0.17098,,,
Qwen/Qwen2.5-3B-Instruct,ridge_100.0,0,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-3B-Instruct,ema,0,gender,0.60621,0.60198,0.63657,,
Qwen/Qwen2.5-3B-Instruct,mm,0,gender,0.59451,0.59118,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.01,0,gender,0.61512,0.61373,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.1,0,gender,0.61283,0.61106,,,
Qwen/Qwen2.5-3B-Instruct,ridge_1.0,0,gender,0.6049,0.60092,,,
Qwen/Qwen2.5-3B-Instruct,ridge_10.0,0,gender,0.59965,0.5845,,,
Qwen/Qwen2.5-3B-Instruct,ridge_100.0,0,gender,0.51892,0.3736,,,
Qwen/Qwen2.5-3B-Instruct,ema,0,star_sign,0.07868,0.04116,,0.07582,0.08145
Qwen/Qwen2.5-3B-Instruct,mm,0,star_sign,0.09217,0.08184,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.01,0,star_sign,0.08354,0.02306,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.1,0,star_sign,0.08354,0.02305,,,
Qwen/Qwen2.5-3B-Instruct,ridge_1.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-3B-Instruct,ridge_10.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-3B-Instruct,ridge_100.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-3B-Instruct,ema,4,age_bin,0.54417,0.55052,,,
Qwen/Qwen2.5-3B-Instruct,mm,4,age_bin,0.39403,0.35772,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.01,4,age_bin,0.55821,0.56349,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.1,4,age_bin,0.55119,0.55633,,,
