batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign,loss_L32_age_bin,acc_L32_age_bin,loss_L32_gender,acc_L32_gender,loss_L32_star_sign,acc_L32_star_sign,loss_L36_age_bin,acc_L36_age_bin,loss_L36_gender,acc_L36_gender,loss_L36_star_sign,acc_L36_star_sign
0,1.68631,0.32871,1.17021,0.49883,3.25857,0.08754,1.53017,0.33427,0.9994,0.51481,3.24714,0.08114,1.60979,0.32698,1.05945,0.49645,3.24026,0.08459,1.5878,0.34006,1.04008,0.50201,3.25073,0.08702,1.61886,0.33048,1.00913,0.52298,3.25736,0.08394,1.58794,0.33819,1.02716,0.50537,3.24993,0.08464,1.62875,0.33483,1.01976,0.5213,3.24362,0.08548,1.6389,0.32782,1.03186,0.51373,3.38235,0.07609,1.64311,0.33842,0.96836,0.53293,3.28076,0.08511,1.6848,0.3225,1.10611,0.48776,3.17528,0.10249
1,1.6015,0.33047,1.0354,0.49615,3.23816,0.08569,1.52233,0.33322,1.00802,0.50442,3.23863,0.08114,1.56902,0.33284,1.02585,0.50352,3.25079,0.08579,1.5619,0.34524,1.01364,0.50743,3.27634,0.08323,1.64349,0.32616,1.06412,0.50705,3.25863,0.0855,1.56247,0.34123,0.99124,0.51319,3.32199,0.08223,1.60617,0.33716,1.03388,0.51752,3.23775,0.08659,1.53423,0.34187,1.01593,0.51335,3.31354,0.07996,1.62994,0.3391,0.99661,0.52535,3.33542,0.07977,1.66676,0.31934,1.05486,0.49082,3.2944,0.0929
2,1.53899,0.33494,1.00013,0.49448,3.19134,0.08301,1.49012,0.33726,0.94946,0.51091,3.22115,0.08217,1.61729,0.33177,1.07435,0.49776,3.25996,0.08463,1.56955,0.34439,1.06301,0.50268,3.31684,0.08188,1.51319,0.3359,1.02602,0.50912,3.27423,0.0842,1.59512,0.33728,0.98615,0.5148,3.24049,0.08368,1.66038,0.3324,1.1001,0.50896,3.32388,0.08419,1.53064,0.34633,1.07511,0.50624,3.2379,0.08467,1.58219,0.34107,0.92719,0.53033,3.35006,0.07836,1.58493,0.32656,1.03901,0.49285,3.37314,0.08702
3,1.5495,0.33369,1.00544,0.49327,3.20703,0.08321,1.51104,0.33443,0.9777,0.50935,3.1916,0.08215,1.6128,0.3304,1.04678,0.497,3.29009,0.08462,1.57384,0.34175,1.03011,0.50244,3.28847,0.08173,1.53818,0.33833,0.98099,0.51378,3.24813,0.08396,1.54949,0.3371,1.00283,0.51315,3.27851,0.08343,1.57353,0.33527,1.00657,0.51041,3.29662,0.08304,1.52867,0.34877,0.99858,0.50807,3.34798,0.08349,1.53531,0.34554,0.98006,0.52738,3.27356,0.07898,1.60262,0.32725,1.01974,0.49534,3.3044,0.08518
4,1.55756,0.33364,0.97569,0.49556,3.17902,0.08165,1.47109,0.3355,0.94641,0.51001,3.18295,0.0827,1.57575,0.3321,0.98981,0.50132,3.24038,0.08418,1.53809,0.34099,1.03497,0.5006,3.21218,0.08188,1.53392,0.34034,1.05041,0.5095,3.26935,0.08278,1.54569,0.3377,1.03348,0.50821,3.17353,0.08561,1.57433,0.33587,1.0119,0.51037,3.23774,0.08334,1.48774,0.35321,0.99598,0.50924,3.28872,0.08366,1.50116,0.35228,0.96863,0.52575,3.25787,0.08058,1.58157,0.32792,1.01491,0.49525,3.1544,0.08815
5,1.51782,0.33323,0.96406,0.49724,3.1844,0.0821,1.48931,0.33566,0.95473,0.51003,3.18943,0.08287,1.58793,0.3324,1.01812,0.50057,3.23086,0.08449,1.52957,0.34269,1.00175,0.50134,3.25976,0.08206,1.53527,0.34083,1.01521,0.50927,3.19838,0.08362,1.51825,0.33931,0.92716,0.51279,3.28449,0.08492,1.58526,0.33598,1.04748,0.50809,3.19696,0.08374,1.55636,0.35186,1.02036,0.50802,3.29223,0.08342,1.45706,0.35617,1.01812,0.52302,3.25779,0.08174,1.54851,0.32969,0.98738,0.49725,3.32519,0.08652
6,1.5158,0.33252,0.97789,0.49688,3.18168,0.08181,1.50082,0.33398,0.96063,0.50893,3.18994,0.0823,1.59354,0.33059,0.98381,0.50184,3.23881,0.08384,1.55532,0.34307,1.01844,0.50002,3.28014,0.08196,1.52965,0.34062,1.03005,0.50801,3.2657,0.08295,1.49538,0.34101,0.98139,0.51279,3.26521,0.08512,1.54829,0.33757,1.00272,0.50782,3.17193,0.08483,1.49139,0.35351,1.00338,0.50845,3.2801,0.08331,1.55609,0.35541,1.01589,0.52021,3.29374,0.0812,1.53453,0.33055,0.95847,0.50004,3.29739,0.08457
7,1.47685,0.33357,0.96956,0.49686,3.17425,0.08212,1.46564,0.33466,0.93926,0.50961,3.2002,0.08245,1.57352,0.33038,0.98565,0.50201,3.28315,0.08341,1.5429,0.34211,0.96196,0.50202,3.31537,0.08122,1.49754,0.34167,0.9438,0.51136,3.18581,0.08318,1.54183,0.34024,0.94767,0.51443,3.21823,0.08533,1.52842,0.3388,1.00681,0.50647,3.26749,0.08383,1.49507,0.35361,0.93391,0.51177,3.17295,0.08578,1.45471,0.35869,0.91006,0.52348,3.20762,0.08287,1.39992,0.33709,0.9682,0.50008,3.33669,0.08317
8,1.50264,0.33303,0.95652,0.49731,3.15279,0.08167,1.40968,0.33612,0.94801,0.50947,3.12209,0.08327,1.56512,0.32956,0.97987,0.50184,3.28859,0.08275,1.53091,0.34135,0.97239,0.50373,3.22346,0.0819,1.51753,0.3413,0.97879,0.51131,3.17317,0.08402,1.49156,0.34066,0.95934,0.51539,3.2566,0.08476,1.61507,0.33719,0.91623,0.51044,3.26228,0.08311,1.54663,0.3526,1.01294,0.51049,3.16817,0.08686,1.50678,0.35947,0.93426,0.52372,3.28226,0.08273,1.48873,0.33754,0.8945,0.50444,3.20569,0.08331
9,1.47881,0.33235,0.9586,0.49663,3.15013,0.08143,1.46043,0.33535,0.919,0.50992,3.17843,0.08327,1.53942,0.33016,0.97035,0.50202,3.21705,0.08297,1.45498,0.34322,0.9636,0.50441,3.18698,0.08208,1.49775,0.34114,0.93898,0.51331,3.18419,0.08429,1.47155,0.34217,0.91365,0.51708,3.25194,0.08459,1.57773,0.33669,0.97018,0.51107,3.28473,0.08284,1.47799,0.35305,0.89857,0.514,3.22566,0.08687,1.451,0.36144,0.82591,0.52892,3.27537,0.08286,1.55753,0.33576,0.92918,0.50562,3.30639,0.08184
10,1.45282,0.33272,0.92881,0.49757,3.15697,0.08168,1.43029,0.33596,0.94284,0.50969,3.12461,0.08355,1.50977,0.33118,0.95157,0.5023,3.1826,0.08308,1.4911,0.34332,0.97432,0.50443,3.20737,0.08226,1.46161,0.34165,0.97442,0.51285,3.17504,0.0846,1.55711,0.34073,0.96815,0.51654,3.13459,0.0852,1.45578,0.33897,0.93613,0.51191,3.21158,0.08286,1.44342,0.35441,1.01936,0.51268,3.2198,0.08695,1.45105,0.36218,0.94699,0.52842,3.24078,0.0827,1.46661,0.33691,0.99271,0.50392,3.23836,0.08167
11,1.4568,0.33241,0.92783,0.49833,3.11664,0.08197,1.43078,0.33633,0.88941,0.51147,3.14941,0.08362,1.55479,0.33057,0.98023,0.50153,3.17808,0.08366,1.46719,0.34457,0.94961,0.50587,3.22102,0.08203,1.42283,0.34407,0.9627,0.51305,3.18879,0.08457,1.46348,0.34156,0.8992,0.51867,3.22408,0.08502,1.47353,0.34094,0.94964,0.51316,3.20142,0.0832,1.41928,0.35601,0.93946,0.51421,3.21609,0.08694,1.47812,0.36287,0.94719,0.52837,3.2139,0.08284,1.41432,0.33961,0.95182,0.50373,3.14038,0.08253
12,1.45275,0.33222,0.92757,0.49879,3.14805,0.08217,1.41264,0.33646,0.89686,0.51234,3.136,0.08359,1.48543,0.33114,0.94013,0.502,3.22392,0.08296,1.47331,0.34515,0.93323,0.50759,3.21644,0.08177,1.47159,0.34391,0.96575,0.51276,3.15506,0.08493,1.51738,0.34084,0.96463,0.51823,3.20158,0.08484,1.49025,0.34191,0.90721,0.51576,3.22449,0.08308,1.41528,0.35758,0.96008,0.51456,3.24064,0.0864,1.48851,0.36278,0.92036,0.52878,3.14712,0.0836,1.44353,0.34157,0.84561,0.50852,3.18372,0.08229
