model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi
Qwen/Qwen2.5-3B-Instruct,ema,0,age_bin,0.40799,0.34039,,,
Qwen/Qwen2.5-3B-Instruct,mm,0,age_bin,0.49818,0.49799,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.01,0,age_bin,0.42099,0.34993,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.1,0,age_bin,0.41337,0.33853,,,
Qwen/Qwen2.5-3B-Instruct,ridge_1.0,0,age_bin,0.38974,0.29676,,,
Qwen/Qwen2.5-3B-Instruct,ridge_10.0,0,age_bin,0.34665,0.19922,,,
Qwen/Qwen2.5-3B-Instruct,ridge_100.0,0,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-3B-Instruct,ema,0,gender,0.60678,0.60521,0.63473,,
Qwen/Qwen2.5-3B-Instruct,mm,0,gender,0.58798,0.58708,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.01,0,gender,0.61216,0.61213,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.1,0,gender,0.61005,0.60994,,,
Qwen/Qwen2.5-3B-Instruct,ridge_1.0,0,gender,0.6018,0.60125,,,
Qwen/Qwen2.5-3B-Instruct,ridge_10.0,0,gender,0.59656,0.59453,,,
Qwen/Qwen2.5-3B-Instruct,ridge_100.0,0,gender,0.585,0.56287,,,
Qwen/Qwen2.5-3B-Instruct,ema,0,star_sign,0.07909,0.04709,,0.07587,0.08229
Qwen/Qwen2.5-3B-Instruct,mm,0,star_sign,0.09284,0.08516,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.01,0,star_sign,0.08333,0.02268,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.1,0,star_sign,0.08354,0.02306,,,
Qwen/Qwen2.5-3B-Instruct,ridge_1.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-3B-Instruct,ridge_10.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-3B-Instruct,ridge_100.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-3B-Instruct,ema,4,age_bin,0.55515,0.56112,,,
Qwen/Qwen2.5-3B-Instruct,mm,4,age_bin,0.3883,0.34949,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.01,4,age_bin,0.56538,0.56991,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.1,4,age_bin,0.56162,0.56586,,,
Qwen/Qwen2.5-3B-Instruct,ridge_1.0,4,age_bin,0.53522,0.53836,,,
Qwen/Qwen2.5-3B-Instruct,ridge_10.0,4,age_bin,0.45996,0.42862,,,
Qwen/Qwen2.5-3B-Instruct,ridge_100.0,4,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-3B-Instruct,ema,4,gender,0.62543,0.62454,0.66588,,
Qwen/Qwen2.5-3B-Instruct,mm,4,gender,0.53105,0.5113,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.01,4,gender,0.62833,0.62785,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.1,4,gender,0.62498,0.62448,,,
Qwen/Qwen2.5-3B-Instruct,ridge_1.0,4,gender,0.6164,0.6158,,,
Qwen/Qwen2.5-3B-Instruct,ridge_10.0,4,gender,0.60135,0.59988,,,
Qwen/Qwen2.5-3B-Instruct,ridge_100.0,4,gender,0.5936,0.58793,,,
Qwen/Qwen2.5-3B-Instruct,ema,4,star_sign,0.09051,0.07048,,0.08556,0.09552
Qwen/Qwen2.5-3B-Instruct,mm,4,star_sign,0.07297,0.03563,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.01,4,star_sign,0.08912,0.0595,,,
Qwen/Qwen2.5-3B-Instruct,ridge_0.1,4,star_sign,0.09008,0.0573,,,
Qwen/Qwen2.5-3B-Instruct,ridge_1.0,4,star_sign,0.09053,0.04864,,,
Qwen/Qwen2.5-3B-Instruct,ridge_10.0,4,star_sign,0.08376,0.02403,,,
