batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign,loss_L32_age_bin,acc_L32_age_bin,loss_L32_gender,acc_L32_gender,loss_L32_star_sign,acc_L32_star_sign,loss_L36_age_bin,acc_L36_age_bin,loss_L36_gender,acc_L36_gender,loss_L36_star_sign,acc_L36_star_sign
0,1.69427,0.32805,1.1546,0.49782,3.25408,0.08722,1.54067,0.33347,1.01016,0.51094,3.25391,0.08038,1.59741,0.33073,1.03795,0.49311,3.25393,0.08413,1.56714,0.33479,1.0584,0.49843,3.23872,0.08793,1.61651,0.32901,1.01975,0.51757,3.29796,0.08195,1.61157,0.33514,1.05225,0.50329,3.27011,0.08408,1.64657,0.32739,0.99138,0.52968,3.25366,0.0858,1.65866,0.32298,1.03332,0.51621,3.39783,0.07567,1.6356,0.34188,0.95782,0.53287,3.2865,0.08215,1.71578,0.31822,1.13197,0.47878,3.21493,0.09846
1,1.60801,0.33122,1.03862,0.496,3.24044,0.08539,1.53064,0.335,1.01092,0.50287,3.24607,0.08099,1.55776,0.336,0.99759,0.5031,3.26849,0.08531,1.52994,0.34266,1.02197,0.50603,3.28847,0.08338,1.65376,0.32314,1.06207,0.5059,3.27587,0.08405,1.58203,0.33942,0.99663,0.51283,3.34583,0.08048,1.61285,0.33232,1.02565,0.52011,3.23764,0.08688,1.5341,0.34032,1.01002,0.51542,3.33211,0.08096,1.60419,0.34377,0.98316,0.52878,3.34985,0.07808,1.73617,0.31068,1.07819,0.48365,3.36132,0.08704
2,1.53938,0.33662,1.00149,0.49551,3.19087,0.08288,1.50415,0.33924,0.94627,0.51111,3.23946,0.08118,1.62094,0.33299,1.05727,0.49718,3.27207,0.08458,1.53672,0.34397,1.07443,0.50243,3.32941,0.08129,1.52709,0.33331,1.03356,0.5078,3.28331,0.08368,1.61997,0.3372,0.99722,0.51509,3.27261,0.08044,1.6351,0.33232,1.0875,0.51083,3.32879,0.08444,1.51691,0.34625,1.07286,0.50768,3.2444,0.08497,1.56176,0.34712,0.90262,0.53659,3.3461,0.07799,1.6479,0.31693,1.0656,0.4877,3.44191,0.08145
3,1.55596,0.33523,1.00994,0.49431,3.20709,0.08226,1.54456,0.33529,0.99599,0.50923,3.2105,0.08188,1.60802,0.33229,1.02742,0.49685,3.31423,0.08432,1.56513,0.3423,1.04486,0.50197,3.31748,0.08061,1.5363,0.33682,0.98849,0.51328,3.26397,0.08366,1.55781,0.33878,1.02427,0.51387,3.31838,0.07992,1.56808,0.33469,1.00505,0.51135,3.27456,0.08443,1.53505,0.34947,1.01349,0.50772,3.34982,0.08356,1.49953,0.35245,0.96482,0.53397,3.30398,0.07868,1.6252,0.31991,1.02481,0.49207,3.30855,0.08154
4,1.56218,0.33603,0.97825,0.49618,3.18291,0.08123,1.48318,0.33681,0.94403,0.51133,3.20593,0.08321,1.56747,0.33433,0.97213,0.50132,3.27031,0.084,1.53563,0.34165,1.0413,0.50176,3.21774,0.08098,1.5494,0.3389,1.07383,0.50878,3.271,0.08281,1.55883,0.33988,1.04958,0.5094,3.17683,0.08307,1.57103,0.33619,0.99127,0.51285,3.2519,0.08339,1.48103,0.35525,0.98985,0.50975,3.29718,0.08369,1.47489,0.36046,0.94024,0.53457,3.26148,0.08091,1.60023,0.32292,1.04232,0.49371,3.17577,0.08669
5,1.52158,0.33479,0.96749,0.49771,3.19105,0.08073,1.51854,0.33714,0.95636,0.51188,3.20256,0.08372,1.59422,0.33435,0.99888,0.50083,3.25407,0.08446,1.51466,0.34415,1.0219,0.50173,3.28107,0.08115,1.56013,0.33865,1.01832,0.5088,3.21097,0.08318,1.54499,0.34071,0.94947,0.51388,3.29793,0.08263,1.5755,0.33747,1.02011,0.51192,3.21484,0.08334,1.56927,0.35453,1.03037,0.50785,3.28016,0.0839,1.43726,0.36442,0.98242,0.53257,3.28811,0.0819,1.55354,0.32676,0.97611,0.49846,3.37271,0.08557
6,1.52024,0.33357,0.9832,0.4972,3.18959,0.08043,1.54165,0.33468,0.97653,0.51038,3.22045,0.08289,1.59831,0.33222,0.9841,0.50176,3.26873,0.0838,1.56004,0.34448,1.04281,0.50015,3.30155,0.08071,1.55411,0.33835,1.04699,0.50723,3.3064,0.0825,1.50474,0.34327,0.9901,0.51445,3.28529,0.08283,1.56822,0.33864,0.99839,0.5117,3.16203,0.08496,1.50537,0.35627,1.01202,0.50885,3.30207,0.08357,1.56004,0.36296,1.01549,0.52916,3.30358,0.0809,1.54728,0.32967,1.007,0.50076,3.42387,0.08335
7,1.47862,0.33479,0.97398,0.49702,3.18384,0.08099,1.49641,0.33529,0.95418,0.51093,3.21781,0.0831,1.57248,0.33193,0.98233,0.50218,3.30909,0.08344,1.55343,0.34393,0.97037,0.50274,3.34154,0.08025,1.5113,0.3402,0.95038,0.51079,3.21352,0.08305,1.58378,0.34129,0.95186,0.51735,3.24682,0.08323,1.53728,0.3396,1.02397,0.51013,3.27385,0.08426,1.49075,0.35682,0.94549,0.51194,3.15807,0.0864,1.42154,0.36778,0.89912,0.53273,3.22789,0.0825,1.36192,0.3394,1.01085,0.50085,3.41283,0.08236
8,1.50832,0.33385,0.95894,0.49762,3.15759,0.08083,1.43836,0.33648,0.95484,0.51087,3.15781,0.0836,1.56041,0.33155,0.97727,0.50226,3.31635,0.08278,1.53496,0.343,0.9892,0.50459,3.23755,0.08135,1.54764,0.33993,0.98645,0.51119,3.18905,0.08418,1.49516,0.34296,0.98562,0.51758,3.28259,0.08286,1.62259,0.33817,0.91496,0.514,3.25082,0.08389,1.53076,0.3563,1.0164,0.51112,3.172,0.08784,1.48849,0.36855,0.92528,0.53248,3.2835,0.08232,1.50546,0.34093,0.92818,0.50541,3.24606,0.0827
9,1.48631,0.33272,0.96426,0.49687,3.16399,0.08065,1.49317,0.3358,0.93069,0.5116,3.21074,0.08335,1.53827,0.33226,0.96799,0.50259,3.24343,0.08324,1.46297,0.34479,0.97319,0.50595,3.21421,0.08169,1.52181,0.33977,0.93124,0.51412,3.22018,0.08462,1.49944,0.34445,0.92947,0.51971,3.26275,0.08271,1.6007,0.33766,0.97476,0.51455,3.29726,0.08352,1.47755,0.3574,0.89242,0.51553,3.2577,0.08738,1.42733,0.37074,0.80167,0.53841,3.30521,0.08223,1.53329,0.34102,0.93219,0.50778,3.3514,0.0812
