batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.66202,0.34993,40739
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.66034,0.31721,40739
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.59003,0.33396,40739
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.63706,0.34505,40739
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.68111,0.33494,40739
0,0,age_bin,ema_d0.99,0.01,0.0001,1.63817,0.31881,40739
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.57999,0.3384,40739
0,0,age_bin,mlp_h16,0.001,0.0,1.09269,0.37605,40739
0,0,age_bin,mlp_h32,0.001,0.0,1.11901,0.32659,40739
0,0,age_bin,mlp_h64,0.001,0.0,1.10759,0.3803,40739
0,0,age_bin,mlp_h128,0.001,0.0,1.09885,0.36034,40739
0,0,age_bin,attention,0.0001,1e-05,1.09898,0.25,40739
0,0,age_bin,shuffled,0.01,0.0001,1.59533,0.34127,40739
0,0,gender,ema_lr1e-3,0.001,0.0001,0.99211,0.51184,40739
0,0,gender,ema_lr5e-3,0.005,0.0001,1.05069,0.48627,40739
0,0,gender,ema_lr1e-2,0.01,0.0001,1.13078,0.48769,40739
0,0,gender,ema_lr5e-2,0.05,0.0001,1.03584,0.49324,40739
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.06198,0.4951,40739
0,0,gender,ema_d0.99,0.01,0.0001,1.04322,0.50122,40739
0,0,gender,ema_d0.9999,0.01,0.0001,1.05621,0.4968,40739
0,0,gender,mlp_h16,0.001,0.0,0.71701,0.47802,40739
0,0,gender,mlp_h32,0.001,0.0,0.69852,0.49898,40739
0,0,gender,mlp_h64,0.001,0.0,0.70293,0.51614,40739
0,0,gender,mlp_h128,0.001,0.0,0.72421,0.48602,40739
0,0,gender,attention,0.0001,1e-05,0.69291,0.58594,40739
0,0,gender,shuffled,0.01,0.0001,1.0608,0.50284,40739
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.29792,0.07877,40739
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.28762,0.08314,40739
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.38029,0.09608,40739
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.2999,0.08196,40739
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.2948,0.08653,40739
0,0,star_sign,ema_d0.99,0.01,0.0001,3.46079,0.0867,40739
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.277,0.08824,40739
0,0,star_sign,mlp_h16,0.001,0.0,2.53795,0.05025,40739
0,0,star_sign,mlp_h32,0.001,0.0,2.53699,0.08979,40739
0,0,star_sign,mlp_h64,0.001,0.0,2.50282,0.09205,40739
0,0,star_sign,mlp_h128,0.001,0.0,2.51652,0.07121,40739
0,0,star_sign,attention,0.0001,1e-05,2.48465,0.10156,40739
0,0,star_sign,shuffled,0.01,0.0001,3.27835,0.08562,40739
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.61096,0.3275,40739
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.61096,0.31876,40739
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.63756,0.33913,40739
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.53291,0.33452,40739
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.49999,0.35131,40739
0,4,age_bin,ema_d0.99,0.01,0.0001,1.55352,0.33621,40739
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.56709,0.33025,40739
0,4,age_bin,mlp_h16,0.001,0.0,1.11221,0.36709,40739
0,4,age_bin,mlp_h32,0.001,0.0,1.11085,0.32298,40739
0,4,age_bin,mlp_h64,0.001,0.0,1.09517,0.38928,40739
0,4,age_bin,mlp_h128,0.001,0.0,1.10582,0.36174,40739
0,4,age_bin,attention,0.0001,1e-05,1.19541,0.26562,40739
0,4,age_bin,shuffled,0.01,0.0001,1.5971,0.33386,40739
0,4,gender,ema_lr1e-3,0.001,0.0001,1.08051,0.47912,40739
0,4,gender,ema_lr5e-3,0.005,0.0001,1.00451,0.50428,40739
0,4,gender,ema_lr1e-2,0.01,0.0001,1.02678,0.49915,40739
0,4,gender,ema_lr5e-2,0.05,0.0001,1.072,0.50151,40739
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.02041,0.50959,40739
0,4,gender,ema_d0.99,0.01,0.0001,1.04936,0.50355,40739
0,4,gender,ema_d0.9999,0.01,0.0001,1.02749,0.50615,40739
0,4,gender,mlp_h16,0.001,0.0,0.71371,0.50384,40739
0,4,gender,mlp_h32,0.001,0.0,0.69942,0.49856,40739
0,4,gender,mlp_h64,0.001,0.0,0.70825,0.50195,40739
0,4,gender,mlp_h128,0.001,0.0,0.70212,0.50554,40739
0,4,gender,attention,0.0001,1e-05,57.46301,0.53906,40739
0,4,gender,shuffled,0.01,0.0001,1.01555,0.49898,40739
0,4,star_sign,ema_lr1e-3,0.001,0.0001,3.20875,0.08289,40739
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.18578,0.08353,40739
