batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign,loss_L32_age_bin,acc_L32_age_bin,loss_L32_gender,acc_L32_gender,loss_L32_star_sign,acc_L32_star_sign,loss_L36_age_bin,acc_L36_age_bin,loss_L36_gender,acc_L36_gender,loss_L36_star_sign,acc_L36_star_sign
0,1.6927,0.3283,1.15497,0.49696,3.2536,0.08656,1.54291,0.33463,1.0143,0.5114,3.25806,0.07921,1.60027,0.3282,1.04336,0.49007,3.25695,0.08549,1.56395,0.33879,1.06936,0.49757,3.23506,0.0896,1.62915,0.32719,1.01895,0.52006,3.30126,0.07987,1.59674,0.34132,1.06126,0.50066,3.26579,0.08408,1.65071,0.32359,0.99249,0.52786,3.23123,0.09,1.63139,0.33109,1.0493,0.50826,3.37478,0.0779,1.62277,0.34684,0.95886,0.53272,3.27786,0.0819,1.72947,0.31493,1.13233,0.47721,3.2124,0.09978
1,1.60699,0.33088,1.03879,0.49536,3.2402,0.08516,1.53452,0.33592,1.01215,0.503,3.25401,0.08076,1.56038,0.33435,0.99756,0.50151,3.26116,0.08624,1.51177,0.34812,1.02366,0.50727,3.28757,0.08377,1.65185,0.32309,1.0631,0.50768,3.26749,0.08325,1.611,0.33803,1.01416,0.51077,3.34577,0.0815,1.61279,0.33042,1.03527,0.51856,3.25104,0.08781,1.51472,0.34665,1.00114,0.5147,3.34687,0.07991,1.60513,0.34639,0.98008,0.52908,3.34603,0.07834,1.72907,0.31012,1.07778,0.48185,3.38506,0.08773
2,1.53826,0.3365,1.00133,0.49532,3.19153,0.08272,1.50887,0.33896,0.9454,0.51231,3.24177,0.08125,1.63249,0.33138,1.06279,0.49516,3.27606,0.08531,1.52806,0.34979,1.07768,0.50339,3.32025,0.08228,1.52613,0.33338,1.03956,0.5078,3.29583,0.0824,1.62926,0.33444,0.99674,0.51293,3.28205,0.08138,1.62041,0.33106,1.08383,0.50854,3.32262,0.08539,1.50683,0.3519,1.08045,0.50711,3.24334,0.08359,1.55812,0.34923,0.89604,0.53788,3.34297,0.07766,1.64191,0.31649,1.03472,0.48985,3.44314,0.08214
3,1.55516,0.33522,1.01001,0.49419,3.20666,0.08203,1.54593,0.33515,1.00243,0.50987,3.20888,0.08208,1.60018,0.33141,1.03197,0.4948,3.32102,0.08456,1.54875,0.34816,1.05526,0.50256,3.32945,0.08055,1.53013,0.3375,1.00301,0.51225,3.27907,0.08264,1.54999,0.33692,1.01913,0.5129,3.31582,0.08106,1.56986,0.3347,1.01603,0.50843,3.27858,0.08532,1.51142,0.35475,1.02467,0.50635,3.32407,0.08273,1.48804,0.35467,0.95694,0.53586,3.30571,0.07824,1.62429,0.31965,1.00895,0.49501,3.30203,0.08238
4,1.56132,0.3359,0.97837,0.4961,3.18292,0.0814,1.48023,0.33715,0.94261,0.51218,3.21529,0.08301,1.56992,0.33337,0.98056,0.49843,3.27431,0.08439,1.5214,0.34808,1.04305,0.50216,3.22663,0.0808,1.54991,0.33925,1.07852,0.50803,3.27417,0.08154,1.55601,0.33892,1.04554,0.51012,3.17513,0.0846,1.56515,0.33605,0.98026,0.5114,3.26947,0.0833,1.45969,0.362,0.97806,0.50911,3.29755,0.08347,1.47172,0.36229,0.94634,0.5356,3.27137,0.08025,1.59612,0.32296,1.05199,0.4952,3.1657,0.08733
5,1.52131,0.33467,0.96759,0.49757,3.19087,0.08045,1.52236,0.33758,0.95496,0.51304,3.20345,0.08358,1.59794,0.33327,1.00179,0.49849,3.26788,0.08457,1.50837,0.35007,1.02074,0.50268,3.27367,0.08138,1.5499,0.33933,1.03094,0.50803,3.21598,0.08214,1.55014,0.34007,0.95808,0.51414,3.28825,0.08441,1.58163,0.33684,0.99969,0.51168,3.24982,0.08293,1.55694,0.36173,1.03877,0.50744,3.27301,0.08375,1.4481,0.3655,0.974,0.53411,3.26195,0.08101,1.53593,0.32796,0.97834,0.4994,3.35759,0.08618
6,1.52011,0.33343,0.98317,0.49697,3.18981,0.08016,1.55071,0.33487,0.97694,0.51134,3.22707,0.08287,1.60021,0.33129,0.98648,0.49982,3.26686,0.08404,1.55591,0.35043,1.04261,0.50089,3.31807,0.0808,1.54916,0.33898,1.05105,0.50678,3.31147,0.08163,1.49202,0.34339,0.99454,0.5148,3.27779,0.08449,1.56309,0.33827,0.99691,0.51152,3.17222,0.08474,1.50034,0.36293,0.99588,0.50926,3.31136,0.08335,1.55573,0.36373,1.02046,0.53041,3.32428,0.08007,1.55227,0.33042,1.00728,0.5023,3.45403,0.08387
7,1.47843,0.33463,0.97422,0.49676,3.18369,0.08005,1.49773,0.33545,0.96227,0.51123,3.2147,0.0831,1.57469,0.33089,0.99246,0.5,3.30243,0.08373,1.53983,0.34994,0.96984,0.50389,3.34514,0.0801,1.50374,0.34083,0.95689,0.51059,3.22358,0.08215,1.5867,0.34096,0.96022,0.51675,3.2489,0.0848,1.52955,0.33967,1.02519,0.50958,3.25271,0.08453,1.46781,0.36405,0.9564,0.51224,3.16326,0.08574,1.41425,0.36801,0.89489,0.53369,3.21751,0.08193,1.34331,0.34051,1.00881,0.50238,3.40863,0.08288
8,1.50833,0.33394,0.95924,0.49733,3.15749,0.07995,1.44461,0.3366,0.95225,0.51112,3.16069,0.08386,1.56853,0.3304,0.98198,0.50016,3.32507,0.08282,1.52177,0.34906,0.98947,0.50627,3.2329,0.08117,1.54462,0.34071,0.9942,0.51085,3.18269,0.08366,1.47462,0.34367,0.99336,0.51641,3.29666,0.08434,1.60227,0.33932,0.91109,0.51418,3.24057,0.08419,1.49931,0.36429,1.00079,0.5121,3.15748,0.0873,1.47283,0.36943,0.92571,0.5331,3.2797,0.0819,1.48561,0.3429,0.94105,0.50637,3.2516,0.08307
9,1.48643,0.33281,0.96401,0.49672,3.16425,0.07984,1.49239,0.33611,0.9301,0.51199,3.2143,0.08354,1.53428,0.33144,0.97391,0.50032,3.24775,0.08327,1.45434,0.35071,0.97367,0.50775,3.21189,0.08167,1.52294,0.34063,0.93593,0.51421,3.20213,0.08447,1.4926,0.34539,0.93762,0.51857,3.28182,0.08393,1.59447,0.33884,0.97301,0.51455,3.29908,0.08398,1.46469,0.3652,0.88829,0.51663,3.27029,0.08701,1.4161,0.37212,0.7974,0.53899,3.30744,0.08155,1.52169,0.34291,0.93317,0.50839,3.36646,0.08165
10,1.45673,0.33326,0.93368,0.4976,3.17405,0.08015,1.47064,0.33656,0.9725,0.51115,3.17049,0.08381,1.52146,0.33223,0.95971,0.50052,3.22308,0.08339,1.4911,0.351,1.0167,0.50736,3.24703,0.0817,1.46635,0.34186,0.98721,0.51365,3.20312,0.08525,1.57284,0.34424,0.98693,0.51873,3.17295,0.08435,1.40503,0.34309,0.91231,0.51621,3.20579,0.08419,1.38457,0.36808,1.01653,0.51597,3.24561,0.08707,1.42323,0.37341,0.94734,0.53776,3.26117,0.08159,1.43891,0.34605,1.02577,0.50651,3.26495,0.08149
11,1.46108,0.33274,0.9309,0.49891,3.12627,0.08057,1.45984,0.337,0.89878,0.51312,3.19195,0.08357,1.56115,0.33174,0.99301,0.49982,3.21074,0.08384,1.45723,0.35259,0.96734,0.50899,3.23852,0.0815,1.43657,0.34502,0.96332,0.51464,3.23828,0.08528,1.45512,0.34645,0.9313,0.52043,3.27952,0.08402,1.45984,0.34637,0.94822,0.5172,3.21869,0.08456,1.37076,0.3711,0.9215,0.51857,3.24883,0.08695,1.4207,0.3757,0.93365,0.53776,3.24257,0.08144,1.41047,0.35032,0.98314,0.50774,3.25046,0.08216
12,1.45601,0.33226,0.93295,0.4995,3.1552,0.08084,1.44649,0.33687,0.91508,0.51388,3.17846,0.08337,1.48909,0.33259,0.95845,0.49985,3.25335,0.08334,1.48995,0.3526,0.9457,0.51084,3.23553,0.0811,1.48861,0.34544,0.97783,0.51438,3.17458,0.0858,1.53124,0.34589,0.98138,0.52046,3.23291,0.08431,1.47296,0.34817,0.91019,0.51944,3.24835,0.08455,1.36341,0.37383,0.96134,0.51869,3.24515,0.08679,1.46776,0.37575,0.92739,0.53755,3.1396,0.08276,1.46453,0.3523,0.84301,0.51403,3.27072,0.08188
13,1.41442,0.33251,0.92509,0.50068,3.12825,0.0808,1.4412,0.33756,0.97559,0.51188,3.17247,0.08363,1.51319,0.33301,0.94434,0.50074,3.21513,0.08356,1.46289,0.35316,0.99328,0.51098,3.25886,0.08136,1.51789,0.34509,0.98481,0.51383,3.22381,0.086,1.54837,0.34589,1.03779,0.51831,3.25414,0.08433,1.48677,0.34925,1.05478,0.51725,3.23226,0.0849,1.44144,0.37415,0.9941,0.51856,3.25865,0.08684,1.45668,0.37616,0.93162,0.53797,3.27723,0.0824,1.43068,0.3548,1.05597,0.51195,3.2419,0.08268
14,1.40157,0.33376,0.9448,0.50028,3.11426,0.08114,1.47348,0.33741,0.98137,0.5106,3.202,0.08335,1.51923,0.33386,0.9573,0.50162,3.23164,0.0835,1.48776,0.35301,0.96229,0.51131,3.11958,0.08311,1.5233,0.34441,0.94768,0.51485,3.24789,0.08597,1.54863,0.34507,0.96383,0.51852,3.18482,0.08495,1.56223,0.34841,0.97844,0.5167,3.19944,0.08547,1.5812,0.37308,0.97856,0.51855,3.28814,0.08654,1.53772,0.37431,0.97598,0.53617,3.2196,0.08296,1.49307,0.35526,0.97873,0.51129,3.2851,0.08239
15,1.42162,0.33409,0.90969,0.50065,3.13553,0.08134,1.44775,0.33772,0.91294,0.51131,3.18556,0.08315,1.48366,0.33474,0.95795,0.50146,3.21923,0.08376,1.48119,0.35332,0.95805,0.51192,3.26626,0.0829,1.44113,0.34609,0.95891,0.51474,3.19077,0.08632,1.46974,0.34629,0.96608,0.51932,3.24791,0.0851,1.45904,0.34965,0.95721,0.51694,3.25616,0.08491,1.40109,0.37391,0.86673,0.5215,3.21181,0.08649,1.37041,0.37584,0.83844,0.5386,3.2613,0.08272,1.31498,0.35918,0.90452,0.51269,3.27678,0.08204
