model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi
Qwen/Qwen2.5-7B,ema,0,age_bin,0.40337,0.32279,,,
Qwen/Qwen2.5-7B,mm,0,age_bin,0.49407,0.48894,,,
Qwen/Qwen2.5-7B,ridge_0.01,0,age_bin,0.41755,0.34431,,,
Qwen/Qwen2.5-7B,ridge_0.1,0,age_bin,0.41354,0.33737,,,
Qwen/Qwen2.5-7B,ridge_1.0,0,age_bin,0.40265,0.31704,,,
Qwen/Qwen2.5-7B,ridge_10.0,0,age_bin,0.37006,0.25316,,,
Qwen/Qwen2.5-7B,ridge_100.0,0,age_bin,0.33333,0.15881,,,
Qwen/Qwen2.5-7B,ema,0,gender,0.60929,0.60747,0.64027,,
Qwen/Qwen2.5-7B,mm,0,gender,0.58238,0.58194,,,
Qwen/Qwen2.5-7B,ridge_0.01,0,gender,0.60782,0.60772,,,
Qwen/Qwen2.5-7B,ridge_0.1,0,gender,0.60656,0.60647,,,
Qwen/Qwen2.5-7B,ridge_1.0,0,gender,0.60557,0.60539,,,
Qwen/Qwen2.5-7B,ridge_10.0,0,gender,0.59778,0.59682,,,
Qwen/Qwen2.5-7B,ridge_100.0,0,gender,0.59105,0.58487,,,
Qwen/Qwen2.5-7B,ema,0,star_sign,0.08391,0.02549,,0.08311,0.08479
Qwen/Qwen2.5-7B,mm,0,star_sign,0.08971,0.08142,,,
Qwen/Qwen2.5-7B,ridge_0.01,0,star_sign,0.08333,0.02267,,,
Qwen/Qwen2.5-7B,ridge_0.1,0,star_sign,0.08333,0.02266,,,
Qwen/Qwen2.5-7B,ridge_1.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-7B,ridge_10.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-7B,ridge_100.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-7B,ema,4,age_bin,0.57796,0.58405,,,
Qwen/Qwen2.5-7B,mm,4,age_bin,0.35546,0.29016,,,
Qwen/Qwen2.5-7B,ridge_0.01,4,age_bin,0.58094,0.58478,,,
Qwen/Qwen2.5-7B,ridge_0.1,4,age_bin,0.57073,0.57445,,,
Qwen/Qwen2.5-7B,ridge_1.0,4,age_bin,0.54348,0.54609,,,
Qwen/Qwen2.5-7B,ridge_10.0,4,age_bin,0.44395,0.39614,,,
Qwen/Qwen2.5-7B,ridge_100.0,4,age_bin,0.33354,0.15925,,,
Qwen/Qwen2.5-7B,ema,4,gender,0.62862,0.62715,,,
Qwen/Qwen2.5-7B,mm,4,gender,0.51773,0.49525,,,
Qwen/Qwen2.5-7B,ridge_0.01,4,gender,0.6318,0.63068,,,
Qwen/Qwen2.5-7B,ridge_0.1,4,gender,0.62513,0.62406,,,
Qwen/Qwen2.5-7B,ridge_1.0,4,gender,0.61115,0.61007,,,
Qwen/Qwen2.5-7B,ridge_10.0,4,gender,0.59937,0.59765,,,
Qwen/Qwen2.5-7B,ridge_100.0,4,gender,0.59284,0.58623,,,
Qwen/Qwen2.5-7B,ema,4,star_sign,0.09338,0.06291,,0.08907,0.09786
Qwen/Qwen2.5-7B,mm,4,star_sign,0.0784,0.02698,,,
Qwen/Qwen2.5-7B,ridge_0.01,4,star_sign,0.09157,0.06241,,,
Qwen/Qwen2.5-7B,ridge_0.1,4,star_sign,0.0914,0.05622,,,
Qwen/Qwen2.5-7B,ridge_1.0,4,star_sign,0.08852,0.04409,,,
Qwen/Qwen2.5-7B,ridge_10.0,4,star_sign,0.08328,0.0227,,,
Qwen/Qwen2.5-7B,ridge_100.0,4,star_sign,0.08333,0.02264,,,
Qwen/Qwen2.5-7B,ema,8,age_bin,0.66804,0.674,,,
Qwen/Qwen2.5-7B,mm,8,age_bin,0.36544,0.30796,,,
Qwen/Qwen2.5-7B,ridge_0.01,8,age_bin,0.66943,0.67302,,,
Qwen/Qwen2.5-7B,ridge_0.1,8,age_bin,0.66711,0.67066,,,
Qwen/Qwen2.5-7B,ridge_1.0,8,age_bin,0.65157,0.65602,,,
Qwen/Qwen2.5-7B,ridge_10.0,8,age_bin,0.57175,0.56562,,,
Qwen/Qwen2.5-7B,ridge_100.0,8,age_bin,0.35235,0.20254,,,
Qwen/Qwen2.5-7B,ema,8,gender,0.67763,0.67524,,,
Qwen/Qwen2.5-7B,mm,8,gender,0.52471,0.50095,,,
Qwen/Qwen2.5-7B,ridge_0.01,8,gender,0.67893,0.6768,,,
Qwen/Qwen2.5-7B,ridge_0.1,8,gender,0.6759,0.67379,,,
Qwen/Qwen2.5-7B,ridge_1.0,8,gender,0.66107,0.65908,,,
Qwen/Qwen2.5-7B,ridge_10.0,8,gender,0.63624,0.6346,,,
Qwen/Qwen2.5-7B,ridge_100.0,8,gender,0.62242,0.6196,,,
Qwen/Qwen2.5-7B,ema,8,star_sign,0.07873,0.06601,,0.07398,0.08357
Qwen/Qwen2.5-7B,mm,8,star_sign,0.07961,0.02844,,,
Qwen/Qwen2.5-7B,ridge_0.01,8,star_sign,0.081,0.0665,,,
