batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
0,1.61341,0.33519,1.06394,0.50459,3.34156,0.07732,1.41142,0.329,0.89122,0.51471,3.01385,0.07887,1.59493,0.3162,1.13409,0.4601,3.14106,0.09456,1.56648,0.31217,1.07639,0.47672,3.22258,0.07897,1.46049,0.36441,1.01063,0.5047,3.20045,0.08506,1.62787,0.33323,0.99093,0.51161,3.25921,0.08506,1.52363,0.3674,1.12006,0.48033,3.43789,0.07278,1.54093,0.34634,1.01979,0.51636,3.4311,0.06658
1,1.5865,0.33215,1.01972,0.50243,3.27738,0.08154,1.42643,0.32587,0.90332,0.50684,2.99145,0.07921,1.50856,0.32607,1.03873,0.4807,3.14961,0.09142,1.45327,0.33094,0.97095,0.50046,3.07623,0.08884,1.47248,0.3633,1.02172,0.49752,3.24216,0.07769,1.70902,0.31047,1.04239,0.49858,3.23895,0.086,1.57359,0.35185,1.19491,0.46242,3.24282,0.07926,1.55165,0.3555,1.06476,0.50689,3.32693,0.07106
2,1.552,0.33057,0.98483,0.50389,3.24928,0.08117,1.42855,0.32557,0.90035,0.50456,2.98569,0.08223,1.48948,0.33174,0.99184,0.49327,3.10947,0.09088,1.55159,0.32319,1.0757,0.48903,3.26487,0.08257,1.55908,0.3499,0.93266,0.51097,3.12649,0.08267,1.56931,0.31956,1.03456,0.49878,3.15727,0.08848,1.51249,0.35792,1.03888,0.47678,3.48414,0.07325,1.5867,0.35024,0.97613,0.51287,3.33016,0.07452
3,1.53804,0.32947,0.97839,0.50547,3.22109,0.08233,1.40327,0.32589,0.88875,0.50457,2.96692,0.08271,1.478,0.33495,0.97551,0.49891,3.17388,0.08657,1.57449,0.32121,0.97656,0.49168,3.18021,0.08405,1.46081,0.35113,1.00045,0.50853,3.14133,0.08266,1.55818,0.32216,0.97909,0.50521,3.34527,0.08572,1.55013,0.35401,1.09355,0.47748,3.25121,0.07654,1.39079,0.35928,0.92367,0.51859,3.41847,0.07337
4,1.53793,0.32928,1.00855,0.50293,3.22156,0.08427,1.40091,0.32735,0.88625,0.50662,2.95675,0.08406,1.55518,0.33278,1.03487,0.49569,3.12284,0.08658,1.52388,0.3235,1.024,0.49077,3.08939,0.08559,1.48055,0.35172,1.04379,0.50247,3.25114,0.08023,1.55082,0.32509,0.96392,0.50992,3.18212,0.08515,1.56431,0.35112,0.99799,0.48465,3.21168,0.07891,1.4601,0.36175,1.007,0.51497,3.36618,0.0751
5,1.51117,0.32686,0.97498,0.50367,3.23389,0.08458,1.38445,0.32902,0.8618,0.50929,2.92049,0.08621,1.46687,0.33646,0.9701,0.49689,3.1546,0.08589,1.4939,0.32573,0.91176,0.49783,3.21268,0.08584,1.50071,0.34948,0.92031,0.50626,3.19395,0.08031,1.54388,0.32577,0.94412,0.51315,3.22924,0.0841,1.54281,0.35213,1.04239,0.48629,3.26993,0.07992,1.52346,0.36279,0.92139,0.51842,3.25963,0.07764
6,1.50314,0.32714,0.95535,0.50542,3.25489,0.08405,1.39776,0.32958,0.90837,0.50593,3.00031,0.08598,1.43464,0.34026,0.96947,0.49817,3.20252,0.08372,1.52994,0.32512,0.9504,0.5001,3.20819,0.08457,1.45812,0.3498,0.97671,0.50695,3.22278,0.07916,1.53496,0.32676,0.91221,0.51734,3.20347,0.08541,1.4131,0.35857,1.11384,0.48662,3.31649,0.07951,1.30316,0.37453,1.0141,0.51801,3.21309,0.07857
7,1.46627,0.32861,0.93043,0.50552,3.13235,0.0853,1.36226,0.33164,0.92599,0.50409,2.95453,0.08604,1.48472,0.34094,0.97873,0.49749,3.22323,0.08206,1.50298,0.32659,1.0486,0.4992,3.15997,0.08368,1.46702,0.34928,0.92237,0.50861,3.15123,0.0801,1.44093,0.33066,0.97664,0.51669,3.24716,0.08541,1.48208,0.35931,0.98508,0.48865,3.21457,0.08022,1.50843,0.37252,0.87517,0.52328,3.17909,0.0789
8,1.44217,0.33064,0.9542,0.50428,3.18344,0.08606,1.39416,0.33167,0.85862,0.50569,3.01093,0.08581,1.42737,0.34339,0.88986,0.50174,3.21728,0.08067,1.50065,0.32841,0.88961,0.50419,3.04288,0.0855,1.43908,0.35024,0.92322,0.51129,3.09912,0.08106,1.45568,0.33457,0.98827,0.51483,3.22052,0.08515,1.36164,0.36567,1.05661,0.48806,3.24953,0.07943,1.30778,0.38132,0.94338,0.52425,3.12859,0.08066
9,1.45618,0.33091,0.93871,0.50376,3.18114,0.08628,1.40221,0.32878,0.86822,0.5057,2.87968,0.08672,1.49654,0.34256,0.97073,0.50053,3.02501,0.08268,1.479,0.3291,0.92649,0.50803,3.1773,0.08518,1.43957,0.35068,0.91408,0.51427,3.07806,0.08237,1.44442,0.33779,0.93824,0.51765,3.26529,0.08495,1.40494,0.36909,0.89097,0.49541,3.16419,0.08114,1.38418,0.38454,0.90301,0.52517,3.14448,0.08064
10,1.45851,0.33178,0.93285,0.50446,3.22777,0.08618,1.35435,0.3304,0.86131,0.50684,2.99585,0.08662,1.40859,0.34628,0.95091,0.50053,3.29384,0.08173,1.34541,0.33414,1.00741,0.50616,3.20774,0.0846,1.45549,0.35098,1.00586,0.51264,3.12461,0.08347,1.37282,0.3418,0.80353,0.52281,3.13449,0.08577,1.31438,0.37317,0.91108,0.49975,3.18635,0.08199,1.30563,0.38895,0.77381,0.53102,2.8933,0.08438
11,1.40166,0.33328,0.92059,0.50489,3.15073,0.08581,1.3133,0.33267,0.87978,0.50649,2.9104,0.08712,1.40394,0.34741,0.93087,0.50066,3.1926,0.0809,1.35596,0.33779,0.93255,0.50691,3.15165,0.08431,1.36872,0.3537,0.83955,0.51671,3.07591,0.08408,1.35618,0.34756,0.85396,0.52749,3.1047,0.08643,1.44563,0.37408,1.00962,0.49968,3.29817,0.0819,1.21738,0.3953,0.92653,0.53259,3.22566,0.08327
12,1.43828,0.334,0.94136,0.50293,3.14435,0.08494,1.38746,0.33198,0.88087,0.50592,2.8984,0.08718,1.4389,0.34781,1.0087,0.49896,3.11606,0.08165,1.50719,0.33733,0.93304,0.50708,3.19661,0.08403,1.50678,0.35211,1.03211,0.51258,3.10796,0.08425,1.44391,0.3495,0.90982,0.52781,3.21859,0.08645,1.62034,0.37068,0.95675,0.50351,3.23867,0.082,1.51851,0.39299,0.93641,0.53385,3.23465,0.08366
13,1.40708,0.33499,0.91648,0.50342,3.16858,0.08452,1.36389,0.3323,0.83325,0.50802,2.88783,0.0875,1.4736,0.34782,0.95152,0.4992,3.15576,0.08182,1.3499,0.33928,0.91798,0.5083,3.13152,0.08438,1.41223,0.35252,0.93244,0.51332,3.21026,0.08426,1.43306,0.35016,0.94903,0.52734,3.31019,0.08568,1.38341,0.37132,0.97077,0.5048,3.11059,0.0835,1.4973,0.39165,1.02702,0.53271,3.35319,0.08314
14,1.39319,0.33492,0.91725,0.50277,3.12923,0.08455,1.32275,0.33467,0.84809,0.50849,2.94551,0.08736,1.41448,0.34925,0.91055,0.50081,3.17422,0.08134,1.39406,0.34159,0.91219,0.50915,3.08675,0.08466,1.40183,0.35299,0.98203,0.51262,3.18253,0.08392,1.35695,0.35345,0.84917,0.53031,3.22187,0.08566,1.32076,0.37567,0.81098,0.51201,3.36232,0.08248,1.30564,0.39456,0.85036,0.53519,3.01502,0.08444
15,1.38465,0.33615,0.8777,0.50412,3.17762,0.08465,1.31709,0.33581,0.84594,0.50953,2.93281,0.0871,1.33501,0.35191,0.91147,0.5016,3.13007,0.08136,1.40218,0.34281,0.86612,0.51161,3.20887,0.08404,1.35483,0.35556,0.81191,0.51686,3.07793,0.08463,1.28327,0.3576,0.82472,0.53304,3.12496,0.08608,1.24516,0.38053,0.90887,0.51481,3.13079,0.08365,1.21537,0.39754,0.81796,0.53771,3.14515,0.08444
16,1.4152,0.33655,0.89772,0.50423,3.11784,0.08476,1.40572,0.33551,0.84734,0.51079,2.94459,0.08714,1.34824,0.35426,0.85235,0.50431,3.14959,0.08132,1.36693,0.34447,0.8542,0.51404,3.10778,0.08405,1.30277,0.35836,0.91878,0.51727,3.16401,0.08434,1.37899,0.35912,0.7578,0.5378,3.29904,0.08514,1.26717,0.38366,0.93898,0.51613,3.32545,0.08397,1.26199,0.39971,0.81271,0.54028,3.04614,0.08564
17,1.38623,0.33777,0.89244,0.50404,3.10787,0.08417,1.32552,0.33697,0.87704,0.50966,2.95655,0.08633,1.35692,0.35596,0.93647,0.50459,3.02559,0.082,1.40429,0.34546,0.97841,0.51217,3.11232,0.08377,1.32449,0.36048,1.03746,0.51373,3.04041,0.08483,1.38194,0.36118,0.89334,0.53869,3.14906,0.08518,1.34385,0.38603,0.92811,0.51765,3.21779,0.08417,1.16334,0.40475,0.96041,0.53849,3.12197,0.08581
18,1.38995,0.33878,0.86773,0.50467,3.08847,0.08404,1.34707,0.33721,0.84866,0.51018,2.93105,0.08626,1.38846,0.35696,0.9065,0.50538,3.17407,0.08138,1.4051,0.34621,0.85745,0.51392,3.08735,0.08391,1.40373,0.36109,0.83386,0.51617,3.12368,0.0849,1.33207,0.36405,0.81906,0.5409,3.06581,0.08582,1.30666,0.38895,0.86702,0.51988,3.24572,0.08409,1.23112,0.40813,0.64998,0.54497,3.27985,0.08493
19,1.36852,0.33955,0.87722,0.50537,3.09985,0.08395,1.35816,0.33746,0.84822,0.51052,2.91392,0.08613,1.34864,0.35849,0.87371,0.50633,3.14986,0.08129,1.34583,0.34832,0.8515,0.51571,3.13181,0.08355,1.34343,0.362,0.87433,0.51749,3.10406,0.08488,1.26248,0.36725,0.86133,0.54171,3.18487,0.08628,1.27931,0.39122,0.9485,0.52014,3.04431,0.08538,1.16399,0.41153,0.79881,0.54661,3.03485,0.08542
20,1.35999,0.34038,0.85782,0.50562,3.08975,0.08373,1.30598,0.33843,0.86292,0.51076,2.91173,0.08593,1.37036,0.35905,0.95144,0.50635,3.11259,0.0814,1.4114,0.34837,0.93522,0.51591,3.20525,0.08315,1.36015,0.36274,0.96721,0.51703,3.19127,0.08451,1.34623,0.36857,0.93787,0.54116,3.28651,0.08579,1.29523,0.39346,0.95471,0.52001,3.30454,0.08501,1.18046,0.41398,0.81069,0.54772,3.18018,0.08519
21,1.35315,0.34073,0.87249,0.50536,3.06328,0.0838,1.34555,0.33871,0.85294,0.51055,2.9133,0.08587,1.37649,0.3598,0.88489,0.50733,3.08284,0.08152,1.38099,0.34946,0.94618,0.51543,3.14841,0.08314,1.35427,0.36346,0.90193,0.51738,3.10246,0.08456,1.21183,0.37212,0.8853,0.54143,3.21081,0.08542,1.17146,0.39686,0.89519,0.52136,3.21633,0.08495,1.14511,0.41743,0.93216,0.54607,3.09153,0.0852
22,1.3649,0.34153,0.87017,0.50525,3.05301,0.08406,1.3395,0.3389,0.83594,0.51128,2.86942,0.08597,1.37279,0.36059,0.80711,0.51031,3.10651,0.08154,1.37572,0.3505,0.87152,0.51643,3.0582,0.08328,1.38222,0.36416,0.85135,0.5189,3.12058,0.08442,1.26442,0.37492,0.82013,0.54279,3.1586,0.08516,1.26169,0.39938,0.80722,0.5247,3.20549,0.08473,1.12813,0.42088,1.02055,0.54321,3.15597,0.08489
