model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi
Qwen/Qwen3-0.6B-Base,ema,0,age_bin,0.40022,0.34022,,,
Qwen/Qwen3-0.6B-Base,mm,0,age_bin,0.50784,0.51068,,,
Qwen/Qwen3-0.6B-Base,ridge_0.01,0,age_bin,0.41377,0.3391,,,
Qwen/Qwen3-0.6B-Base,ridge_0.1,0,age_bin,0.4101,0.33136,,,
Qwen/Qwen3-0.6B-Base,ridge_1.0,0,age_bin,0.38064,0.27994,,,
Qwen/Qwen3-0.6B-Base,ridge_10.0,0,age_bin,0.33764,0.17267,,,
Qwen/Qwen3-0.6B-Base,ridge_100.0,0,age_bin,0.33333,0.15881,,,
Qwen/Qwen3-0.6B-Base,ema,0,gender,0.57476,0.57315,0.59266,,
Qwen/Qwen3-0.6B-Base,mm,0,gender,0.58898,0.58814,,,
Qwen/Qwen3-0.6B-Base,ridge_0.01,0,gender,0.60945,0.60939,,,
Qwen/Qwen3-0.6B-Base,ridge_0.1,0,gender,0.60713,0.60699,,,
Qwen/Qwen3-0.6B-Base,ridge_1.0,0,gender,0.60164,0.60112,,,
Qwen/Qwen3-0.6B-Base,ridge_10.0,0,gender,0.59647,0.59399,,,
Qwen/Qwen3-0.6B-Base,ridge_100.0,0,gender,0.56957,0.52593,,,
Qwen/Qwen3-0.6B-Base,ema,0,star_sign,0.08159,0.07306,,0.07664,0.0864
Qwen/Qwen3-0.6B-Base,mm,0,star_sign,0.09177,0.07744,,,
Qwen/Qwen3-0.6B-Base,ridge_0.01,0,star_sign,0.08338,0.02285,,,
Qwen/Qwen3-0.6B-Base,ridge_0.1,0,star_sign,0.08354,0.02305,,,
Qwen/Qwen3-0.6B-Base,ridge_1.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen3-0.6B-Base,ridge_10.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen3-0.6B-Base,ridge_100.0,0,star_sign,0.08333,0.02264,,,
Qwen/Qwen3-0.6B-Base,ema,4,age_bin,0.5716,0.57449,,,
Qwen/Qwen3-0.6B-Base,mm,4,age_bin,0.33333,0.18069,,,
Qwen/Qwen3-0.6B-Base,ridge_0.01,4,age_bin,0.58977,0.59345,,,
Qwen/Qwen3-0.6B-Base,ridge_0.1,4,age_bin,0.58462,0.58884,,,
Qwen/Qwen3-0.6B-Base,ridge_1.0,4,age_bin,0.55542,0.55739,,,
Qwen/Qwen3-0.6B-Base,ridge_10.0,4,age_bin,0.42834,0.35508,,,
Qwen/Qwen3-0.6B-Base,ridge_100.0,4,age_bin,0.33333,0.15881,,,
Qwen/Qwen3-0.6B-Base,ema,4,gender,0.61153,0.61153,0.64998,,
Qwen/Qwen3-0.6B-Base,mm,4,gender,0.5,0.34841,,,
Qwen/Qwen3-0.6B-Base,ridge_0.01,4,gender,0.63197,0.63152,,,
Qwen/Qwen3-0.6B-Base,ridge_0.1,4,gender,0.62953,0.6291,,,
Qwen/Qwen3-0.6B-Base,ridge_1.0,4,gender,0.61953,0.61922,,,
Qwen/Qwen3-0.6B-Base,ridge_10.0,4,gender,0.60416,0.60376,,,
Qwen/Qwen3-0.6B-Base,ridge_100.0,4,gender,0.60275,0.59718,,,
Qwen/Qwen3-0.6B-Base,ema,4,star_sign,0.07856,0.07225,,0.07333,0.08407
Qwen/Qwen3-0.6B-Base,mm,4,star_sign,0.08333,0.01634,,,
Qwen/Qwen3-0.6B-Base,ridge_0.01,4,star_sign,0.08885,0.05447,,,
Qwen/Qwen3-0.6B-Base,ridge_0.1,4,star_sign,0.09111,0.05291,,,
Qwen/Qwen3-0.6B-Base,ridge_1.0,4,star_sign,0.08721,0.04223,,,
Qwen/Qwen3-0.6B-Base,ridge_10.0,4,star_sign,0.08333,0.02264,,,
Qwen/Qwen3-0.6B-Base,ridge_100.0,4,star_sign,0.08333,0.02264,,,
Qwen/Qwen3-0.6B-Base,ema,8,age_bin,0.55477,0.56076,,,
Qwen/Qwen3-0.6B-Base,mm,8,age_bin,0.33333,0.18069,,,
Qwen/Qwen3-0.6B-Base,ridge_0.01,8,age_bin,0.59216,0.59771,,,
Qwen/Qwen3-0.6B-Base,ridge_0.1,8,age_bin,0.58765,0.59377,,,
