batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.62098,0.32501,77828
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.65284,0.33664,77828
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.61455,0.33456,77828
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.71602,0.32161,77828
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.60487,0.3468,77828
0,0,age_bin,ema_d0.99,0.01,0.0001,1.64269,0.33176,77828
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.60303,0.3316,77828
0,0,age_bin,mlp_h16,0.001,0.0,1.12133,0.33371,77828
0,0,age_bin,mlp_h32,0.001,0.0,1.13017,0.29538,77828
0,0,age_bin,mlp_h64,0.001,0.0,1.12204,0.32419,77828
0,0,age_bin,mlp_h128,0.001,0.0,1.11665,0.33805,77828
0,0,age_bin,attention,0.0001,1e-05,1.09808,0.41797,77828
0,0,age_bin,shuffled,0.01,0.0001,1.62434,0.32184,77828
0,0,gender,ema_lr1e-3,0.001,0.0001,1.09753,0.50301,77828
0,0,gender,ema_lr5e-3,0.005,0.0001,1.04752,0.50505,77828
0,0,gender,ema_lr1e-2,0.01,0.0001,1.10334,0.49766,77828
0,0,gender,ema_lr5e-2,0.05,0.0001,1.0395,0.50022,77828
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.08549,0.50172,77828
0,0,gender,ema_d0.99,0.01,0.0001,1.09578,0.50418,77828
0,0,gender,ema_d0.9999,0.01,0.0001,1.06121,0.5014,77828
0,0,gender,mlp_h16,0.001,0.0,0.70071,0.49472,77828
0,0,gender,mlp_h32,0.001,0.0,0.713,0.49715,77828
0,0,gender,mlp_h64,0.001,0.0,0.708,0.49893,77828
0,0,gender,mlp_h128,0.001,0.0,0.70268,0.49964,77828
0,0,gender,attention,0.0001,1e-05,0.69329,0.49609,77828
0,0,gender,shuffled,0.01,0.0001,1.05113,0.50063,77828
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.35609,0.08236,77828
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.28632,0.08564,77828
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.41822,0.08281,77828
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.41113,0.07857,77828
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.25468,0.08471,77828
0,0,star_sign,ema_d0.99,0.01,0.0001,3.34765,0.08214,77828
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.27537,0.0842,77828
0,0,star_sign,mlp_h16,0.001,0.0,2.4994,0.09421,77828
0,0,star_sign,mlp_h32,0.001,0.0,2.49909,0.08935,77828
