batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
0,1.60408,0.3253,1.12955,0.48838,3.31899,0.0831,1.60568,0.32463,1.0135,0.49597,3.24172,0.08297,1.67179,0.32347,1.02853,0.49855,3.28365,0.07914,1.62777,0.33314,1.03973,0.50891,3.21653,0.0893,1.67876,0.31869,1.04526,0.50758,3.31333,0.08313,1.5243,0.35627,1.01866,0.50827,3.3269,0.08235,1.54765,0.35542,1.06735,0.50207,3.30721,0.085,1.62643,0.3315,0.98713,0.50428,3.35547,0.07103
1,1.58927,0.324,1.09883,0.48699,3.2984,0.08213,1.56414,0.32894,0.97038,0.50371,3.20195,0.08384,1.62769,0.32869,1.02681,0.49803,3.29888,0.0782,1.59656,0.33495,1.05731,0.50308,3.26889,0.08767,1.62463,0.32704,1.02941,0.50943,3.31564,0.08266,1.53392,0.35631,1.0163,0.51044,3.29919,0.08275,1.60635,0.34662,1.04309,0.50685,3.32908,0.08321,1.61458,0.33211,1.00509,0.50084,3.35702,0.07494
2,1.57439,0.3236,1.05232,0.49096,3.27479,0.0827,1.62347,0.32257,0.97687,0.50666,3.22479,0.08157,1.59883,0.33211,0.99045,0.50483,3.27345,0.07789,1.64188,0.32896,1.0875,0.49634,3.27412,0.08601,1.63552,0.32888,1.05057,0.50623,3.2809,0.08377,1.55581,0.35245,1.01442,0.50926,3.30191,0.08134,1.59948,0.34286,1.0473,0.50538,3.30421,0.08314,1.64137,0.32792,1.0613,0.48962,3.30028,0.07626
3,1.53206,0.32595,1.03714,0.49089,3.27969,0.08257,1.59507,0.32134,1.02488,0.50062,3.21739,0.08212,1.64402,0.33036,1.01287,0.50364,3.2151,0.07938,1.60198,0.32913,1.05474,0.49459,3.246,0.08525,1.61153,0.32926,1.02013,0.50754,3.32025,0.08228,1.48279,0.35648,1.02761,0.50853,3.26621,0.08283,1.5669,0.34247,1.0635,0.50412,3.28546,0.08462,1.53107,0.33457,0.96878,0.494,3.28913,0.07731
4,1.56891,0.32521,1.02501,0.49133,3.25987,0.0827,1.5441,0.32328,0.97255,0.50145,3.2346,0.08201,1.60616,0.33251,1.00951,0.50259,3.20376,0.08151,1.61123,0.32778,1.03057,0.49403,3.24699,0.08498,1.64339,0.32727,0.9717,0.51107,3.28267,0.08244,1.50392,0.35603,0.95769,0.51344,3.32645,0.0821,1.52456,0.344,0.93624,0.51376,3.27091,0.08559,1.55871,0.33621,0.92767,0.50065,3.21992,0.07987
5,1.53024,0.32503,1.00901,0.49135,3.25517,0.08414,1.53737,0.3253,0.97431,0.50123,3.20567,0.08204,1.6007,0.33262,0.99023,0.50326,3.26679,0.08099,1.58953,0.32743,1.04139,0.49226,3.24503,0.08521,1.58435,0.32923,0.99852,0.51135,3.22256,0.08402,1.49076,0.35698,0.9766,0.51557,3.28993,0.08251,1.51053,0.3463,0.99991,0.51499,3.2523,0.08516,1.53413,0.33754,0.98883,0.49918,3.24415,0.08134
6,1.50408,0.32541,0.98939,0.49149,3.23501,0.08447,1.53456,0.32561,0.98098,0.5,3.17204,0.0823,1.54871,0.33528,1.01816,0.50115,3.17256,0.08207,1.56595,0.32866,1.00338,0.494,3.26509,0.0844,1.62032,0.3285,1.03033,0.51039,3.29227,0.08316,1.52421,0.35536,1.03113,0.51256,3.34611,0.08137,1.5139,0.34651,1.05753,0.51141,3.27156,0.08554,1.51811,0.34017,0.95958,0.50085,3.32892,0.08148
7,1.5123,0.32538,0.97207,0.49196,3.24957,0.08407,1.53472,0.32614,0.96574,0.49992,3.2024,0.08277,1.54019,0.33601,0.95864,0.50325,3.21323,0.08198,1.54416,0.32966,0.9767,0.49649,3.30264,0.08397,1.5818,0.32888,1.05666,0.50772,3.23328,0.08364,1.53798,0.35298,1.03231,0.51008,3.26738,0.08121,1.46816,0.35041,1.04421,0.51063,3.32264,0.08459,1.53415,0.34057,0.88393,0.505,3.21201,0.08325
8,1.48652,0.32578,0.95395,0.49293,3.21909,0.08384,1.52388,0.3266,0.95653,0.49988,3.20685,0.0825,1.55244,0.33633,0.97512,0.50396,3.23862,0.0812,1.53609,0.33016,0.97831,0.49802,3.28321,0.08374,1.57201,0.32924,1.02142,0.50708,3.27205,0.0837,1.50264,0.35329,0.96995,0.51193,3.2302,0.08231,1.50578,0.35044,1.04415,0.50852,3.28284,0.0848,1.49143,0.34211,0.92877,0.50623,3.23694,0.08356
9,1.49245,0.32589,0.95012,0.49398,3.20323,0.08399,1.50484,0.32763,0.93015,0.50121,3.17426,0.08251,1.52799,0.33805,0.99855,0.50329,3.22533,0.08085,1.55546,0.33052,1.03777,0.49594,3.23575,0.08374,1.57047,0.32996,0.98869,0.50808,3.24685,0.08388,1.4337,0.35561,0.97045,0.51236,3.21972,0.08298,1.48537,0.35162,1.00092,0.50924,3.22604,0.08516,1.47135,0.34448,0.94224,0.50645,3.24857,0.08355
