model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen3-4B-Base,ema_lr1e-3,0,age_bin,0.43151,0.43521,,,,True
Qwen/Qwen3-4B-Base,ema_lr5e-3,0,age_bin,0.4264,0.40271,,,,True
Qwen/Qwen3-4B-Base,ema_lr1e-2,0,age_bin,0.40773,0.35612,,,,True
Qwen/Qwen3-4B-Base,ema_lr5e-2,0,age_bin,0.52774,0.53097,,,,True
Qwen/Qwen3-4B-Base,ema_lr1e-2_wd1e-3,0,age_bin,0.42603,0.38195,,,,True
Qwen/Qwen3-4B-Base,ema_d0.99,0,age_bin,0.41221,0.35423,,,,True
Qwen/Qwen3-4B-Base,ema_d0.9999,0,age_bin,0.41994,0.37069,,,,True
Qwen/Qwen3-4B-Base,mlp_h16,0,age_bin,0.42244,0.36579,,,,True
Qwen/Qwen3-4B-Base,mlp_h32,0,age_bin,0.42683,0.37152,,,,True
Qwen/Qwen3-4B-Base,mlp_h64,0,age_bin,0.42703,0.37272,,,,True
Qwen/Qwen3-4B-Base,mlp_h128,0,age_bin,0.43329,0.38244,,,,True
Qwen/Qwen3-4B-Base,attention,0,age_bin,0.46777,0.45907,,,,True
Qwen/Qwen3-4B-Base,shuffled,0,age_bin,0.32169,0.26291,,,,True
Qwen/Qwen3-4B-Base,mm,0,age_bin,0.50171,0.50747,,,,True
Qwen/Qwen3-4B-Base,ridge_0.01,0,age_bin,0.42001,0.34974,,,,True
Qwen/Qwen3-4B-Base,ridge_0.1,0,age_bin,0.41639,0.34227,,,,False
Qwen/Qwen3-4B-Base,ridge_1.0,0,age_bin,0.39569,0.30876,,,,False
Qwen/Qwen3-4B-Base,ridge_10.0,0,age_bin,0.36296,0.24973,,,,False
Qwen/Qwen3-4B-Base,ridge_100.0,0,age_bin,0.33333,0.17952,,,,False
Qwen/Qwen3-4B-Base,ema_lr1e-3,0,gender,0.53528,0.53386,0.5408,,,True
Qwen/Qwen3-4B-Base,ema_lr5e-3,0,gender,0.60023,0.58877,0.63745,,,True
Qwen/Qwen3-4B-Base,ema_lr1e-2,0,gender,0.59066,0.56509,0.65026,,,True
Qwen/Qwen3-4B-Base,ema_lr5e-2,0,gender,0.58103,0.55122,0.65962,,,True
Qwen/Qwen3-4B-Base,ema_lr1e-2_wd1e-3,0,gender,0.59323,0.57399,0.64629,,,True
Qwen/Qwen3-4B-Base,ema_d0.99,0,gender,0.57703,0.54637,0.64947,,,True
Qwen/Qwen3-4B-Base,ema_d0.9999,0,gender,0.59373,0.5743,0.65015,,,True
Qwen/Qwen3-4B-Base,mlp_h16,0,gender,0.61673,0.60547,,,,True
Qwen/Qwen3-4B-Base,mlp_h32,0,gender,0.61032,0.59116,,,,True
Qwen/Qwen3-4B-Base,mlp_h64,0,gender,0.56937,0.51724,,,,True
Qwen/Qwen3-4B-Base,mlp_h128,0,gender,0.59037,0.55434,,,,True
