batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.62566,0.32255,42862
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.65451,0.34172,42862
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.62171,0.33321,42862
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.62461,0.32665,42862
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.64463,0.32656,42862
0,0,age_bin,ema_d0.99,0.01,0.0001,1.62454,0.33277,42862
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.63945,0.32833,42862
0,0,age_bin,mlp_h16,0.001,0.0,1.11783,0.32458,42862
0,0,age_bin,mlp_h32,0.001,0.0,1.11981,0.34035,42862
0,0,age_bin,mlp_h64,0.001,0.0,1.1521,0.27883,42862
0,0,age_bin,mlp_h128,0.001,0.0,1.09869,0.38582,42862
0,0,age_bin,attention,0.0001,1e-05,1.09859,0.3125,42862
0,0,age_bin,shuffled,0.01,0.0001,1.62673,0.33279,42862
0,0,gender,ema_lr1e-3,0.001,0.0001,1.11171,0.49106,42862
0,0,gender,ema_lr5e-3,0.005,0.0001,1.07728,0.50635,42862
0,0,gender,ema_lr1e-2,0.01,0.0001,1.06337,0.50196,42862
0,0,gender,ema_lr5e-2,0.05,0.0001,1.03018,0.507,42862
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.05733,0.50639,42862
0,0,gender,ema_d0.99,0.01,0.0001,1.0492,0.49253,42862
0,0,gender,ema_d0.9999,0.01,0.0001,1.11646,0.49253,42862
0,0,gender,mlp_h16,0.001,0.0,0.75888,0.44426,42862
0,0,gender,mlp_h32,0.001,0.0,0.70025,0.50567,42862
0,0,gender,mlp_h64,0.001,0.0,0.71945,0.46612,42862
0,0,gender,mlp_h128,0.001,0.0,0.69631,0.53238,42862
0,0,gender,attention,0.0001,1e-05,0.69284,0.53906,42862
0,0,gender,shuffled,0.01,0.0001,0.99738,0.50656,42862
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.30115,0.0803,42862
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.27313,0.08264,42862
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.32067,0.0803,42862
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.32018,0.08399,42862
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.29127,0.08586,42862
0,0,star_sign,ema_d0.99,0.01,0.0001,3.28132,0.08401,42862
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.34727,0.08224,42862
0,0,star_sign,mlp_h16,0.001,0.0,2.53074,0.08812,42862
0,0,star_sign,mlp_h32,0.001,0.0,2.50023,0.10088,42862
0,0,star_sign,mlp_h64,0.001,0.0,2.50619,0.08441,42862
0,0,star_sign,mlp_h128,0.001,0.0,2.50988,0.09496,42862
0,0,star_sign,attention,0.0001,1e-05,2.48465,0.11719,42862
0,0,star_sign,shuffled,0.01,0.0001,3.2846,0.08362,42862
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.62678,0.33253,42862
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.65208,0.32525,42862
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.59158,0.3413,42862
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.59868,0.33263,42862
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.56469,0.33176,42862
0,4,age_bin,ema_d0.99,0.01,0.0001,1.61498,0.3208,42862
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.60806,0.32154,42862
0,4,age_bin,mlp_h16,0.001,0.0,1.09999,0.39128,42862
0,4,age_bin,mlp_h32,0.001,0.0,1.0966,0.37726,42862
0,4,age_bin,mlp_h64,0.001,0.0,1.11496,0.35505,42862
0,4,age_bin,mlp_h128,0.001,0.0,1.12459,0.29166,42862
0,4,age_bin,attention,0.0001,1e-05,1.08865,0.39844,42862
0,4,age_bin,shuffled,0.01,0.0001,1.58974,0.32689,42862
0,4,gender,ema_lr1e-3,0.001,0.0001,1.04903,0.49993,42862
0,4,gender,ema_lr5e-3,0.005,0.0001,1.0566,0.49603,42862
0,4,gender,ema_lr1e-2,0.01,0.0001,1.05329,0.49461,42862
0,4,gender,ema_lr5e-2,0.05,0.0001,1.07755,0.49809,42862
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,0.99092,0.51332,42862
0,4,gender,ema_d0.99,0.01,0.0001,1.04272,0.50345,42862
0,4,gender,ema_d0.9999,0.01,0.0001,1.07495,0.48598,42862
0,4,gender,mlp_h16,0.001,0.0,0.70876,0.47959,42862
0,4,gender,mlp_h32,0.001,0.0,0.69475,0.53759,42862
0,4,gender,mlp_h64,0.001,0.0,0.71029,0.47835,42862
0,4,gender,mlp_h128,0.001,0.0,0.70496,0.49552,42862
0,4,gender,attention,0.0001,1e-05,0.67742,0.57031,42862
0,4,gender,shuffled,0.01,0.0001,1.05025,0.49886,42862
0,4,star_sign,ema_lr1e-3,0.001,0.0001,3.2755,0.07944,42862
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.28406,0.08268,42862
0,4,star_sign,ema_lr1e-2,0.01,0.0001,3.2527,0.07778,42862
0,4,star_sign,ema_lr5e-2,0.05,0.0001,3.25056,0.08817,42862
0,4,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.26864,0.08586,42862
0,4,star_sign,ema_d0.99,0.01,0.0001,3.26166,0.08016,42862
0,4,star_sign,ema_d0.9999,0.01,0.0001,3.25635,0.0814,42862
0,4,star_sign,mlp_h16,0.001,0.0,2.47903,0.1087,42862
0,4,star_sign,mlp_h32,0.001,0.0,2.51972,0.09785,42862
0,4,star_sign,mlp_h64,0.001,0.0,2.53425,0.07058,42862
0,4,star_sign,mlp_h128,0.001,0.0,2.50696,0.09234,42862
0,4,star_sign,attention,0.0001,1e-05,2.48683,0.08594,42862
0,4,star_sign,shuffled,0.01,0.0001,3.29824,0.08028,42862
0,8,age_bin,ema_lr1e-3,0.001,0.0001,1.57445,0.34422,42862
