n_train,task,accuracy
500,age_bin,0.3908193897553926
500,gender,0.6149440597762391
1000,age_bin,0.47037136743069513
1000,gender,0.6285899143596574
2000,age_bin,0.5359662412726808
2000,gender,0.6309817239268958
5000,age_bin,0.5802697156525564
5000,gender,0.654556218224873
10000,age_bin,0.6029302181583992
10000,gender,0.6633586534346138
20000,age_bin,0.6143008961266588
20000,gender,0.6684540738162952
50000,age_bin,0.6311632570442299
50000,gender,0.6799491197964792
100000,age_bin,0.6331119927674999
100000,gender,0.6848485393941576
162505,age_bin,0.6415183140305905
162505,gender,0.6814489257957033
