n_words,task,accuracy
5,age_bin,0.45235925179457714
5,gender,0.5671495255439158
10,age_bin,0.4859367134481924
10,gender,0.5833300740204779
20,age_bin,0.5320602590732508
20,gender,0.6081692004510333
50,age_bin,0.581436561485769
50,gender,0.6339144824337684
100,age_bin,0.6118978873293253
100,gender,0.6581948258526444
200,age_bin,0.6295999271658959
200,gender,0.6731156937917395
500,age_bin,0.6435999724928726
500,gender,0.681981793436021
1000,age_bin,0.6440685587469551
1000,gender,0.6835462363700651
9999,age_bin,0.6463131145136337
9999,gender,0.6819556856440021
