batch,n_tokens,loss_L0_age_bin,train_acc_L0_age_bin,loss_L0_gender,train_acc_L0_gender,loss_L0_star_sign,train_acc_L0_star_sign,loss_L6_age_bin,train_acc_L6_age_bin,loss_L6_gender,train_acc_L6_gender,loss_L6_star_sign,train_acc_L6_star_sign,loss_L12_age_bin,train_acc_L12_age_bin,loss_L12_gender,train_acc_L12_gender,loss_L12_star_sign,train_acc_L12_star_sign,loss_L18_age_bin,train_acc_L18_age_bin,loss_L18_gender,train_acc_L18_gender,loss_L18_star_sign,train_acc_L18_star_sign,loss_L24_age_bin,train_acc_L24_age_bin,loss_L24_gender,train_acc_L24_gender,loss_L24_star_sign,train_acc_L24_star_sign
0,2400,1.63463,0.32417,1.04191,0.49583,3.32132,0.08542,1.5912,0.31125,1.04881,0.47667,3.12,0.08375,1.51968,0.35708,1.0333,0.51458,3.28254,0.07458,1.49614,0.36792,1.14851,0.4725,3.26704,0.08125,1.59602,0.31333,0.99532,0.51792,3.24546,0.0775
1,2400,1.61443,0.315,0.98014,0.51146,3.26269,0.08667,1.5895,0.31958,1.04536,0.49062,3.21157,0.08479,1.58514,0.33937,1.02887,0.50333,3.19139,0.07625,1.53333,0.35542,1.09842,0.47313,3.26926,0.08042,1.58256,0.32854,1.01066,0.5225,3.20021,0.08146
2,2400,1.54416,0.3225,1.04328,0.505,3.21811,0.08389,1.5655,0.32528,1.02349,0.48917,3.28828,0.08,1.43404,0.35181,1.08593,0.49194,3.21305,0.07583,1.56823,0.34486,1.12928,0.46903,3.25449,0.08194,1.60231,0.33639,0.9601,0.53306,3.44545,0.07528
3,2400,1.53283,0.32448,1.03376,0.50198,3.24755,0.08208,1.5087,0.33229,0.99751,0.49302,3.14972,0.08063,1.5154,0.34531,1.03549,0.48844,3.09998,0.07802,1.57611,0.33833,1.08139,0.46896,3.2573,0.08167,1.45059,0.3475,1.01949,0.52542,3.22647,0.08
4,2400,1.51146,0.3295,1.02441,0.49925,3.25043,0.08233,1.538,0.33367,1.00621,0.49325,3.15488,0.08008,1.46931,0.349,1.06193,0.48708,3.16878,0.07758,1.62139,0.33358,1.01836,0.47483,3.29931,0.08008,1.51168,0.35017,1.02983,0.5215,3.27891,0.08183
5,2400,1.48379,0.33292,0.97239,0.49993,3.16177,0.08368,1.56126,0.32681,0.95732,0.49514,3.1284,0.08063,1.46157,0.35132,0.97383,0.49229,3.24185,0.07736,1.56413,0.33229,1.03112,0.47917,3.22506,0.08208,1.51863,0.35132,0.95308,0.52299,3.18545,0.08396
6,2400,1.51443,0.32988,1.02154,0.5025,3.19238,0.08387,1.44985,0.33042,0.94587,0.49577,3.11591,0.08167,1.48807,0.34982,0.9584,0.49565,3.11978,0.08101,1.55597,0.3297,1.01926,0.48036,3.1737,0.08262,1.50297,0.35363,1.00038,0.51976,3.16281,0.08625
7,2400,1.46041,0.33411,0.99679,0.50135,3.1836,0.08344,1.46956,0.33104,0.96501,0.49677,3.13253,0.08156,1.50271,0.3451,0.95387,0.4975,3.07604,0.08203,1.58512,0.32792,1.02776,0.4812,3.17449,0.08354,1.5356,0.35411,0.99001,0.51885,3.32468,0.08406
8,2400,1.46605,0.33662,0.95553,0.50407,3.18145,0.08431,1.40805,0.33412,0.92264,0.49792,3.09348,0.08097,1.43935,0.34551,0.97324,0.49843,3.15971,0.08296,1.54536,0.32815,0.90713,0.48671,3.29431,0.08218,1.46824,0.35542,1.00279,0.51824,3.34404,0.08426
9,2400,1.45118,0.33529,0.99306,0.50346,3.14518,0.08371,1.44258,0.33467,0.96609,0.49596,3.1176,0.08138,1.51314,0.34433,0.99647,0.49825,3.11819,0.08346,1.48703,0.32979,1.04673,0.48612,3.22638,0.08317,1.46756,0.35687,0.83906,0.52529,3.1989,0.08363
10,2400,1.47826,0.33527,0.98912,0.50337,3.16395,0.08428,1.49821,0.33405,0.95654,0.49542,3.22065,0.08068,1.40024,0.34636,0.94117,0.50087,3.01786,0.08394,1.53105,0.32985,0.96187,0.4883,3.34383,0.08152,1.49288,0.35848,0.91383,0.52716,3.10675,0.08451
