batch,n_tokens,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L6_age_bin,loss_L6_gender,loss_L6_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L18_age_bin,loss_L18_gender,loss_L18_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign
0,2400,1.59717,1.0383,3.32717,1.56141,1.03873,3.26726,1.51877,1.04581,3.19045,1.63755,1.03079,3.27045,1.58338,1.07413,3.34344
1,2400,1.5207,1.00738,3.30368,1.62269,1.01858,3.17699,1.53676,1.02833,3.26368,1.61826,1.05636,3.25552,1.63816,1.06239,3.21517
2,2400,1.57392,1.00023,3.25461,1.53379,0.99926,3.24175,1.57998,1.05233,3.2631,1.5153,1.07845,3.30349,1.64482,1.09907,3.35211
3,2400,1.53111,0.99498,3.20153,1.51747,1.00047,3.18273,1.46515,0.9806,3.22577,1.56563,1.05919,3.27201,1.56386,1.02616,3.28117
4,2400,1.55331,1.03662,3.21021,1.55599,0.96929,3.18874,1.50241,1.02328,3.1867,1.57466,0.99819,3.15936,1.52406,0.93472,3.2746
5,2400,1.52985,1.02305,3.20955,1.58415,1.02613,3.18278,1.5229,0.963,3.19832,1.5923,1.06856,3.15846,1.5437,1.12967,3.27036
6,2400,1.50821,1.00348,3.17102,1.45968,1.01059,3.21592,1.45171,0.99405,3.09376,1.52824,0.9795,3.28008,1.56207,0.98983,3.31077
7,2400,1.50546,1.01134,3.13741,1.53004,0.96921,3.17242,1.4736,0.98816,3.06932,1.51945,1.06071,3.22812,1.47494,0.92921,3.11643
8,2400,1.4777,1.00495,3.18309,1.4927,0.95703,3.17026,1.5437,1.02807,3.25813,1.5518,1.01597,3.15209,1.50732,0.92451,3.14408
9,2400,1.50985,0.9761,3.1658,1.47406,0.90107,3.15416,1.4923,0.92139,3.17513,1.49743,1.03133,3.16534,1.47112,0.95495,3.18382
10,2400,1.48852,1.01061,3.17942,1.53782,0.97737,3.15098,1.47611,0.96896,3.19115,1.49185,1.04796,3.25103,1.46071,0.95053,3.25499
11,2400,1.48437,0.97481,3.17579,1.45843,0.92566,3.1224,1.35621,0.96031,3.13115,1.52843,1.01583,3.21771,1.58252,0.8769,3.15787
12,2400,1.45397,0.98773,3.18336,1.4628,0.91888,3.08582,1.42033,0.98581,3.2207,1.41946,0.97843,3.25055,1.42902,0.89813,3.29912
13,2400,1.47143,0.99057,3.20332,1.4729,0.89976,3.19958,1.44631,0.9881,3.18618,1.46397,0.96003,3.26864,1.36607,0.93672,3.24204
14,2400,1.42949,0.9516,3.10704,1.45037,0.91122,3.08837,1.4213,0.9368,3.14073,1.48074,0.94578,3.19063,1.45437,0.92463,3.18539
15,2400,1.43974,0.96322,3.10934,1.39653,0.87098,3.0716,1.46607,0.95541,3.16594,1.48131,0.91809,3.24651,1.48914,0.94855,3.14837
16,2400,1.42359,0.93846,3.12329,1.4461,0.9464,3.10321,1.40401,0.89796,3.24311,1.45341,0.97524,3.18855,1.3582,0.88558,3.33191
17,2400,1.44501,0.93818,3.15059,1.4514,0.84616,3.13051,1.44938,0.96099,3.15326,1.38107,0.95797,3.16878,1.36341,0.94156,3.28256
18,2400,1.42321,0.94351,3.07825,1.44978,0.88983,3.16359,1.3757,0.96243,3.12882,1.42422,0.92202,3.18539,1.28364,0.97547,3.16753
19,2400,1.44417,0.95203,3.09327,1.39322,0.90001,3.13879,1.43468,0.91919,3.13006,1.49233,0.96618,3.17815,1.37477,0.89369,3.23278
20,2000,1.42501,0.92555,3.12025,1.42494,0.92127,3.075,1.37866,0.93992,3.05544,1.44406,0.95409,3.20293,1.41346,0.87527,3.1991
