model_name,layer,task,token_acc,text_balanced_acc,macro_f1,per_class_acc_json,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,above_chance
Qwen/Qwen2.5-0.5B,0,age_bin,0.35821,0.40109,0.35846,"{""0"": 0.10399492707672796, ""1"": 0.6854521625163827, ""2"": 0.41381128096995257}",,,,
Qwen/Qwen2.5-0.5B,0,gender,0.50765,0.53729,0.52787,"{""0"": 0.43119610048743906, ""1"": 0.6433776253750536}",0.5599,,,
Qwen/Qwen2.5-0.5B,0,star_sign,0.08572,0.08875,0.08452,"{""0"": 0.020036429872495445, ""1"": 0.11951219512195121, ""2"": 0.25061425061425063, ""3"": 0.07542579075425791, ""4"": 0.08794788273615635, ""5"": 0.05454545454545454, ""6"": 0.03571428571428571, ""7"": 0.08695652173913043, ""8"": 0.04745762711864407, ""9"": 0.08333333333333333, ""10"": 0.10042735042735043, ""11"": 0.10301507537688442}",,0.08133,0.09629,False
Qwen/Qwen2.5-0.5B,4,age_bin,0.38798,0.47469,0.48139,"{""0"": 0.4178820545339252, ""1"": 0.4305373525557012, ""2"": 0.5756457564575646}",,,,
Qwen/Qwen2.5-0.5B,4,gender,0.51638,0.58472,0.58135,"{""0"": 0.5350581177352831, ""1"": 0.6343763394770682}",0.61731,,,
Qwen/Qwen2.5-0.5B,4,star_sign,0.0839,0.07546,0.07299,"{""0"": 0.04189435336976321, ""1"": 0.13170731707317074, ""2"": 0.12530712530712532, ""3"": 0.06082725060827251, ""4"": 0.11074918566775244, ""5"": 0.04727272727272727, ""6"": 0.03571428571428571, ""7"": 0.06086956521739131, ""8"": 0.05423728813559322, ""9"": 0.05952380952380952, ""10"": 0.07692307692307693, ""11"": 0.10050251256281408}",,0.06768,0.08282,False
Qwen/Qwen2.5-0.5B,8,age_bin,0.41563,0.54181,0.54698,"{""0"": 0.5478757133798351, ""1"": 0.4639580602883355, ""2"": 0.6136004217185029}",,,,
Qwen/Qwen2.5-0.5B,8,gender,0.53604,0.60518,0.60394,"{""0"": 0.5905511811023622, ""1"": 0.6198028289755679}",0.65045,,,
Qwen/Qwen2.5-0.5B,8,star_sign,0.08393,0.0782,0.07635,"{""0"": 0.03642987249544627, ""1"": 0.12926829268292683, ""2"": 0.14250614250614252, ""3"": 0.06569343065693431, ""4"": 0.06188925081433225, ""5"": 0.07636363636363637, ""6"": 0.04336734693877551, ""7"": 0.07246376811594203, ""8"": 0.0576271186440678, ""9"": 0.050595238095238096, ""10"": 0.12179487179487179, ""11"": 0.08040201005025126}",,0.07086,0.08532,False
Qwen/Qwen2.5-0.5B,12,age_bin,0.42222,0.52664,0.52876,"{""0"": 0.5840202916930881, ""1"": 0.4803407601572739, ""2"": 0.5155508697944122}",,,,
Qwen/Qwen2.5-0.5B,12,gender,0.53094,0.57936,0.577,"{""0"": 0.5440569928758905, ""1"": 0.6146592370338619}",0.60911,,,
Qwen/Qwen2.5-0.5B,12,star_sign,0.08437,0.08178,0.07932,"{""0"": 0.03642987249544627, ""1"": 0.07073170731707316, ""2"": 0.17813267813267813, ""3"": 0.10218978102189781, ""4"": 0.1237785016286645, ""5"": 0.07636363636363637, ""6"": 0.04846938775510204, ""7"": 0.043478260869565216, ""8"": 0.061016949152542375, ""9"": 0.08035714285714286, ""10"": 0.0876068376068376, ""11"": 0.0728643216080402}",,0.07418,0.08949,False
Qwen/Qwen2.5-0.5B,16,age_bin,0.45711,0.55469,0.55483,"{""0"": 0.6144578313253012, ""1"": 0.3964613368283093, ""2"": 0.6531365313653137}",,,,
Qwen/Qwen2.5-0.5B,16,gender,0.55964,0.63186,0.63068,"{""0"": 0.6190476190476191, ""1"": 0.64466352336048}",0.67527,,,
Qwen/Qwen2.5-0.5B,16,star_sign,0.08444,0.08737,0.08299,"{""0"": 0.0273224043715847, ""1"": 0.10975609756097561, ""2"": 0.10810810810810811, ""3"": 0.07542579075425791, ""4"": 0.08469055374592833, ""5"": 0.13818181818181818, ""6"": 0.0663265306122449, ""7"": 0.03768115942028986, ""8"": 0.1016949152542373, ""9"": 0.08035714285714286, ""10"": 0.09829059829059829, ""11"": 0.12060301507537688}",,0.07926,0.09509,False
Qwen/Qwen2.5-0.5B,20,age_bin,0.4713,0.5547,0.55151,"{""0"": 0.6334812935954344, ""1"": 0.3505897771952818, ""2"": 0.680021085925145}",,,,
Qwen/Qwen2.5-0.5B,20,gender,0.55779,0.61469,0.61274,"{""0"": 0.5864266966629171, ""1"": 0.6429489927132448}",0.65747,,,
Qwen/Qwen2.5-0.5B,20,star_sign,0.08594,0.08725,0.08552,"{""0"": 0.04007285974499089, ""1"": 0.08536585365853659, ""2"": 0.16584766584766586, ""3"": 0.11678832116788321, ""4"": 0.10423452768729642, ""5"": 0.06181818181818182, ""6"": 0.07397959183673469, ""7"": 0.0782608695652174, ""8"": 0.05084745762711865, ""9"": 0.044642857142857144, ""10"": 0.11965811965811966, ""11"": 0.10552763819095477}",,0.0792,0.09589,False
Qwen/Qwen2.5-0.5B,24,age_bin,0.48297,0.56363,0.56149,"{""0"": 0.6391883322764743, ""1"": 0.3722149410222805, ""2"": 0.6794939377965208}",,,,
Qwen/Qwen2.5-0.5B,24,gender,0.5785,0.63148,0.63,"{""0"": 0.6122984626921635, ""1"": 0.6506643806258037}",0.67782,,,
Qwen/Qwen2.5-0.5B,24,star_sign,0.08351,0.07954,0.07825,"{""0"": 0.060109289617486336, ""1"": 0.08780487804878048, ""2"": 0.10687960687960688, ""3"": 0.07542579075425791, ""4"": 0.05863192182410423, ""5"": 0.06909090909090909, ""6"": 0.04846938775510204, ""7"": 0.11014492753623188, ""8"": 0.061016949152542375, ""9"": 0.09226190476190477, ""10"": 0.12179487179487179, ""11"": 0.06281407035175879}",,0.07202,0.08709,False
