model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
meta-llama/Llama-3.2-1B,ema_lr1e-3,0,age_bin,0.35357,0.29604,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,0,age_bin,0.36437,0.35667,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,0,age_bin,0.37461,0.36344,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,0,age_bin,0.33333,0.27538,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,0,age_bin,0.36586,0.35104,,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,0,age_bin,0.36738,0.34764,,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,0,age_bin,0.35587,0.32856,,,,True
meta-llama/Llama-3.2-1B,mlp_h16,0,age_bin,0.33333,0.27538,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,0,age_bin,0.33333,0.27538,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,0,age_bin,0.33333,0.27538,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,0,age_bin,0.33333,0.27538,,,,True
meta-llama/Llama-3.2-1B,attention,0,age_bin,0.33333,0.27538,,,,True
meta-llama/Llama-3.2-1B,shuffled,0,age_bin,0.33285,0.29024,,,,True
meta-llama/Llama-3.2-1B,mm,0,age_bin,0.48279,0.39912,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,0,age_bin,0.33333,0.27538,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,0,age_bin,0.33333,0.27538,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,0,age_bin,0.33333,0.27538,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,0,age_bin,0.33333,0.27538,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,0,age_bin,0.33333,0.27538,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,0,gender,0.51061,0.5062,0.51544,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,0,gender,0.54539,0.54344,0.56053,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,0,gender,0.52958,0.5285,0.5469,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,0,gender,0.51206,0.4159,0.57036,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,0,gender,0.54433,0.54338,0.54427,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,0,gender,0.50369,0.49621,0.53779,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,0,gender,0.53175,0.5306,0.55344,,,True
meta-llama/Llama-3.2-1B,mlp_h16,0,gender,0.5,0.368,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,0,gender,0.5,0.368,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,0,gender,0.5,0.368,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,0,gender,0.5,0.368,,,,True
meta-llama/Llama-3.2-1B,attention,0,gender,0.5,0.368,,,,True
meta-llama/Llama-3.2-1B,shuffled,0,gender,0.50527,0.50416,,,,True
meta-llama/Llama-3.2-1B,mm,0,gender,0.60619,0.60579,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,0,gender,0.5,0.368,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,0,gender,0.5,0.368,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,0,gender,0.5,0.368,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,0,gender,0.5,0.368,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,0,gender,0.5,0.368,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,0,star_sign,0.13418,0.01972,,0.1038,0.17215,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,0,star_sign,0.59747,0.06233,,0.54684,0.64304,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,0,star_sign,0.97468,0.16453,,0.95949,0.98987,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,0,star_sign,1.0,1.0,,1.0,1.0,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,0,star_sign,0.98481,0.16539,,0.97215,0.995,True
meta-llama/Llama-3.2-1B,ema_d0.99,0,star_sign,0.99241,0.24905,,0.98228,1.0,True
meta-llama/Llama-3.2-1B,ema_d0.9999,0,star_sign,0.99241,0.24905,,0.98228,1.0,True
meta-llama/Llama-3.2-1B,mlp_h16,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,attention,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,shuffled,0,star_sign,0.97722,0.14121,,,,True
meta-llama/Llama-3.2-1B,mm,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,0,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,0,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,0,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,0,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,0,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,4,age_bin,0.3132,0.2771,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,4,age_bin,0.41187,0.37847,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,4,age_bin,0.50354,0.48396,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,4,age_bin,0.5193,0.52384,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,4,age_bin,0.47089,0.45718,,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,4,age_bin,0.4681,0.46178,,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,4,age_bin,0.52777,0.50598,,,,True
meta-llama/Llama-3.2-1B,mlp_h16,4,age_bin,0.47646,0.49312,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,4,age_bin,0.49708,0.51512,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,4,age_bin,0.50963,0.52683,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,4,age_bin,0.50963,0.52683,,,,True
meta-llama/Llama-3.2-1B,attention,4,age_bin,0.33333,0.27538,,,,True
meta-llama/Llama-3.2-1B,shuffled,4,age_bin,0.29807,0.28777,,,,True
meta-llama/Llama-3.2-1B,mm,4,age_bin,0.3795,0.31022,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,4,age_bin,0.49828,0.51722,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,4,age_bin,0.47079,0.48743,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,4,age_bin,0.38832,0.37649,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,4,age_bin,0.33333,0.27538,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,4,age_bin,0.33333,0.27538,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,4,gender,0.46772,0.46594,0.45513,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,4,gender,0.50303,0.50293,0.50432,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,4,gender,0.5585,0.55839,0.5751,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,4,gender,0.60863,0.60754,0.66606,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,4,gender,0.5776,0.57772,0.57771,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,4,gender,0.58103,0.58051,0.61897,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,4,gender,0.54769,0.54782,0.55423,,,True
meta-llama/Llama-3.2-1B,mlp_h16,4,gender,0.5971,0.58628,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,4,gender,0.59111,0.57306,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,4,gender,0.56522,0.52573,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,4,gender,0.54974,0.48026,,,,True
meta-llama/Llama-3.2-1B,attention,4,gender,0.5,0.368,,,,True
meta-llama/Llama-3.2-1B,shuffled,4,gender,0.50033,0.49986,,,,True
meta-llama/Llama-3.2-1B,mm,4,gender,0.5,0.29464,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,4,gender,0.61225,0.60495,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,4,gender,0.5915,0.57697,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,4,gender,0.56397,0.51582,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,4,gender,0.5,0.368,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,4,gender,0.5,0.368,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,4,star_sign,0.09114,0.01392,,0.06329,0.12152,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,4,star_sign,0.35443,0.04361,,0.30633,0.39753,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,4,star_sign,0.73165,0.07042,,0.68861,0.77475,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,4,star_sign,1.0,1.0,,1.0,1.0,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,4,star_sign,0.63038,0.06444,,0.58228,0.68354,True
meta-llama/Llama-3.2-1B,ema_d0.99,4,star_sign,0.73924,0.07084,,0.69367,0.77975,True
meta-llama/Llama-3.2-1B,ema_d0.9999,4,star_sign,0.59747,0.06233,,0.54677,0.64557,True
meta-llama/Llama-3.2-1B,mlp_h16,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,attention,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,shuffled,4,star_sign,0.59241,0.062,,,,True
meta-llama/Llama-3.2-1B,mm,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,4,star_sign,1.0,1.0,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,4,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,4,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,4,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,4,star_sign,1.0,1.0,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,8,age_bin,0.44501,0.32842,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,8,age_bin,0.44802,0.42428,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,8,age_bin,0.54302,0.52451,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,8,age_bin,0.55885,0.54671,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,8,age_bin,0.50825,0.47798,,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,8,age_bin,0.55061,0.5223,,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,8,age_bin,0.50593,0.48193,,,,True
meta-llama/Llama-3.2-1B,mlp_h16,8,age_bin,0.52082,0.53269,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,8,age_bin,0.52425,0.53583,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,8,age_bin,0.53576,0.5472,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,8,age_bin,0.53696,0.54932,,,,True
meta-llama/Llama-3.2-1B,attention,8,age_bin,0.33333,0.27538,,,,True
