model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen2.5-1.5B,ema_lr1e-3,0,age_bin,0.38705,0.31501,,,,True
Qwen/Qwen2.5-1.5B,ema_lr5e-3,0,age_bin,0.40217,0.35085,,,,True
Qwen/Qwen2.5-1.5B,ema_lr1e-2,0,age_bin,0.37477,0.34675,,,,True
Qwen/Qwen2.5-1.5B,ema_lr5e-2,0,age_bin,0.35993,0.3295,,,,True
Qwen/Qwen2.5-1.5B,ema_lr1e-2_wd1e-3,0,age_bin,0.34937,0.32679,,,,True
Qwen/Qwen2.5-1.5B,ema_d0.99,0,age_bin,0.40417,0.38537,,,,True
Qwen/Qwen2.5-1.5B,ema_d0.9999,0,age_bin,0.37698,0.36739,,,,True
Qwen/Qwen2.5-1.5B,mlp_h16,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-1.5B,mlp_h32,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-1.5B,mlp_h64,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-1.5B,mlp_h128,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-1.5B,attention,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-1.5B,shuffled,0,age_bin,0.32238,0.30628,,,,True
Qwen/Qwen2.5-1.5B,mm,0,age_bin,0.48848,0.40502,,,,True
Qwen/Qwen2.5-1.5B,ridge_0.01,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-1.5B,ridge_0.1,0,age_bin,0.33333,0.27218,,,,False
Qwen/Qwen2.5-1.5B,ridge_1.0,0,age_bin,0.33333,0.27218,,,,False
Qwen/Qwen2.5-1.5B,ridge_10.0,0,age_bin,0.33333,0.27218,,,,False
Qwen/Qwen2.5-1.5B,ridge_100.0,0,age_bin,0.33333,0.27218,,,,False
Qwen/Qwen2.5-1.5B,ema_lr1e-3,0,gender,0.49612,0.49042,0.47562,,,True
Qwen/Qwen2.5-1.5B,ema_lr5e-3,0,gender,0.50404,0.50116,0.49952,,,True
Qwen/Qwen2.5-1.5B,ema_lr1e-2,0,gender,0.48093,0.47651,0.47983,,,True
Qwen/Qwen2.5-1.5B,ema_lr5e-2,0,gender,0.51087,0.50464,0.54071,,,True
Qwen/Qwen2.5-1.5B,ema_lr1e-2_wd1e-3,0,gender,0.54589,0.54535,0.55499,,,True
Qwen/Qwen2.5-1.5B,ema_d0.99,0,gender,0.51958,0.51746,0.52898,,,True
Qwen/Qwen2.5-1.5B,ema_d0.9999,0,gender,0.45701,0.45655,0.467,,,True
Qwen/Qwen2.5-1.5B,mlp_h16,0,gender,0.5,0.36057,,,,True
Qwen/Qwen2.5-1.5B,mlp_h32,0,gender,0.5,0.36057,,,,True
Qwen/Qwen2.5-1.5B,mlp_h64,0,gender,0.5,0.36057,,,,True
