model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen2.5-3B,ema_lr1e-3,0,age_bin,0.33363,0.28397,,,,True
Qwen/Qwen2.5-3B,ema_lr5e-3,0,age_bin,0.39234,0.35427,,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2,0,age_bin,0.36762,0.36157,,,,True
Qwen/Qwen2.5-3B,ema_lr5e-2,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,0,age_bin,0.34791,0.33935,,,,True
Qwen/Qwen2.5-3B,ema_d0.99,0,age_bin,0.33213,0.33058,,,,True
Qwen/Qwen2.5-3B,ema_d0.9999,0,age_bin,0.40058,0.39778,,,,True
Qwen/Qwen2.5-3B,mlp_h16,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-3B,mlp_h32,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-3B,mlp_h64,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-3B,mlp_h128,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-3B,attention,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-3B,shuffled,0,age_bin,0.31493,0.30697,,,,True
Qwen/Qwen2.5-3B,mm,0,age_bin,0.53371,0.44318,,,,True
Qwen/Qwen2.5-3B,ridge_0.01,0,age_bin,0.33333,0.27218,,,,True
Qwen/Qwen2.5-3B,ridge_0.1,0,age_bin,0.33333,0.27218,,,,False
Qwen/Qwen2.5-3B,ridge_1.0,0,age_bin,0.33333,0.27218,,,,False
Qwen/Qwen2.5-3B,ridge_10.0,0,age_bin,0.33333,0.27218,,,,False
Qwen/Qwen2.5-3B,ridge_100.0,0,age_bin,0.33333,0.27218,,,,False
Qwen/Qwen2.5-3B,ema_lr1e-3,0,gender,0.52448,0.52377,0.51954,,,True
Qwen/Qwen2.5-3B,ema_lr5e-3,0,gender,0.53034,0.52938,0.52588,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2,0,gender,0.49378,0.49324,0.48793,,,True
Qwen/Qwen2.5-3B,ema_lr5e-2,0,gender,0.52431,0.50808,0.5581,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,0,gender,0.53269,0.53187,0.51465,,,True
Qwen/Qwen2.5-3B,ema_d0.99,0,gender,0.51935,0.51925,0.53796,,,True
