model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
google/gemma-3-1b-pt,ema_lr1e-3,0,age_bin,0.32312,0.29624,,,,True
google/gemma-3-1b-pt,ema_lr5e-3,0,age_bin,0.34756,0.30545,,,,True
google/gemma-3-1b-pt,ema_lr1e-2,0,age_bin,0.37279,0.35727,,,,True
google/gemma-3-1b-pt,ema_lr5e-2,0,age_bin,0.35521,0.32401,,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,age_bin,0.3639,0.31572,,,,True
google/gemma-3-1b-pt,ema_d0.99,0,age_bin,0.2974,0.29245,,,,True
google/gemma-3-1b-pt,ema_d0.9999,0,age_bin,0.35573,0.35576,,,,True
google/gemma-3-1b-pt,mlp_h16,0,age_bin,0.33333,0.27218,,,,True
google/gemma-3-1b-pt,mlp_h32,0,age_bin,0.33333,0.27218,,,,True
google/gemma-3-1b-pt,mlp_h64,0,age_bin,0.33333,0.27218,,,,True
google/gemma-3-1b-pt,mlp_h128,0,age_bin,0.33333,0.27218,,,,True
google/gemma-3-1b-pt,attention,0,age_bin,0.3708,0.34467,,,,True
google/gemma-3-1b-pt,shuffled,0,age_bin,0.33782,0.30838,,,,True
google/gemma-3-1b-pt,mm,0,age_bin,0.5097,0.4422,,,,True
google/gemma-3-1b-pt,ridge_0.01,0,age_bin,0.33333,0.27218,,,,True
google/gemma-3-1b-pt,ridge_0.1,0,age_bin,0.33333,0.27218,,,,False
google/gemma-3-1b-pt,ridge_1.0,0,age_bin,0.33333,0.27218,,,,False
google/gemma-3-1b-pt,ridge_10.0,0,age_bin,0.33333,0.27218,,,,False
google/gemma-3-1b-pt,ridge_100.0,0,age_bin,0.33333,0.27218,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,0,gender,0.47065,0.4693,0.46355,,,True
google/gemma-3-1b-pt,ema_lr5e-3,0,gender,0.51141,0.50817,0.52703,,,True
google/gemma-3-1b-pt,ema_lr1e-2,0,gender,0.51951,0.51877,0.53549,,,True
google/gemma-3-1b-pt,ema_lr5e-2,0,gender,0.50579,0.50326,0.50591,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,gender,0.49026,0.48518,0.494,,,True
google/gemma-3-1b-pt,ema_d0.99,0,gender,0.49961,0.49877,0.51714,,,True
google/gemma-3-1b-pt,ema_d0.9999,0,gender,0.51383,0.51363,0.50486,,,True
google/gemma-3-1b-pt,mlp_h16,0,gender,0.5,0.36057,,,,True
google/gemma-3-1b-pt,mlp_h32,0,gender,0.5,0.36057,,,,True
google/gemma-3-1b-pt,mlp_h64,0,gender,0.5,0.36057,,,,True
google/gemma-3-1b-pt,mlp_h128,0,gender,0.5,0.36057,,,,True
google/gemma-3-1b-pt,attention,0,gender,0.52286,0.46692,,,,True
