model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
EleutherAI/pythia-31m,ema_lr1e-3,0,age_bin,0.30265,0.27503,,,,True
EleutherAI/pythia-31m,ema_lr5e-3,0,age_bin,0.28563,0.2549,,,,True
EleutherAI/pythia-31m,ema_lr1e-2,0,age_bin,0.34499,0.31317,,,,True
EleutherAI/pythia-31m,ema_lr5e-2,0,age_bin,0.36109,0.34273,,,,True
EleutherAI/pythia-31m,ema_lr1e-2_wd1e-3,0,age_bin,0.35822,0.35032,,,,True
EleutherAI/pythia-31m,ema_d0.99,0,age_bin,0.38841,0.35812,,,,True
EleutherAI/pythia-31m,ema_d0.9999,0,age_bin,0.3348,0.31704,,,,True
EleutherAI/pythia-31m,mlp_h16,0,age_bin,0.33333,0.27218,,,,True
EleutherAI/pythia-31m,mlp_h32,0,age_bin,0.33333,0.27218,,,,True
EleutherAI/pythia-31m,mlp_h64,0,age_bin,0.33333,0.27218,,,,True
EleutherAI/pythia-31m,mlp_h128,0,age_bin,0.33333,0.27218,,,,True
EleutherAI/pythia-31m,attention,0,age_bin,0.33333,0.27218,,,,True
EleutherAI/pythia-31m,shuffled,0,age_bin,0.34972,0.32942,,,,True
EleutherAI/pythia-31m,mm,0,age_bin,0.51292,0.46036,,,,True
EleutherAI/pythia-31m,ridge_0.01,0,age_bin,0.33333,0.27218,,,,True
EleutherAI/pythia-31m,ridge_0.1,0,age_bin,0.33333,0.27218,,,,False
EleutherAI/pythia-31m,ridge_1.0,0,age_bin,0.33333,0.27218,,,,False
EleutherAI/pythia-31m,ridge_10.0,0,age_bin,0.33333,0.27218,,,,False
EleutherAI/pythia-31m,ridge_100.0,0,age_bin,0.33333,0.27218,,,,False
EleutherAI/pythia-31m,ema_lr1e-3,0,gender,0.49755,0.49451,0.46517,,,True
EleutherAI/pythia-31m,ema_lr5e-3,0,gender,0.52367,0.52202,0.53074,,,True
EleutherAI/pythia-31m,ema_lr1e-2,0,gender,0.49563,0.49559,0.51191,,,True
EleutherAI/pythia-31m,ema_lr5e-2,0,gender,0.52086,0.52075,0.51565,,,True
EleutherAI/pythia-31m,ema_lr1e-2_wd1e-3,0,gender,0.5005,0.49935,0.49827,,,True
EleutherAI/pythia-31m,ema_d0.99,0,gender,0.50289,0.50146,0.48764,,,True
EleutherAI/pythia-31m,ema_d0.9999,0,gender,0.50919,0.50719,0.51538,,,True
EleutherAI/pythia-31m,mlp_h16,0,gender,0.5,0.36057,,,,True
EleutherAI/pythia-31m,mlp_h32,0,gender,0.5,0.36057,,,,True
EleutherAI/pythia-31m,mlp_h64,0,gender,0.5,0.36057,,,,True
EleutherAI/pythia-31m,mlp_h128,0,gender,0.5,0.36057,,,,True
EleutherAI/pythia-31m,attention,0,gender,0.50044,0.36414,,,,True
EleutherAI/pythia-31m,shuffled,0,gender,0.49393,0.49368,,,,True
EleutherAI/pythia-31m,mm,0,gender,0.56698,0.55706,,,,True
EleutherAI/pythia-31m,ridge_0.01,0,gender,0.5,0.36057,,,,True
EleutherAI/pythia-31m,ridge_0.1,0,gender,0.5,0.36057,,,,False
EleutherAI/pythia-31m,ridge_1.0,0,gender,0.5,0.36057,,,,False
EleutherAI/pythia-31m,ridge_10.0,0,gender,0.5,0.36057,,,,False
EleutherAI/pythia-31m,ridge_100.0,0,gender,0.5,0.36057,,,,False
EleutherAI/pythia-31m,ema_lr1e-3,0,star_sign,0.10903,0.01639,,0.08518,0.13458,True
EleutherAI/pythia-31m,ema_lr5e-3,0,star_sign,0.18569,0.0261,,0.15332,0.21635,True
EleutherAI/pythia-31m,ema_lr1e-2,0,star_sign,0.21635,0.02965,,0.18228,0.25043,True
EleutherAI/pythia-31m,ema_lr5e-2,0,star_sign,0.98467,0.12403,,0.97445,0.99319,True
EleutherAI/pythia-31m,ema_lr1e-2_wd1e-3,0,star_sign,0.27428,0.03587,,0.2368,0.30669,True
EleutherAI/pythia-31m,ema_d0.99,0,star_sign,0.27257,0.0357,,0.2368,0.30494,True
EleutherAI/pythia-31m,ema_d0.9999,0,star_sign,0.26576,0.03499,,0.23335,0.29983,True
EleutherAI/pythia-31m,mlp_h16,0,star_sign,1.0,1.0,,,,True
