batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.75967,0.38059,4204
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.58947,0.31161,4204
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.71441,0.30804,4204
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.59046,0.34134,4204
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.57643,0.29853,4204
0,0,age_bin,ema_d0.99,0.01,0.0001,1.61775,0.37203,4204
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.57115,0.27545,4204
0,0,age_bin,mlp_h16,0.001,0.0,0.94306,0.64819,4204
0,0,age_bin,mlp_h32,0.001,0.0,1.17486,0.18673,4204
0,0,age_bin,mlp_h64,0.001,0.0,1.05013,0.49429,4204
0,0,age_bin,mlp_h128,0.001,0.0,1.10585,0.39129,4204
0,0,age_bin,attention,0.0001,1e-05,1.10303,0.03125,4204
0,0,age_bin,shuffled,0.01,0.0001,1.51203,0.3128,4204
0,0,gender,ema_lr1e-3,0.001,0.0001,1.00836,0.48692,4204
0,0,gender,ema_lr5e-3,0.005,0.0001,1.10463,0.4862,4204
0,0,gender,ema_lr1e-2,0.01,0.0001,1.11363,0.50737,4204
0,0,gender,ema_lr5e-2,0.05,0.0001,1.02901,0.48002,4204
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.11358,0.49905,4204
0,0,gender,ema_d0.99,0.01,0.0001,1.04158,0.50737,4204
0,0,gender,ema_d0.9999,0.01,0.0001,0.99298,0.50024,4204
0,0,gender,mlp_h16,0.001,0.0,0.70318,0.48121,4204
0,0,gender,mlp_h32,0.001,0.0,0.69671,0.5226,4204
0,0,gender,mlp_h64,0.001,0.0,0.71609,0.43149,4204
0,0,gender,mlp_h128,0.001,0.0,0.68605,0.5666,4204
0,0,gender,attention,0.0001,1e-05,0.69266,0.54688,4204
0,0,gender,shuffled,0.01,0.0001,1.05934,0.48739,4204
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.34207,0.14153,4204
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.30102,0.08635,4204
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.32814,0.10157,4204
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.26308,0.07945,4204
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.29874,0.06304,4204
0,0,star_sign,ema_d0.99,0.01,0.0001,3.3507,0.05804,4204
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.27647,0.11917,4204
0,0,star_sign,mlp_h16,0.001,0.0,2.2277,0.33754,4204
0,0,star_sign,mlp_h32,0.001,0.0,2.60751,0.01713,4204
0,0,star_sign,mlp_h64,0.001,0.0,2.36745,0.06732,4204
0,0,star_sign,mlp_h128,0.001,0.0,2.51237,0.07707,4204
0,0,star_sign,attention,0.0001,1e-05,2.48693,0.0,4204
0,0,star_sign,shuffled,0.01,0.0001,3.33025,0.09206,4204
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.56298,0.36346,4204
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.54103,0.3901,4204
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.4446,0.36632,4204
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.51557,0.35252,4204
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.5424,0.31589,4204
0,4,age_bin,ema_d0.99,0.01,0.0001,1.44375,0.33183,4204
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.72479,0.26522,4204
0,4,age_bin,mlp_h16,0.001,0.0,1.13236,0.13606,4204
0,4,age_bin,mlp_h32,0.001,0.0,1.20764,0.12036,4204
0,4,age_bin,mlp_h64,0.001,0.0,1.08942,0.34919,4204
0,4,age_bin,mlp_h128,0.001,0.0,1.21137,0.13083,4204
0,4,age_bin,attention,0.0001,1e-05,0.0,1.0,4204
0,4,age_bin,shuffled,0.01,0.0001,1.61468,0.27046,4204
0,4,gender,ema_lr1e-3,0.001,0.0001,1.00017,0.49286,4204
0,4,gender,ema_lr5e-3,0.005,0.0001,1.12431,0.49096,4204
0,4,gender,ema_lr1e-2,0.01,0.0001,0.92755,0.51475,4204
0,4,gender,ema_lr5e-2,0.05,0.0001,0.97683,0.51784,4204
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.18047,0.53354,4204
0,4,gender,ema_d0.99,0.01,0.0001,1.05802,0.53235,4204
0,4,gender,ema_d0.9999,0.01,0.0001,1.10092,0.46955,4204
0,4,gender,mlp_h16,0.001,0.0,0.69698,0.52854,4204
0,4,gender,mlp_h32,0.001,0.0,0.71772,0.44481,4204
0,4,gender,mlp_h64,0.001,0.0,0.69627,0.51879,4204
0,4,gender,mlp_h128,0.001,0.0,0.68441,0.55994,4204
0,4,gender,attention,0.0001,1e-05,3.86064,0.40625,4204
0,4,gender,shuffled,0.01,0.0001,1.34851,0.55376,4204
0,4,star_sign,ema_lr1e-3,0.001,0.0001,3.23635,0.08991,4204
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.29782,0.0942,4204
0,4,star_sign,ema_lr1e-2,0.01,0.0001,3.26166,0.07659,4204
0,4,star_sign,ema_lr5e-2,0.05,0.0001,3.18542,0.07564,4204
0,4,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.14292,0.10228,4204
0,4,star_sign,ema_d0.99,0.01,0.0001,3.14199,0.13368,4204
0,4,star_sign,ema_d0.9999,0.01,0.0001,3.30976,0.08706,4204
0,4,star_sign,mlp_h16,0.001,0.0,2.49843,0.00571,4204
0,4,star_sign,mlp_h32,0.001,0.0,2.72511,0.00024,4204
0,4,star_sign,mlp_h64,0.001,0.0,2.58914,0.01689,4204
0,4,star_sign,mlp_h128,0.001,0.0,2.50414,0.03616,4204
0,4,star_sign,attention,0.0001,1e-05,2.56526,0.0,4204
0,4,star_sign,shuffled,0.01,0.0001,3.13672,0.06399,4204
0,8,age_bin,ema_lr1e-3,0.001,0.0001,1.64952,0.28473,4204
0,8,age_bin,ema_lr5e-3,0.005,0.0001,1.62689,0.31042,4204
0,8,age_bin,ema_lr1e-2,0.01,0.0001,1.63779,0.3323,4204
0,8,age_bin,ema_lr5e-2,0.05,0.0001,1.76389,0.36108,4204
0,8,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.57138,0.33563,4204
0,8,age_bin,ema_d0.99,0.01,0.0001,1.55294,0.28069,4204
0,8,age_bin,ema_d0.9999,0.01,0.0001,1.49118,0.32112,4204
0,8,age_bin,mlp_h16,0.001,0.0,1.19204,0.04091,4204
0,8,age_bin,mlp_h32,0.001,0.0,1.15991,0.11537,4204
0,8,age_bin,mlp_h64,0.001,0.0,1.04702,0.42816,4204
0,8,age_bin,mlp_h128,0.001,0.0,1.12312,0.27355,4204
0,8,age_bin,attention,0.0001,1e-05,1.20792,0.01562,4204
0,8,age_bin,shuffled,0.01,0.0001,1.52859,0.30709,4204
0,8,gender,ema_lr1e-3,0.001,0.0001,0.93719,0.48382,4204
0,8,gender,ema_lr5e-3,0.005,0.0001,0.9729,0.50452,4204
0,8,gender,ema_lr1e-2,0.01,0.0001,1.03068,0.48811,4204
0,8,gender,ema_lr5e-2,0.05,0.0001,1.0236,0.48097,4204
0,8,gender,ema_lr1e-2_wd1e-3,0.01,0.001,0.9939,0.5,4204
0,8,gender,ema_d0.99,0.01,0.0001,1.04045,0.49524,4204
0,8,gender,ema_d0.9999,0.01,0.0001,1.0609,0.48763,4204
0,8,gender,mlp_h16,0.001,0.0,0.87765,0.36204,4204
0,8,gender,mlp_h32,0.001,0.0,0.70427,0.50404,4204
0,8,gender,mlp_h64,0.001,0.0,0.69994,0.51951,4204
0,8,gender,mlp_h128,0.001,0.0,0.72499,0.47764,4204
0,8,gender,attention,0.0001,1e-05,0.69278,0.53125,4204
0,8,gender,shuffled,0.01,0.0001,0.92095,0.51023,4204
0,8,star_sign,ema_lr1e-3,0.001,0.0001,3.18226,0.07945,4204
0,8,star_sign,ema_lr5e-3,0.005,0.0001,3.18621,0.08563,4204
0,8,star_sign,ema_lr1e-2,0.01,0.0001,3.17794,0.0823,4204
0,8,star_sign,ema_lr5e-2,0.05,0.0001,3.14532,0.09562,4204
0,8,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.16675,0.0735,4204
0,8,star_sign,ema_d0.99,0.01,0.0001,3.19143,0.10728,4204
0,8,star_sign,ema_d0.9999,0.01,0.0001,3.33063,0.07778,4204
0,8,star_sign,mlp_h16,0.001,0.0,2.65297,0.0,4204
0,8,star_sign,mlp_h32,0.001,0.0,2.60453,0.02688,4204
0,8,star_sign,mlp_h64,0.001,0.0,2.65457,0.00214,4204
0,8,star_sign,mlp_h128,0.001,0.0,2.2753,0.24524,4204
0,8,star_sign,attention,0.0001,1e-05,2.5351,0.0,4204
0,8,star_sign,shuffled,0.01,0.0001,3.27894,0.09087,4204
0,12,age_bin,ema_lr1e-3,0.001,0.0001,1.56535,0.32897,4204
0,12,age_bin,ema_lr5e-3,0.005,0.0001,1.68363,0.38297,4204
0,12,age_bin,ema_lr1e-2,0.01,0.0001,1.72824,0.32659,4204
0,12,age_bin,ema_lr5e-2,0.05,0.0001,1.55429,0.33183,4204
0,12,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.66378,0.34015,4204
0,12,age_bin,ema_d0.99,0.01,0.0001,1.52485,0.33492,4204
0,12,age_bin,ema_d0.9999,0.01,0.0001,1.51634,0.33302,4204
0,12,age_bin,mlp_h16,0.001,0.0,0.97686,0.67555,4204
0,12,age_bin,mlp_h32,0.001,0.0,0.92975,0.79591,4204
0,12,age_bin,mlp_h64,0.001,0.0,1.20598,0.15676,4204
0,12,age_bin,mlp_h128,0.001,0.0,0.99766,0.6187,4204
0,12,age_bin,attention,0.0001,1e-05,0.73787,0.83594,4204
0,12,age_bin,shuffled,0.01,0.0001,1.59501,0.31541,4204
0,12,gender,ema_lr1e-3,0.001,0.0001,1.05647,0.48644,4204
0,12,gender,ema_lr5e-3,0.005,0.0001,1.09548,0.49429,4204
0,12,gender,ema_lr1e-2,0.01,0.0001,0.99879,0.50571,4204
0,12,gender,ema_lr5e-2,0.05,0.0001,1.0863,0.5226,4204
0,12,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.13074,0.48264,4204
0,12,gender,ema_d0.99,0.01,0.0001,1.02677,0.5333,4204
0,12,gender,ema_d0.9999,0.01,0.0001,1.03954,0.495,4204
0,12,gender,mlp_h16,0.001,0.0,0.69165,0.55447,4204
0,12,gender,mlp_h32,0.001,0.0,0.7138,0.4667,4204
0,12,gender,mlp_h64,0.001,0.0,0.67348,0.59301,4204
0,12,gender,mlp_h128,0.001,0.0,0.69058,0.53592,4204
0,12,gender,attention,0.0001,1e-05,0.69872,0.40625,4204
0,12,gender,shuffled,0.01,0.0001,0.97761,0.50571,4204
0,12,star_sign,ema_lr1e-3,0.001,0.0001,3.29489,0.10205,4204
0,12,star_sign,ema_lr5e-3,0.005,0.0001,3.21919,0.06898,4204
0,12,star_sign,ema_lr1e-2,0.01,0.0001,3.239,0.07255,4204
0,12,star_sign,ema_lr5e-2,0.05,0.0001,3.26365,0.07612,4204
0,12,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.23458,0.07231,4204
0,12,star_sign,ema_d0.99,0.01,0.0001,3.36347,0.07065,4204
0,12,star_sign,ema_d0.9999,0.01,0.0001,3.3558,0.09348,4204
0,12,star_sign,mlp_h16,0.001,0.0,2.35658,0.29115,4204
0,12,star_sign,mlp_h32,0.001,0.0,2.70526,0.00618,4204
0,12,star_sign,mlp_h64,0.001,0.0,2.36463,0.1501,4204
0,12,star_sign,mlp_h128,0.001,0.0,2.41166,0.07326,4204
0,12,star_sign,attention,0.0001,1e-05,1.57508,0.0,4204
0,12,star_sign,shuffled,0.01,0.0001,3.24842,0.05756,4204
0,16,age_bin,ema_lr1e-3,0.001,0.0001,1.75384,0.27426,4204
0,16,age_bin,ema_lr5e-3,0.005,0.0001,1.58012,0.32707,4204
0,16,age_bin,ema_lr1e-2,0.01,0.0001,1.57534,0.32207,4204
0,16,age_bin,ema_lr5e-2,0.05,0.0001,1.59799,0.30947,4204
0,16,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.56252,0.34087,4204
0,16,age_bin,ema_d0.99,0.01,0.0001,1.50519,0.34967,4204
0,16,age_bin,ema_d0.9999,0.01,0.0001,1.6316,0.39891,4204
0,16,age_bin,mlp_h16,0.001,0.0,1.35131,0.0088,4204
0,16,age_bin,mlp_h32,0.001,0.0,0.99373,0.58397,4204
0,16,age_bin,mlp_h64,0.001,0.0,0.85326,0.87012,4204
0,16,age_bin,mlp_h128,0.001,0.0,1.022,0.56113,4204
0,16,age_bin,attention,0.0001,1e-05,3.21769,0.0,4204
0,16,age_bin,shuffled,0.01,0.0001,1.687,0.33325,4204
0,16,gender,ema_lr1e-3,0.001,0.0001,1.08154,0.52331,4204
0,16,gender,ema_lr5e-3,0.005,0.0001,1.07138,0.50357,4204
0,16,gender,ema_lr1e-2,0.01,0.0001,0.94334,0.53211,4204
0,16,gender,ema_lr5e-2,0.05,0.0001,1.19771,0.48026,4204
0,16,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.06165,0.49881,4204
0,16,gender,ema_d0.99,0.01,0.0001,1.08196,0.49786,4204
0,16,gender,ema_d0.9999,0.01,0.0001,1.04451,0.51284,4204
0,16,gender,mlp_h16,0.001,0.0,0.74294,0.42198,4204
0,16,gender,mlp_h32,0.001,0.0,0.72408,0.44267,4204
0,16,gender,mlp_h64,0.001,0.0,0.7767,0.37155,4204
0,16,gender,mlp_h128,0.001,0.0,0.72253,0.43815,4204
0,16,gender,attention,0.0001,1e-05,2.46159,0.40625,4204
