batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.62006,0.36328,3785
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.56535,0.35773,3785
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.65179,0.35456,3785
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.68788,0.30462,3785
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.55641,0.32312,3785
0,0,age_bin,ema_d0.99,0.01,0.0001,1.59623,0.31942,3785
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.63603,0.31096,3785
0,0,age_bin,mlp_h16,0.001,0.0,0.88195,0.75561,3785
0,0,age_bin,mlp_h32,0.001,0.0,1.20964,0.18018,3785
0,0,age_bin,mlp_h64,0.001,0.0,1.03682,0.49115,3785
0,0,age_bin,mlp_h128,0.001,0.0,1.19153,0.12946,3785
0,0,age_bin,attention,0.0001,1e-05,1.10073,0.13281,3785
0,0,age_bin,shuffled,0.01,0.0001,1.6849,0.29379,3785
0,0,gender,ema_lr1e-3,0.001,0.0001,1.14503,0.50674,3785
0,0,gender,ema_lr5e-3,0.005,0.0001,1.15233,0.48402,3785
0,0,gender,ema_lr1e-2,0.01,0.0001,1.08046,0.50964,3785
0,0,gender,ema_lr5e-2,0.05,0.0001,1.05021,0.50753,3785
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.04003,0.49564,3785
0,0,gender,ema_d0.99,0.01,0.0001,1.06021,0.50357,3785
0,0,gender,ema_d0.9999,0.01,0.0001,1.06377,0.50357,3785
0,0,gender,mlp_h16,0.001,0.0,0.6991,0.493,3785
0,0,gender,mlp_h32,0.001,0.0,0.71128,0.4996,3785
0,0,gender,mlp_h64,0.001,0.0,0.72293,0.50357,3785
0,0,gender,mlp_h128,0.001,0.0,0.70187,0.50277,3785
0,0,gender,attention,0.0001,1e-05,0.69297,0.52344,3785
0,0,gender,shuffled,0.01,0.0001,1.04376,0.50938,3785
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.26382,0.06209,3785
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.36525,0.10832,3785
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.30138,0.08956,3785
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.28129,0.08322,3785
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.31977,0.06156,3785
0,0,star_sign,ema_d0.99,0.01,0.0001,3.27826,0.14135,3785
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.22801,0.07583,3785
0,0,star_sign,mlp_h16,0.001,0.0,2.53231,0.04676,3785
0,0,star_sign,mlp_h32,0.001,0.0,2.19261,0.49273,3785
0,0,star_sign,mlp_h64,0.001,0.0,2.36488,0.1432,3785
0,0,star_sign,mlp_h128,0.001,0.0,2.70509,0.00291,3785
0,0,star_sign,attention,0.0001,1e-05,2.48818,0.0,3785
0,0,star_sign,shuffled,0.01,0.0001,3.24618,0.05416,3785
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.39266,0.25337,3785
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.38482,0.43091,3785
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.57536,0.14055,3785
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.2673,0.30938,3785
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.27828,0.33818,3785
0,4,age_bin,ema_d0.99,0.01,0.0001,1.39271,0.21321,3785
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.80997,0.2465,3785
0,4,age_bin,mlp_h16,0.001,0.0,1.16122,0.57067,3785
0,4,age_bin,mlp_h32,0.001,0.0,0.8624,0.96882,3785
0,4,age_bin,mlp_h64,0.001,0.0,1.01543,0.82114,3785
0,4,age_bin,mlp_h128,0.001,0.0,1.04293,0.55112,3785
0,4,age_bin,attention,0.0001,1e-05,1.03049,0.32031,3785
0,4,age_bin,shuffled,0.01,0.0001,1.35176,0.43355,3785
0,4,gender,ema_lr1e-3,0.001,0.0001,0.82233,0.49115,3785
0,4,gender,ema_lr5e-3,0.005,0.0001,0.84129,0.50674,3785
0,4,gender,ema_lr1e-2,0.01,0.0001,0.9605,0.50066,3785
0,4,gender,ema_lr5e-2,0.05,0.0001,0.83521,0.50621,3785
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,0.93282,0.4996,3785
0,4,gender,ema_d0.99,0.01,0.0001,0.81402,0.50251,3785
0,4,gender,ema_d0.9999,0.01,0.0001,1.0186,0.50172,3785
0,4,gender,mlp_h16,0.001,0.0,0.71317,0.507,3785
0,4,gender,mlp_h32,0.001,0.0,0.72762,0.50991,3785
0,4,gender,mlp_h64,0.001,0.0,0.71103,0.50647,3785
0,4,gender,mlp_h128,0.001,0.0,0.69867,0.50013,3785
0,4,gender,attention,0.0001,1e-05,0.68373,0.53125,3785
0,4,gender,shuffled,0.01,0.0001,0.83511,0.50013,3785
0,4,star_sign,ema_lr1e-3,0.001,0.0001,2.95499,0.04491,3785
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.12133,0.15059,3785
0,4,star_sign,ema_lr1e-2,0.01,0.0001,2.92829,0.05997,3785
0,4,star_sign,ema_lr5e-2,0.05,0.0001,2.87144,0.0576,3785
0,4,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.14615,0.03646,3785
0,4,star_sign,ema_d0.99,0.01,0.0001,2.87787,0.10092,3785
0,4,star_sign,ema_d0.9999,0.01,0.0001,3.05692,0.05812,3785
0,4,star_sign,mlp_h16,0.001,0.0,2.63382,0.0,3785
0,4,star_sign,mlp_h32,0.001,0.0,2.28751,0.48798,3785
0,4,star_sign,mlp_h64,0.001,0.0,2.56761,0.00159,3785
0,4,star_sign,mlp_h128,0.001,0.0,2.45229,0.08587,3785
0,4,star_sign,attention,0.0001,1e-05,2.69879,0.0,3785
0,4,star_sign,shuffled,0.01,0.0001,2.99228,0.08085,3785
0,8,age_bin,ema_lr1e-3,0.001,0.0001,1.30787,0.36988,3785
0,8,age_bin,ema_lr5e-3,0.005,0.0001,1.38085,0.35799,3785
0,8,age_bin,ema_lr1e-2,0.01,0.0001,1.26749,0.35561,3785
0,8,age_bin,ema_lr5e-2,0.05,0.0001,1.3211,0.39366,3785
0,8,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.38674,0.42299,3785
0,8,age_bin,ema_d0.99,0.01,0.0001,1.75877,0.11096,3785
0,8,age_bin,ema_d0.9999,0.01,0.0001,1.29137,0.33923,3785
0,8,age_bin,mlp_h16,0.001,0.0,1.09499,0.62061,3785
0,8,age_bin,mlp_h32,0.001,0.0,1.12117,0.07266,3785
0,8,age_bin,mlp_h64,0.001,0.0,1.13354,0.17094,3785
0,8,age_bin,mlp_h128,0.001,0.0,1.11286,0.51123,3785
0,8,age_bin,attention,0.0001,1e-05,0.41551,0.97656,3785
0,8,age_bin,shuffled,0.01,0.0001,1.37324,0.43514,3785
0,8,gender,ema_lr1e-3,0.001,0.0001,0.8667,0.51678,3785
0,8,gender,ema_lr5e-3,0.005,0.0001,0.90082,0.51731,3785
0,8,gender,ema_lr1e-2,0.01,0.0001,0.83933,0.51387,3785
0,8,gender,ema_lr5e-2,0.05,0.0001,0.81717,0.5041,3785
0,8,gender,ema_lr1e-2_wd1e-3,0.01,0.001,0.87734,0.48877,3785
0,8,gender,ema_d0.99,0.01,0.0001,1.01903,0.48349,3785
0,8,gender,ema_d0.9999,0.01,0.0001,0.80449,0.52576,3785
0,8,gender,mlp_h16,0.001,0.0,0.7,0.49406,3785
0,8,gender,mlp_h32,0.001,0.0,0.69807,0.5033,3785
0,8,gender,mlp_h64,0.001,0.0,0.69944,0.49511,3785
0,8,gender,mlp_h128,0.001,0.0,0.71351,0.4996,3785
0,8,gender,attention,0.0001,1e-05,0.85286,0.50781,3785
0,8,gender,shuffled,0.01,0.0001,0.80975,0.49617,3785
0,8,star_sign,ema_lr1e-3,0.001,0.0001,2.87295,0.09115,3785
0,8,star_sign,ema_lr5e-3,0.005,0.0001,3.02468,0.13686,3785
0,8,star_sign,ema_lr1e-2,0.01,0.0001,2.84,0.07741,3785
0,8,star_sign,ema_lr5e-2,0.05,0.0001,2.93869,0.04465,3785
0,8,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,2.89922,0.11863,3785
0,8,star_sign,ema_d0.99,0.01,0.0001,2.99374,0.05337,3785
0,8,star_sign,ema_d0.9999,0.01,0.0001,2.82847,0.06024,3785
0,8,star_sign,mlp_h16,0.001,0.0,2.49822,0.00132,3785
0,8,star_sign,mlp_h32,0.001,0.0,2.71632,0.00238,3785
0,8,star_sign,mlp_h64,0.001,0.0,2.48248,0.05205,3785
0,8,star_sign,mlp_h128,0.001,0.0,2.53163,0.00608,3785
0,8,star_sign,attention,0.0001,1e-05,349.12628,0.0,3785
0,8,star_sign,shuffled,0.01,0.0001,2.91037,0.05839,3785
0,12,age_bin,ema_lr1e-3,0.001,0.0001,1.38591,0.48402,3785
0,12,age_bin,ema_lr5e-3,0.005,0.0001,1.42598,0.22483,3785
0,12,age_bin,ema_lr1e-2,0.01,0.0001,1.40642,0.21532,3785
0,12,age_bin,ema_lr5e-2,0.05,0.0001,1.41184,0.41453,3785
0,12,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.29299,0.30594,3785
0,12,age_bin,ema_d0.99,0.01,0.0001,1.30352,0.28428,3785
0,12,age_bin,ema_d0.9999,0.01,0.0001,1.31008,0.40528,3785
0,12,age_bin,mlp_h16,0.001,0.0,0.9473,0.907,3785
0,12,age_bin,mlp_h32,0.001,0.0,1.176,0.03197,3785
0,12,age_bin,mlp_h64,0.001,0.0,1.20147,0.01612,3785
0,12,age_bin,mlp_h128,0.001,0.0,1.07918,0.28375,3785
0,12,age_bin,attention,0.0001,1e-05,211.21928,0.0,3785
0,12,age_bin,shuffled,0.01,0.0001,1.33052,0.31334,3785
0,12,gender,ema_lr1e-3,0.001,0.0001,0.92087,0.49089,3785
0,12,gender,ema_lr5e-3,0.005,0.0001,0.86678,0.47662,3785
0,12,gender,ema_lr1e-2,0.01,0.0001,0.79709,0.5218,3785
0,12,gender,ema_lr5e-2,0.05,0.0001,0.81787,0.50727,3785
0,12,gender,ema_lr1e-2_wd1e-3,0.01,0.001,0.80422,0.51044,3785
0,12,gender,ema_d0.99,0.01,0.0001,0.89216,0.51678,3785
0,12,gender,ema_d0.9999,0.01,0.0001,0.91583,0.50621,3785
