model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen2.5-3B,ema_lr1e-3,0,age_bin,0.4504,0.20702,,,,True
Qwen/Qwen2.5-3B,ema_lr5e-3,0,age_bin,0.8542,0.30712,,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2,0,age_bin,0.9904,0.33173,,,,True
Qwen/Qwen2.5-3B,ema_lr5e-2,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,0,age_bin,0.9926,0.3321,,,,True
Qwen/Qwen2.5-3B,ema_d0.99,0,age_bin,0.9976,0.33293,,,,True
Qwen/Qwen2.5-3B,ema_d0.9999,0,age_bin,0.9866,0.33108,,,,True
Qwen/Qwen2.5-3B,mlp_h16,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,mlp_h32,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,mlp_h64,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,mlp_h128,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,attention,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,shuffled,0,age_bin,0.9896,0.33159,,,,True
Qwen/Qwen2.5-3B,mm,0,age_bin,0.9978,0.33297,,,,True
Qwen/Qwen2.5-3B,ridge_0.01,0,age_bin,1.0,1.0,,,,True
Qwen/Qwen2.5-3B,ridge_0.1,0,age_bin,1.0,1.0,,,,False
Qwen/Qwen2.5-3B,ridge_1.0,0,age_bin,1.0,1.0,,,,False
Qwen/Qwen2.5-3B,ridge_10.0,0,age_bin,1.0,1.0,,,,False
Qwen/Qwen2.5-3B,ridge_100.0,0,age_bin,1.0,1.0,,,,False
Qwen/Qwen2.5-3B,ema_lr1e-3,0,gender,0.49434,0.49434,0.49385,,,True
Qwen/Qwen2.5-3B,ema_lr5e-3,0,gender,0.50598,0.50559,0.50178,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2,0,gender,0.51422,0.51414,0.51418,,,True
Qwen/Qwen2.5-3B,ema_lr5e-2,0,gender,0.53141,0.5314,0.54309,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,0,gender,0.50778,0.50778,0.5073,,,True
Qwen/Qwen2.5-3B,ema_d0.99,0,gender,0.51712,0.51712,0.50868,,,True
Qwen/Qwen2.5-3B,ema_d0.9999,0,gender,0.50541,0.50533,0.50805,,,True
