batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.66084,0.36244,2210
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.60239,0.35475,2210
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.56152,0.27557,2210
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.52822,0.26697,2210
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.63144,0.34706,2210
0,0,age_bin,ema_d0.99,0.01,0.0001,1.52564,0.36154,2210
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.59675,0.3181,2210
0,0,age_bin,mlp_h16,0.001,0.0,0.92261,0.74525,2210
0,0,age_bin,mlp_h32,0.001,0.0,1.18395,0.18235,2210
0,0,age_bin,mlp_h64,0.001,0.0,1.08103,0.36109,2210
0,0,age_bin,mlp_h128,0.001,0.0,1.10629,0.35792,2210
0,0,age_bin,attention,0.0001,1e-05,1.09019,0.96875,2210
0,0,age_bin,shuffled,0.01,0.0001,1.59103,0.27964,2210
0,0,gender,ema_lr1e-3,0.001,0.0001,1.00553,0.48959,2210
0,0,gender,ema_lr5e-3,0.005,0.0001,1.03018,0.5,2210
0,0,gender,ema_lr1e-2,0.01,0.0001,1.08166,0.50452,2210
0,0,gender,ema_lr5e-2,0.05,0.0001,1.04476,0.49095,2210
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.05108,0.50362,2210
0,0,gender,ema_d0.99,0.01,0.0001,1.07414,0.49638,2210
0,0,gender,ema_d0.9999,0.01,0.0001,0.98216,0.519,2210
0,0,gender,mlp_h16,0.001,0.0,0.69823,0.5,2210
0,0,gender,mlp_h32,0.001,0.0,0.70117,0.51312,2210
0,0,gender,mlp_h64,0.001,0.0,0.69331,0.53122,2210
0,0,gender,mlp_h128,0.001,0.0,0.71616,0.46516,2210
0,0,gender,attention,0.0001,1e-05,0.69317,0.48438,2210
0,0,gender,shuffled,0.01,0.0001,1.06465,0.51538,2210
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.29346,0.09638,2210
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.25617,0.08462,2210
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.33171,0.07059,2210
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.36126,0.07059,2210
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.26837,0.11131,2210
0,0,star_sign,ema_d0.99,0.01,0.0001,3.3964,0.07149,2210
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.27876,0.05158,2210
0,0,star_sign,mlp_h16,0.001,0.0,2.24011,0.35294,2210
0,0,star_sign,mlp_h32,0.001,0.0,2.59831,0.00362,2210
0,0,star_sign,mlp_h64,0.001,0.0,2.38455,0.06199,2210
0,0,star_sign,mlp_h128,0.001,0.0,2.50745,0.019,2210
0,0,star_sign,attention,0.0001,1e-05,2.48307,0.03125,2210
0,0,star_sign,shuffled,0.01,0.0001,3.33861,0.07647,2210
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.59269,0.28235,2210
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.48313,0.31855,2210
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.68897,0.39593,2210
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.50944,0.31176,2210
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.46323,0.32308,2210
0,4,age_bin,ema_d0.99,0.01,0.0001,1.47218,0.35928,2210
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.48166,0.33394,2210
0,4,age_bin,mlp_h16,0.001,0.0,1.15513,0.15385,2210
0,4,age_bin,mlp_h32,0.001,0.0,1.17162,0.15204,2210
0,4,age_bin,mlp_h64,0.001,0.0,1.09387,0.33937,2210
0,4,age_bin,mlp_h128,0.001,0.0,1.19054,0.11855,2210
0,4,age_bin,attention,0.0001,1e-05,0.75807,0.98438,2210
0,4,age_bin,shuffled,0.01,0.0001,1.56407,0.38235,2210
0,4,gender,ema_lr1e-3,0.001,0.0001,0.99367,0.51493,2210
0,4,gender,ema_lr5e-3,0.005,0.0001,1.00026,0.51222,2210
0,4,gender,ema_lr1e-2,0.01,0.0001,0.95169,0.49638,2210
0,4,gender,ema_lr5e-2,0.05,0.0001,0.99124,0.48733,2210
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.15663,0.50407,2210
0,4,gender,ema_d0.99,0.01,0.0001,1.0239,0.48009,2210
0,4,gender,ema_d0.9999,0.01,0.0001,0.97459,0.52127,2210
0,4,gender,mlp_h16,0.001,0.0,0.69875,0.49231,2210
0,4,gender,mlp_h32,0.001,0.0,0.69228,0.53394,2210
0,4,gender,mlp_h64,0.001,0.0,0.71193,0.46968,2210
