batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.64553,0.28685,3901
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.61552,0.36632,3901
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.56042,0.33812,3901
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.65502,0.33043,3901
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.67084,0.28531,3901
0,0,age_bin,ema_d0.99,0.01,0.0001,1.64217,0.30351,3901
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.59579,0.36119,3901
0,0,age_bin,mlp_h16,0.001,0.0,0.92724,0.71213,3901
0,0,age_bin,mlp_h32,0.001,0.0,1.18086,0.20969,3901
0,0,age_bin,mlp_h64,0.001,0.0,1.045,0.55755,3901
0,0,age_bin,mlp_h128,0.001,0.0,1.10364,0.29864,3901
0,0,age_bin,attention,0.0001,1e-05,1.07964,0.98438,3901
0,0,age_bin,shuffled,0.01,0.0001,1.65834,0.33222,3901
0,0,gender,ema_lr1e-3,0.001,0.0001,1.04159,0.49705,3901
0,0,gender,ema_lr5e-3,0.005,0.0001,1.05313,0.4991,3901
0,0,gender,ema_lr1e-2,0.01,0.0001,1.10461,0.49474,3901
0,0,gender,ema_lr5e-2,0.05,0.0001,1.04176,0.49346,3901
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.02968,0.49244,3901
0,0,gender,ema_d0.99,0.01,0.0001,1.12828,0.48295,3901
0,0,gender,ema_d0.9999,0.01,0.0001,1.19013,0.50295,3901
0,0,gender,mlp_h16,0.001,0.0,0.69866,0.48654,3901
0,0,gender,mlp_h32,0.001,0.0,0.6974,0.51371,3901
0,0,gender,mlp_h64,0.001,0.0,0.71513,0.46783,3901
0,0,gender,mlp_h128,0.001,0.0,0.69292,0.54114,3901
0,0,gender,attention,0.0001,1e-05,0.69386,0.4375,3901
0,0,gender,shuffled,0.01,0.0001,1.05307,0.49449,3901
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.29841,0.06255,3901
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.21833,0.09741,3901
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.33321,0.0605,3901
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.2846,0.09357,3901
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.32466,0.08049,3901
0,0,star_sign,ema_d0.99,0.01,0.0001,3.29657,0.06178,3901
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.25217,0.13022,3901
0,0,star_sign,mlp_h16,0.001,0.0,2.22696,0.33837,3901
0,0,star_sign,mlp_h32,0.001,0.0,2.595,0.03435,3901
0,0,star_sign,mlp_h64,0.001,0.0,2.37554,0.06434,3901
0,0,star_sign,mlp_h128,0.001,0.0,2.52555,0.0182,3901
0,0,star_sign,attention,0.0001,1e-05,2.49106,0.00781,3901
0,0,star_sign,shuffled,0.01,0.0001,3.25347,0.17842,3901
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.51993,0.30018,3901
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.45946,0.37913,3901
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.48309,0.3617,3901
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.5241,0.37119,3901
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.59122,0.36606,3901
0,4,age_bin,ema_d0.99,0.01,0.0001,1.50055,0.313,3901
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.50006,0.33991,3901
0,4,age_bin,mlp_h16,0.001,0.0,1.14834,0.0928,3901
0,4,age_bin,mlp_h32,0.001,0.0,1.18265,0.13868,3901
0,4,age_bin,mlp_h64,0.001,0.0,1.10259,0.34607,3901
0,4,age_bin,mlp_h128,0.001,0.0,1.23288,0.07203,3901
0,4,age_bin,attention,0.0001,1e-05,1024.41687,0.0,3901
0,4,age_bin,shuffled,0.01,0.0001,1.46416,0.32992,3901
0,4,gender,ema_lr1e-3,0.001,0.0001,0.92861,0.52807,3901
0,4,gender,ema_lr5e-3,0.005,0.0001,0.92462,0.49705,3901
0,4,gender,ema_lr1e-2,0.01,0.0001,0.88651,0.51192,3901
0,4,gender,ema_lr5e-2,0.05,0.0001,0.95999,0.49013,3901
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,0.9189,0.50115,3901
0,4,gender,ema_d0.99,0.01,0.0001,1.11968,0.46296,3901
0,4,gender,ema_d0.9999,0.01,0.0001,0.90327,0.51269,3901
0,4,gender,mlp_h16,0.001,0.0,0.69605,0.51192,3901
0,4,gender,mlp_h32,0.001,0.0,0.70645,0.4645,3901
0,4,gender,mlp_h64,0.001,0.0,0.69741,0.51448,3901
0,4,gender,mlp_h128,0.001,0.0,0.69381,0.53653,3901
0,4,gender,attention,0.0001,1e-05,144.69493,0.54688,3901
0,4,gender,shuffled,0.01,0.0001,0.93989,0.48782,3901
0,4,star_sign,ema_lr1e-3,0.001,0.0001,3.11487,0.09331,3901
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.165,0.09844,3901
0,4,star_sign,ema_lr1e-2,0.01,0.0001,3.12838,0.06793,3901
0,4,star_sign,ema_lr5e-2,0.05,0.0001,3.11119,0.0628,3901
0,4,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.16028,0.0628,3901
0,4,star_sign,ema_d0.99,0.01,0.0001,3.12177,0.08818,3901
0,4,star_sign,ema_d0.9999,0.01,0.0001,3.15752,0.08024,3901
0,4,star_sign,mlp_h16,0.001,0.0,2.53144,0.00795,3901
