batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.62069,0.36469,4401
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.63004,0.39059,4401
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.5638,0.2579,4401
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.63762,0.26994,4401
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.57854,0.30698,4401
0,0,age_bin,ema_d0.99,0.01,0.0001,1.60575,0.32038,4401
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.64245,0.30766,4401
0,0,age_bin,mlp_h16,0.001,0.0,1.12929,0.17246,4401
0,0,age_bin,mlp_h32,0.001,0.0,1.11381,0.24972,4401
0,0,age_bin,mlp_h64,0.001,0.0,1.26577,0.08998,4401
0,0,age_bin,mlp_h128,0.001,0.0,1.02912,0.49034,4401
0,0,age_bin,attention,0.0001,1e-05,1.52064,0.0625,4401
0,0,age_bin,shuffled,0.01,0.0001,1.67142,0.3072,4401
0,0,gender,ema_lr1e-3,0.001,0.0001,1.02747,0.48989,4401
0,0,gender,ema_lr5e-3,0.005,0.0001,1.05689,0.51806,4401
0,0,gender,ema_lr1e-2,0.01,0.0001,1.0845,0.51829,4401
0,0,gender,ema_lr5e-2,0.05,0.0001,1.07643,0.50034,4401
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.01949,0.49398,4401
0,0,gender,ema_d0.99,0.01,0.0001,1.08525,0.49739,4401
0,0,gender,ema_d0.9999,0.01,0.0001,1.0986,0.48762,4401
0,0,gender,mlp_h16,0.001,0.0,0.68985,0.56283,4401
0,0,gender,mlp_h32,0.001,0.0,0.70505,0.49012,4401
0,0,gender,mlp_h64,0.001,0.0,0.69178,0.53352,4401
0,0,gender,mlp_h128,0.001,0.0,0.70873,0.4908,4401
0,0,gender,attention,0.0001,1e-05,0.70042,0.53125,4401
0,0,gender,shuffled,0.01,0.0001,1.05612,0.49648,4401
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.27854,0.07612,4401
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.25247,0.05044,4401
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.2915,0.12474,4401
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.28465,0.11861,4401
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.26631,0.13633,4401
0,0,star_sign,ema_d0.99,0.01,0.0001,3.35227,0.15701,4401
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.43474,0.09112,4401
0,0,star_sign,mlp_h16,0.001,0.0,2.68201,0.0,4401
0,0,star_sign,mlp_h32,0.001,0.0,2.54279,0.02772,4401
0,0,star_sign,mlp_h64,0.001,0.0,2.58049,0.00841,4401
0,0,star_sign,mlp_h128,0.001,0.0,2.44074,0.06226,4401
0,0,star_sign,attention,0.0001,1e-05,2.36124,0.02344,4401
0,0,star_sign,shuffled,0.01,0.0001,3.30249,0.0893,4401
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.63351,0.34628,4401
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.63055,0.35606,4401
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.6295,0.35696,4401
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.56332,0.31675,4401
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.62822,0.30948,4401
0,4,age_bin,ema_d0.99,0.01,0.0001,1.5993,0.35378,4401
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.63495,0.32015,4401
0,4,age_bin,mlp_h16,0.001,0.0,1.02679,0.30811,4401
0,4,age_bin,mlp_h32,0.001,0.0,1.0239,0.61827,4401
0,4,age_bin,mlp_h64,0.001,0.0,1.20643,0.192,4401
0,4,age_bin,mlp_h128,0.001,0.0,1.1707,0.20518,4401
0,4,age_bin,attention,0.0001,1e-05,344.26553,0.0,4401
0,4,age_bin,shuffled,0.01,0.0001,1.60382,0.32697,4401
0,4,gender,ema_lr1e-3,0.001,0.0001,1.04513,0.50602,4401
0,4,gender,ema_lr5e-3,0.005,0.0001,1.05719,0.5092,4401
0,4,gender,ema_lr1e-2,0.01,0.0001,1.08543,0.50329,4401
0,4,gender,ema_lr5e-2,0.05,0.0001,1.05924,0.49807,4401
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.03159,0.50125,4401
0,4,gender,ema_d0.99,0.01,0.0001,1.06398,0.50579,4401
0,4,gender,ema_d0.9999,0.01,0.0001,1.05959,0.48989,4401
0,4,gender,mlp_h16,0.001,0.0,0.6868,0.56214,4401
0,4,gender,mlp_h32,0.001,0.0,0.69419,0.56987,4401
0,4,gender,mlp_h64,0.001,0.0,0.69412,0.51579,4401
0,4,gender,mlp_h128,0.001,0.0,0.68842,0.56646,4401
0,4,gender,attention,0.0001,1e-05,21.03819,0.42969,4401
0,4,gender,shuffled,0.01,0.0001,1.01413,0.50466,4401
0,4,star_sign,ema_lr1e-3,0.001,0.0001,3.26592,0.09543,4401
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.28438,0.08157,4401
0,4,star_sign,ema_lr1e-2,0.01,0.0001,3.31149,0.1102,4401
0,4,star_sign,ema_lr5e-2,0.05,0.0001,3.31184,0.08316,4401
0,4,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.28048,0.10111,4401
0,4,star_sign,ema_d0.99,0.01,0.0001,3.2932,0.08862,4401
0,4,star_sign,ema_d0.9999,0.01,0.0001,3.30906,0.07816,4401
0,4,star_sign,mlp_h16,0.001,0.0,2.61016,0.01091,4401
0,4,star_sign,mlp_h32,0.001,0.0,2.39951,0.16133,4401
0,4,star_sign,mlp_h64,0.001,0.0,2.27208,0.30516,4401
0,4,star_sign,mlp_h128,0.001,0.0,2.71336,0.00795,4401
0,4,star_sign,attention,0.0001,1e-05,48.3919,0.0,4401
0,4,star_sign,shuffled,0.01,0.0001,3.30015,0.07021,4401
0,8,age_bin,ema_lr1e-3,0.001,0.0001,1.65204,0.29652,4401
0,8,age_bin,ema_lr5e-3,0.005,0.0001,1.61297,0.32629,4401
0,8,age_bin,ema_lr1e-2,0.01,0.0001,1.63688,0.33197,4401
0,8,age_bin,ema_lr5e-2,0.05,0.0001,1.61557,0.33197,4401
0,8,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.60336,0.3022,4401
0,8,age_bin,ema_d0.99,0.01,0.0001,1.56772,0.3397,4401
0,8,age_bin,ema_d0.9999,0.01,0.0001,1.61138,0.3456,4401
0,8,age_bin,mlp_h16,0.001,0.0,1.04626,0.50966,4401
0,8,age_bin,mlp_h32,0.001,0.0,1.23604,0.06612,4401
0,8,age_bin,mlp_h64,0.001,0.0,0.94682,0.75369,4401
