model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
EleutherAI/pythia-14m,ema_lr1e-3,0,age_bin,0.3678,0.17927,,,,True
EleutherAI/pythia-14m,ema_lr5e-3,0,age_bin,0.5488,0.23623,,,,True
EleutherAI/pythia-14m,ema_lr1e-2,0,age_bin,0.8118,0.29871,,,,True
EleutherAI/pythia-14m,ema_lr5e-2,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-14m,ema_lr1e-2_wd1e-3,0,age_bin,0.8036,0.29704,,,,True
EleutherAI/pythia-14m,ema_d0.99,0,age_bin,0.7794,0.29201,,,,True
EleutherAI/pythia-14m,ema_d0.9999,0,age_bin,0.7548,0.28676,,,,True
EleutherAI/pythia-14m,mlp_h16,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-14m,mlp_h32,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-14m,mlp_h64,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-14m,mlp_h128,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-14m,attention,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-14m,shuffled,0,age_bin,0.8316,0.30269,,,,True
EleutherAI/pythia-14m,mm,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-14m,ridge_0.01,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-14m,ridge_0.1,0,age_bin,1.0,1.0,,,,False
EleutherAI/pythia-14m,ridge_1.0,0,age_bin,1.0,1.0,,,,False
EleutherAI/pythia-14m,ridge_10.0,0,age_bin,1.0,1.0,,,,False
EleutherAI/pythia-14m,ridge_100.0,0,age_bin,1.0,1.0,,,,False
EleutherAI/pythia-14m,ema_lr1e-3,0,gender,0.5257,0.5257,0.52565,,,True
EleutherAI/pythia-14m,ema_lr5e-3,0,gender,0.50489,0.50486,0.50732,,,True
EleutherAI/pythia-14m,ema_lr1e-2,0,gender,0.48552,0.48549,0.48382,,,True
EleutherAI/pythia-14m,ema_lr5e-2,0,gender,0.50723,0.50715,0.50173,,,True
EleutherAI/pythia-14m,ema_lr1e-2_wd1e-3,0,gender,0.50794,0.50734,0.50004,,,True
EleutherAI/pythia-14m,ema_d0.99,0,gender,0.49017,0.49011,0.4906,,,True
EleutherAI/pythia-14m,ema_d0.9999,0,gender,0.51133,0.51131,0.52486,,,True
EleutherAI/pythia-14m,mlp_h16,0,gender,0.50601,0.3679,,,,True
EleutherAI/pythia-14m,mlp_h32,0,gender,0.50112,0.35169,,,,True
EleutherAI/pythia-14m,mlp_h64,0,gender,0.50091,0.34397,,,,True
EleutherAI/pythia-14m,mlp_h128,0,gender,0.50237,0.34781,,,,True
EleutherAI/pythia-14m,attention,0,gender,0.51209,0.50687,,,,True
EleutherAI/pythia-14m,shuffled,0,gender,0.48461,0.4846,,,,True
EleutherAI/pythia-14m,mm,0,gender,0.51846,0.51828,,,,True
EleutherAI/pythia-14m,ridge_0.01,0,gender,0.52762,0.4635,,,,True
EleutherAI/pythia-14m,ridge_0.1,0,gender,0.52498,0.45208,,,,False
EleutherAI/pythia-14m,ridge_1.0,0,gender,0.51081,0.38655,,,,False
