model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
EleutherAI/pythia-1b,ema_lr1e-3,0,age_bin,0.3734,0.18125,,,,True
EleutherAI/pythia-1b,ema_lr5e-3,0,age_bin,0.6008,0.25021,,,,True
EleutherAI/pythia-1b,ema_lr1e-2,0,age_bin,0.8244,0.30125,,,,True
EleutherAI/pythia-1b,ema_lr5e-2,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,age_bin,0.8424,0.30482,,,,True
EleutherAI/pythia-1b,ema_d0.99,0,age_bin,0.8812,0.31228,,,,True
EleutherAI/pythia-1b,ema_d0.9999,0,age_bin,0.8296,0.30229,,,,True
EleutherAI/pythia-1b,mlp_h16,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-1b,mlp_h32,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-1b,mlp_h64,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-1b,mlp_h128,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-1b,attention,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-1b,shuffled,0,age_bin,0.8306,0.30249,,,,True
EleutherAI/pythia-1b,mm,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-1b,ridge_0.01,0,age_bin,1.0,1.0,,,,True
EleutherAI/pythia-1b,ridge_0.1,0,age_bin,1.0,1.0,,,,False
EleutherAI/pythia-1b,ridge_1.0,0,age_bin,1.0,1.0,,,,False
EleutherAI/pythia-1b,ridge_10.0,0,age_bin,1.0,1.0,,,,False
EleutherAI/pythia-1b,ridge_100.0,0,age_bin,1.0,1.0,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,0,gender,0.50585,0.50538,0.50682,,,True
EleutherAI/pythia-1b,ema_lr5e-3,0,gender,0.50174,0.5017,0.49949,,,True
EleutherAI/pythia-1b,ema_lr1e-2,0,gender,0.50318,0.50316,0.51194,,,True
EleutherAI/pythia-1b,ema_lr5e-2,0,gender,0.5303,0.52945,0.54184,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,gender,0.49543,0.49542,0.49552,,,True
EleutherAI/pythia-1b,ema_d0.99,0,gender,0.50268,0.50268,0.50627,,,True
EleutherAI/pythia-1b,ema_d0.9999,0,gender,0.48044,0.48043,0.47909,,,True
EleutherAI/pythia-1b,mlp_h16,0,gender,0.54517,0.53833,,,,True
EleutherAI/pythia-1b,mlp_h32,0,gender,0.51982,0.44556,,,,True
EleutherAI/pythia-1b,mlp_h64,0,gender,0.54654,0.53784,,,,True
EleutherAI/pythia-1b,mlp_h128,0,gender,0.51689,0.45567,,,,True
EleutherAI/pythia-1b,attention,0,gender,0.5233,0.51735,,,,True
EleutherAI/pythia-1b,shuffled,0,gender,0.5002,0.50019,,,,True
EleutherAI/pythia-1b,mm,0,gender,0.52986,0.51182,,,,True
EleutherAI/pythia-1b,ridge_0.01,0,gender,0.55443,0.54072,,,,True
EleutherAI/pythia-1b,ridge_0.1,0,gender,0.55315,0.5342,,,,False
EleutherAI/pythia-1b,ridge_1.0,0,gender,0.54755,0.50929,,,,False
EleutherAI/pythia-1b,ridge_10.0,0,gender,0.51311,0.38636,,,,False
EleutherAI/pythia-1b,ridge_100.0,0,gender,0.5,0.33854,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,0,star_sign,0.1002,0.01518,,0.0914,0.1086,True
EleutherAI/pythia-1b,ema_lr5e-3,0,star_sign,0.249,0.03323,,0.23719,0.2618,True
EleutherAI/pythia-1b,ema_lr1e-2,0,star_sign,0.5522,0.05929,,0.53978,0.5652,True
EleutherAI/pythia-1b,ema_lr5e-2,0,star_sign,1.0,1.0,,1.0,1.0,True
