batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.61473,0.27896,4101
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.59558,0.41673,4101
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.62723,0.33919,4101
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.64027,0.35869,4101
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.58762,0.25969,4101
0,0,age_bin,ema_d0.99,0.01,0.0001,1.60383,0.37259,4101
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.62769,0.23458,4101
0,0,age_bin,mlp_h16,0.001,0.0,0.92214,0.70178,4101
0,0,age_bin,mlp_h32,0.001,0.0,1.18166,0.13728,4101
0,0,age_bin,mlp_h64,0.001,0.0,1.05555,0.505,4101
0,0,age_bin,mlp_h128,0.001,0.0,1.09277,0.36942,4101
0,0,age_bin,attention,0.0001,1e-05,1.10163,0.03125,4101
0,0,age_bin,shuffled,0.01,0.0001,1.57464,0.30846,4101
0,0,gender,ema_lr1e-3,0.001,0.0001,0.98633,0.51817,4101
0,0,gender,ema_lr5e-3,0.005,0.0001,1.04649,0.49744,4101
0,0,gender,ema_lr1e-2,0.01,0.0001,1.00598,0.51475,4101
0,0,gender,ema_lr5e-2,0.05,0.0001,1.07625,0.47525,4101
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.04262,0.49939,4101
0,0,gender,ema_d0.99,0.01,0.0001,1.03876,0.5011,4101
0,0,gender,ema_d0.9999,0.01,0.0001,1.03669,0.51939,4101
0,0,gender,mlp_h16,0.001,0.0,0.70103,0.4911,4101
0,0,gender,mlp_h32,0.001,0.0,0.70011,0.48452,4101
0,0,gender,mlp_h64,0.001,0.0,0.72294,0.42575,4101
0,0,gender,mlp_h128,0.001,0.0,0.68977,0.54694,4101
0,0,gender,attention,0.0001,1e-05,0.69235,0.61719,4101
0,0,gender,shuffled,0.01,0.0001,1.12318,0.50159,4101
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.29822,0.0495,4101
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.31359,0.06194,4101
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.2503,0.0417,4101
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.32211,0.08851,4101
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.2645,0.08973,4101
0,0,star_sign,ema_d0.99,0.01,0.0001,3.3132,0.11583,4101
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.32574,0.04194,4101
0,0,star_sign,mlp_h16,0.001,0.0,2.22691,0.30529,4101
0,0,star_sign,mlp_h32,0.001,0.0,2.59576,0.01219,4101
0,0,star_sign,mlp_h64,0.001,0.0,2.37708,0.08144,4101
0,0,star_sign,mlp_h128,0.001,0.0,2.51287,0.03804,4101
0,0,star_sign,attention,0.0001,1e-05,2.48148,0.125,4101
0,0,star_sign,shuffled,0.01,0.0001,3.29779,0.03511,4101
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.57524,0.35504,4101
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.52085,0.31748,4101
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.53564,0.32285,4101
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.56142,0.34772,4101
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.52528,0.32285,4101
0,4,age_bin,ema_d0.99,0.01,0.0001,1.54943,0.30919,4101
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.50952,0.35552,4101
0,4,age_bin,mlp_h16,0.001,0.0,1.13474,0.17996,4101
0,4,age_bin,mlp_h32,0.001,0.0,1.18611,0.11924,4101
0,4,age_bin,mlp_h64,0.001,0.0,1.08938,0.34065,4101
