batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.54286,0.31148,3997
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.55426,0.30123,3997
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.61833,0.33025,3997
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.66581,0.44834,3997
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.603,0.29797,3997
0,0,age_bin,ema_d0.99,0.01,0.0001,1.59153,0.35201,3997
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.59243,0.28747,3997
0,0,age_bin,mlp_h16,0.001,0.0,1.13389,0.16162,3997
0,0,age_bin,mlp_h32,0.001,0.0,1.30011,0.02002,3997
0,0,age_bin,mlp_h64,0.001,0.0,1.01923,0.56467,3997
0,0,age_bin,mlp_h128,0.001,0.0,1.00282,0.62922,3997
0,0,age_bin,attention,0.0001,1e-05,1.09784,0.28125,3997
0,0,age_bin,shuffled,0.01,0.0001,1.61134,0.31223,3997
0,0,gender,ema_lr1e-3,0.001,0.0001,1.07119,0.49987,3997
0,0,gender,ema_lr5e-3,0.005,0.0001,1.04741,0.50638,3997
0,0,gender,ema_lr1e-2,0.01,0.0001,1.09272,0.48737,3997
0,0,gender,ema_lr5e-2,0.05,0.0001,1.10322,0.49062,3997
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.07093,0.50188,3997
0,0,gender,ema_d0.99,0.01,0.0001,1.03841,0.48962,3997
0,0,gender,ema_d0.9999,0.01,0.0001,1.05971,0.50213,3997
0,0,gender,mlp_h16,0.001,0.0,0.71012,0.48712,3997
0,0,gender,mlp_h32,0.001,0.0,0.70485,0.52364,3997
0,0,gender,mlp_h64,0.001,0.0,0.70839,0.51639,3997
0,0,gender,mlp_h128,0.001,0.0,0.70112,0.49287,3997
0,0,gender,attention,0.0001,1e-05,0.69334,0.50781,3997
0,0,gender,shuffled,0.01,0.0001,1.08605,0.50288,3997
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.37489,0.07255,3997
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.29335,0.12434,3997
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.3052,0.10033,3997
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.26856,0.05429,3997
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.27791,0.05504,3997
0,0,star_sign,ema_d0.99,0.01,0.0001,3.27359,0.06205,3997
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.28372,0.0703,3997
0,0,star_sign,mlp_h16,0.001,0.0,2.54003,0.001,3997
0,0,star_sign,mlp_h32,0.001,0.0,2.95956,0.0,3997
0,0,star_sign,mlp_h64,0.001,0.0,2.40803,0.15887,3997
0,0,star_sign,mlp_h128,0.001,0.0,2.35387,0.20365,3997
0,0,star_sign,attention,0.0001,1e-05,2.48979,0.0,3997
0,0,star_sign,shuffled,0.01,0.0001,3.30342,0.09382,3997
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.52908,0.32524,3997
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.54472,0.34276,3997
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.57836,0.31048,3997
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.58092,0.35577,3997
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.5982,0.34801,3997
