batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.67778,0.31979,80222
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.62515,0.33083,80222
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.60798,0.35518,80222
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.60912,0.34048,80222
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.60954,0.33265,80222
0,0,age_bin,ema_d0.99,0.01,0.0001,1.58299,0.33566,80222
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.63496,0.32489,80222
0,0,age_bin,mlp_h16,0.001,0.0,1.11966,0.31326,80222
0,0,age_bin,mlp_h32,0.001,0.0,1.11859,0.328,80222
0,0,age_bin,mlp_h64,0.001,0.0,1.10531,0.34183,80222
0,0,age_bin,mlp_h128,0.001,0.0,1.13213,0.29969,80222
0,0,age_bin,attention,0.0001,1e-05,1.11041,0.32422,80222
0,0,age_bin,shuffled,0.01,0.0001,1.64457,0.33796,80222
0,0,gender,ema_lr1e-3,0.001,0.0001,1.02444,0.4923,80222
0,0,gender,ema_lr5e-3,0.005,0.0001,1.07363,0.50398,80222
0,0,gender,ema_lr1e-2,0.01,0.0001,1.13054,0.49368,80222
0,0,gender,ema_lr5e-2,0.05,0.0001,1.04483,0.49226,80222
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.02698,0.49625,80222
0,0,gender,ema_d0.99,0.01,0.0001,1.08367,0.5034,80222
0,0,gender,ema_d0.9999,0.01,0.0001,1.04265,0.50568,80222
0,0,gender,mlp_h16,0.001,0.0,0.69874,0.51553,80222
0,0,gender,mlp_h32,0.001,0.0,0.70271,0.50739,80222
0,0,gender,mlp_h64,0.001,0.0,0.70477,0.48498,80222
0,0,gender,mlp_h128,0.001,0.0,0.70057,0.51522,80222
0,0,gender,attention,0.0001,1e-05,0.7126,0.50781,80222
0,0,gender,shuffled,0.01,0.0001,1.01854,0.50314,80222
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.27475,0.08175,80222
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.2637,0.08332,80222
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.25836,0.08812,80222
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.28072,0.08368,80222
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.28309,0.08389,80222
0,0,star_sign,ema_d0.99,0.01,0.0001,3.3088,0.07921,80222
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.29914,0.08589,80222
0,0,star_sign,mlp_h16,0.001,0.0,2.5088,0.08776,80222
0,0,star_sign,mlp_h32,0.001,0.0,2.52948,0.06735,80222
0,0,star_sign,mlp_h64,0.001,0.0,2.53857,0.06989,80222
0,0,star_sign,mlp_h128,0.001,0.0,2.50617,0.08878,80222
0,0,star_sign,attention,0.0001,1e-05,2.54714,0.06641,80222
0,0,star_sign,shuffled,0.01,0.0001,3.29827,0.08459,80222
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.57421,0.33978,80222
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.64004,0.33319,80222
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.66099,0.31766,80222
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.56896,0.34002,80222
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.65662,0.32571,80222
0,4,age_bin,ema_d0.99,0.01,0.0001,1.63434,0.32337,80222
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.64466,0.33607,80222
0,4,age_bin,mlp_h16,0.001,0.0,1.11421,0.31963,80222
0,4,age_bin,mlp_h32,0.001,0.0,1.0953,0.39539,80222
0,4,age_bin,mlp_h64,0.001,0.0,1.15311,0.292,80222
0,4,age_bin,mlp_h128,0.001,0.0,1.10453,0.35313,80222
0,4,age_bin,attention,0.0001,1e-05,178.38739,0.3125,80222
0,4,age_bin,shuffled,0.01,0.0001,1.5921,0.33,80222
0,4,gender,ema_lr1e-3,0.001,0.0001,1.06863,0.49351,80222
0,4,gender,ema_lr5e-3,0.005,0.0001,1.10995,0.47314,80222
0,4,gender,ema_lr1e-2,0.01,0.0001,1.06378,0.50299,80222
0,4,gender,ema_lr5e-2,0.05,0.0001,1.1084,0.48225,80222
0,4,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.06367,0.48664,80222
0,4,gender,ema_d0.99,0.01,0.0001,1.13455,0.48628,80222
0,4,gender,ema_d0.9999,0.01,0.0001,1.0433,0.50355,80222
0,4,gender,mlp_h16,0.001,0.0,0.70515,0.48195,80222
0,4,gender,mlp_h32,0.001,0.0,0.71984,0.48149,80222
0,4,gender,mlp_h64,0.001,0.0,0.70729,0.48844,80222
0,4,gender,mlp_h128,0.001,0.0,0.70143,0.50212,80222
0,4,gender,attention,0.0001,1e-05,18.87493,0.49609,80222
0,4,gender,shuffled,0.01,0.0001,1.03121,0.50107,80222
0,4,star_sign,ema_lr1e-3,0.001,0.0001,3.2943,0.08464,80222
0,4,star_sign,ema_lr5e-3,0.005,0.0001,3.28495,0.08095,80222
0,4,star_sign,ema_lr1e-2,0.01,0.0001,3.3136,0.08252,80222
0,4,star_sign,ema_lr5e-2,0.05,0.0001,3.29722,0.08356,80222
0,4,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.29173,0.0845,80222
0,4,star_sign,ema_d0.99,0.01,0.0001,3.29329,0.08161,80222
0,4,star_sign,ema_d0.9999,0.01,0.0001,3.32898,0.0816,80222
0,4,star_sign,mlp_h16,0.001,0.0,2.52956,0.05555,80222
0,4,star_sign,mlp_h32,0.001,0.0,2.54252,0.07433,80222
0,4,star_sign,mlp_h64,0.001,0.0,2.53203,0.08454,80222
0,4,star_sign,mlp_h128,0.001,0.0,2.5222,0.0658,80222
0,4,star_sign,attention,0.0001,1e-05,43.49042,0.08203,80222
0,4,star_sign,shuffled,0.01,0.0001,3.30948,0.08309,80222
0,8,age_bin,ema_lr1e-3,0.001,0.0001,1.62985,0.34562,80222
0,8,age_bin,ema_lr5e-3,0.005,0.0001,1.62718,0.32955,80222
0,8,age_bin,ema_lr1e-2,0.01,0.0001,1.5798,0.34886,80222
0,8,age_bin,ema_lr5e-2,0.05,0.0001,1.59312,0.33947,80222
0,8,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.60967,0.33512,80222
0,8,age_bin,ema_d0.99,0.01,0.0001,1.57594,0.33286,80222
0,8,age_bin,ema_d0.9999,0.01,0.0001,1.58939,0.3373,80222
0,8,age_bin,mlp_h16,0.001,0.0,1.16352,0.29558,80222
0,8,age_bin,mlp_h32,0.001,0.0,1.10419,0.34629,80222
0,8,age_bin,mlp_h64,0.001,0.0,1.12494,0.30762,80222
0,8,age_bin,mlp_h128,0.001,0.0,1.12512,0.31782,80222
0,8,age_bin,attention,0.0001,1e-05,1694.37207,0.25781,80222
0,8,age_bin,shuffled,0.01,0.0001,1.62645,0.33759,80222
0,8,gender,ema_lr1e-3,0.001,0.0001,1.02561,0.50363,80222
0,8,gender,ema_lr5e-3,0.005,0.0001,1.034,0.50672,80222
0,8,gender,ema_lr1e-2,0.01,0.0001,1.11083,0.48851,80222
0,8,gender,ema_lr5e-2,0.05,0.0001,1.06807,0.50581,80222
