model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
google/gemma-3-270m,ema_lr1e-3,0,age_bin,0.38869,0.38793,,,,True
google/gemma-3-270m,ema_lr5e-3,0,age_bin,0.39148,0.38409,,,,True
google/gemma-3-270m,ema_lr1e-2,0,age_bin,0.40943,0.38242,,,,True
google/gemma-3-270m,ema_lr5e-2,0,age_bin,0.40188,0.33871,,,,True
google/gemma-3-270m,ema_lr1e-2_wd1e-3,0,age_bin,0.41567,0.38129,,,,True
google/gemma-3-270m,ema_d0.99,0,age_bin,0.41181,0.3655,,,,True
google/gemma-3-270m,ema_d0.9999,0,age_bin,0.40831,0.37736,,,,True
google/gemma-3-270m,mlp_h16,0,age_bin,0.41527,0.34865,,,,True
google/gemma-3-270m,mlp_h32,0,age_bin,0.4051,0.33223,,,,True
google/gemma-3-270m,mlp_h64,0,age_bin,0.40087,0.32602,,,,True
google/gemma-3-270m,mlp_h128,0,age_bin,0.39503,0.31312,,,,True
google/gemma-3-270m,attention,0,age_bin,0.57084,0.57446,,,,True
google/gemma-3-270m,shuffled,0,age_bin,0.31886,0.27416,,,,True
google/gemma-3-270m,mm,0,age_bin,0.49038,0.49372,,,,True
google/gemma-3-270m,ridge_0.01,0,age_bin,0.41219,0.33606,,,,True
google/gemma-3-270m,ridge_0.1,0,age_bin,0.40611,0.32655,,,,False
google/gemma-3-270m,ridge_1.0,0,age_bin,0.38899,0.30075,,,,False
google/gemma-3-270m,ridge_10.0,0,age_bin,0.34889,0.21977,,,,False
google/gemma-3-270m,ridge_100.0,0,age_bin,0.33333,0.17952,,,,False
google/gemma-3-270m,ema_lr1e-3,0,gender,0.52276,0.52262,0.5266,,,True
google/gemma-3-270m,ema_lr5e-3,0,gender,0.54269,0.53853,0.55585,,,True
google/gemma-3-270m,ema_lr1e-2,0,gender,0.57133,0.55878,0.60049,,,True
google/gemma-3-270m,ema_lr5e-2,0,gender,0.58779,0.5543,0.66116,,,True
google/gemma-3-270m,ema_lr1e-2_wd1e-3,0,gender,0.57227,0.56252,0.59824,,,True
google/gemma-3-270m,ema_d0.99,0,gender,0.58139,0.56658,0.61522,,,True
google/gemma-3-270m,ema_d0.9999,0,gender,0.56376,0.55353,0.58519,,,True
google/gemma-3-270m,mlp_h16,0,gender,0.57682,0.53229,,,,True
