batch,layer,task,config,lr,wd,loss,batch_acc,n_tokens
0,0,age_bin,ema_lr1e-3,0.001,0.0001,1.62232,0.3382,81000
0,0,age_bin,ema_lr5e-3,0.005,0.0001,1.68422,0.3217,81000
0,0,age_bin,ema_lr1e-2,0.01,0.0001,1.56392,0.33283,81000
0,0,age_bin,ema_lr5e-2,0.05,0.0001,1.64069,0.33152,81000
0,0,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.53194,0.33809,81000
0,0,age_bin,ema_d0.99,0.01,0.0001,1.65224,0.33412,81000
0,0,age_bin,ema_d0.9999,0.01,0.0001,1.58691,0.34352,81000
0,0,age_bin,mlp_h16,0.001,0.0,1.12036,0.32802,81000
0,0,age_bin,mlp_h32,0.001,0.0,1.17752,0.25005,81000
0,0,age_bin,mlp_h64,0.001,0.0,1.12559,0.33483,81000
0,0,age_bin,mlp_h128,0.001,0.0,1.11418,0.35951,81000
0,0,age_bin,attention,0.0001,1e-05,1.0941,0.33984,81000
0,0,age_bin,shuffled,0.01,0.0001,1.60515,0.33931,81000
0,0,gender,ema_lr1e-3,0.001,0.0001,1.05892,0.49959,81000
0,0,gender,ema_lr5e-3,0.005,0.0001,0.99129,0.50251,81000
0,0,gender,ema_lr1e-2,0.01,0.0001,1.02669,0.50014,81000
0,0,gender,ema_lr5e-2,0.05,0.0001,1.05041,0.49204,81000
0,0,gender,ema_lr1e-2_wd1e-3,0.01,0.001,1.0324,0.50319,81000
0,0,gender,ema_d0.99,0.01,0.0001,1.09947,0.49946,81000
0,0,gender,ema_d0.9999,0.01,0.0001,1.03788,0.49949,81000
0,0,gender,mlp_h16,0.001,0.0,0.70316,0.4994,81000
0,0,gender,mlp_h32,0.001,0.0,0.70084,0.50751,81000
0,0,gender,mlp_h64,0.001,0.0,0.69916,0.50854,81000
0,0,gender,mlp_h128,0.001,0.0,0.70764,0.48578,81000
0,0,gender,attention,0.0001,1e-05,0.73226,0.4375,81000
0,0,gender,shuffled,0.01,0.0001,1.1319,0.50374,81000
0,0,star_sign,ema_lr1e-3,0.001,0.0001,3.26259,0.08274,81000
0,0,star_sign,ema_lr5e-3,0.005,0.0001,3.30505,0.08351,81000
0,0,star_sign,ema_lr1e-2,0.01,0.0001,3.33272,0.08594,81000
0,0,star_sign,ema_lr5e-2,0.05,0.0001,3.30169,0.08299,81000
0,0,star_sign,ema_lr1e-2_wd1e-3,0.01,0.001,3.27731,0.08537,81000
0,0,star_sign,ema_d0.99,0.01,0.0001,3.34209,0.07828,81000
0,0,star_sign,ema_d0.9999,0.01,0.0001,3.32484,0.0858,81000
0,0,star_sign,mlp_h16,0.001,0.0,2.49548,0.09326,81000
0,0,star_sign,mlp_h32,0.001,0.0,2.497,0.08769,81000
0,0,star_sign,mlp_h64,0.001,0.0,2.51618,0.07598,81000
0,0,star_sign,mlp_h128,0.001,0.0,2.49914,0.08841,81000
0,0,star_sign,attention,0.0001,1e-05,2.61851,0.10938,81000
0,0,star_sign,shuffled,0.01,0.0001,3.3052,0.08484,81000
0,4,age_bin,ema_lr1e-3,0.001,0.0001,1.59925,0.33095,81000
0,4,age_bin,ema_lr5e-3,0.005,0.0001,1.5916,0.33325,81000
0,4,age_bin,ema_lr1e-2,0.01,0.0001,1.63297,0.32665,81000
0,4,age_bin,ema_lr5e-2,0.05,0.0001,1.64538,0.32315,81000
0,4,age_bin,ema_lr1e-2_wd1e-3,0.01,0.001,1.6122,0.32901,81000
0,4,age_bin,ema_d0.99,0.01,0.0001,1.63597,0.33684,81000
0,4,age_bin,ema_d0.9999,0.01,0.0001,1.64805,0.33815,81000
0,4,age_bin,mlp_h16,0.001,0.0,1.12108,0.35427,81000
0,4,age_bin,mlp_h32,0.001,0.0,1.12532,0.3026,81000
0,4,age_bin,mlp_h64,0.001,0.0,1.10845,0.34686,81000
0,4,age_bin,mlp_h128,0.001,0.0,1.12186,0.3424,81000
0,4,age_bin,attention,0.0001,1e-05,414.49789,0.42969,81000
0,4,age_bin,shuffled,0.01,0.0001,1.66658,0.33525,81000
