model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
google/gemma-3-4b-pt,ema_lr1e-3,0,age_bin,0.41834,0.41611,,,,True
google/gemma-3-4b-pt,ema_lr5e-3,0,age_bin,0.44541,0.42407,,,,True
google/gemma-3-4b-pt,ema_lr1e-2,0,age_bin,0.42569,0.38622,,,,True
google/gemma-3-4b-pt,ema_lr5e-2,0,age_bin,0.42892,0.36729,,,,True
google/gemma-3-4b-pt,ema_lr1e-2_wd1e-3,0,age_bin,0.42352,0.37495,,,,True
google/gemma-3-4b-pt,ema_d0.99,0,age_bin,0.42407,0.37034,,,,True
google/gemma-3-4b-pt,ema_d0.9999,0,age_bin,0.42792,0.38926,,,,True
google/gemma-3-4b-pt,mlp_h16,0,age_bin,0.41394,0.35155,,,,True
google/gemma-3-4b-pt,mlp_h32,0,age_bin,0.42321,0.36632,,,,True
google/gemma-3-4b-pt,mlp_h64,0,age_bin,0.43032,0.37595,,,,True
google/gemma-3-4b-pt,mlp_h128,0,age_bin,0.43362,0.38159,,,,True
google/gemma-3-4b-pt,attention,0,age_bin,0.62137,0.62707,,,,True
google/gemma-3-4b-pt,shuffled,0,age_bin,0.33162,0.27322,,,,True
google/gemma-3-4b-pt,mm,0,age_bin,0.49358,0.49536,,,,True
google/gemma-3-4b-pt,ridge_0.01,0,age_bin,0.42266,0.35503,,,,True
google/gemma-3-4b-pt,ridge_0.1,0,age_bin,0.42084,0.35047,,,,False
google/gemma-3-4b-pt,ridge_1.0,0,age_bin,0.40455,0.32241,,,,False
google/gemma-3-4b-pt,ridge_10.0,0,age_bin,0.3744,0.27174,,,,False
google/gemma-3-4b-pt,ridge_100.0,0,age_bin,0.33353,0.17998,,,,False
google/gemma-3-4b-pt,ema_lr1e-3,0,gender,0.54408,0.54276,0.55319,,,True
google/gemma-3-4b-pt,ema_lr5e-3,0,gender,0.58502,0.57215,0.62323,,,True
google/gemma-3-4b-pt,ema_lr1e-2,0,gender,0.58701,0.56561,0.64336,,,True
google/gemma-3-4b-pt,ema_lr5e-2,0,gender,0.58728,0.55205,0.67432,,,True
google/gemma-3-4b-pt,ema_lr1e-2_wd1e-3,0,gender,0.58432,0.564,0.64094,,,True
google/gemma-3-4b-pt,ema_d0.99,0,gender,0.58993,0.56123,0.66245,,,True
google/gemma-3-4b-pt,ema_d0.9999,0,gender,0.58742,0.56724,0.63525,,,True
google/gemma-3-4b-pt,mlp_h16,0,gender,0.62182,0.61052,,,,True
google/gemma-3-4b-pt,mlp_h32,0,gender,0.61839,0.60505,,,,True
google/gemma-3-4b-pt,mlp_h64,0,gender,0.58936,0.55144,,,,True
google/gemma-3-4b-pt,mlp_h128,0,gender,0.58222,0.53865,,,,True
google/gemma-3-4b-pt,attention,0,gender,0.67241,0.67239,,,,True
google/gemma-3-4b-pt,shuffled,0,gender,0.51328,0.43424,,,,True
google/gemma-3-4b-pt,mm,0,gender,0.60547,0.60539,,,,True
google/gemma-3-4b-pt,ridge_0.01,0,gender,0.58816,0.55001,,,,True
google/gemma-3-4b-pt,ridge_0.1,0,gender,0.58465,0.54491,,,,False
google/gemma-3-4b-pt,ridge_1.0,0,gender,0.56899,0.51878,,,,False
google/gemma-3-4b-pt,ridge_10.0,0,gender,0.50696,0.39861,,,,False
google/gemma-3-4b-pt,ridge_100.0,0,gender,0.5,0.33382,,,,False
google/gemma-3-4b-pt,ema_lr1e-3,0,star_sign,0.07484,0.07322,,0.06955,0.0799,True
google/gemma-3-4b-pt,ema_lr5e-3,0,star_sign,0.08104,0.07794,,0.0755,0.08642,True
google/gemma-3-4b-pt,ema_lr1e-2,0,star_sign,0.08843,0.07483,,0.08296,0.09434,True
google/gemma-3-4b-pt,ema_lr5e-2,0,star_sign,0.07995,0.03972,,0.07602,0.08368,True
google/gemma-3-4b-pt,ema_lr1e-2_wd1e-3,0,star_sign,0.08022,0.06687,,0.0749,0.08509,True
google/gemma-3-4b-pt,ema_d0.99,0,star_sign,0.07863,0.05775,,0.07377,0.0834,True
google/gemma-3-4b-pt,ema_d0.9999,0,star_sign,0.08173,0.07372,,0.07622,0.0872,True
google/gemma-3-4b-pt,mlp_h16,0,star_sign,0.08577,0.02168,,,,True
google/gemma-3-4b-pt,mlp_h32,0,star_sign,0.08441,0.02134,,,,True
google/gemma-3-4b-pt,mlp_h64,0,star_sign,0.08294,0.02224,,,,True
google/gemma-3-4b-pt,mlp_h128,0,star_sign,0.08498,0.02383,,,,True
google/gemma-3-4b-pt,attention,0,star_sign,0.08209,0.07686,,,,True
google/gemma-3-4b-pt,shuffled,0,star_sign,0.0808,0.06633,,,,True
google/gemma-3-4b-pt,mm,0,star_sign,0.07036,0.04991,,,,True
google/gemma-3-4b-pt,ridge_0.01,0,star_sign,0.08559,0.02783,,,,True
google/gemma-3-4b-pt,ridge_0.1,0,star_sign,0.08497,0.02687,,,,False
google/gemma-3-4b-pt,ridge_1.0,0,star_sign,0.08384,0.02141,,,,False
google/gemma-3-4b-pt,ridge_10.0,0,star_sign,0.08336,0.01625,,,,False
google/gemma-3-4b-pt,ridge_100.0,0,star_sign,0.08333,0.01604,,,,False
google/gemma-3-4b-pt,ema_lr1e-3,4,age_bin,0.56398,0.55032,,,,True
google/gemma-3-4b-pt,ema_lr5e-3,4,age_bin,0.59924,0.59212,,,,True
google/gemma-3-4b-pt,ema_lr1e-2,4,age_bin,0.62168,0.6203,,,,True
google/gemma-3-4b-pt,ema_lr5e-2,4,age_bin,0.62603,0.63335,,,,True
google/gemma-3-4b-pt,ema_lr1e-2_wd1e-3,4,age_bin,0.62208,0.62072,,,,True
google/gemma-3-4b-pt,ema_d0.99,4,age_bin,0.62503,0.62915,,,,True
google/gemma-3-4b-pt,ema_d0.9999,4,age_bin,0.61851,0.6168,,,,True
google/gemma-3-4b-pt,mlp_h16,4,age_bin,0.63703,0.64552,,,,True
google/gemma-3-4b-pt,mlp_h32,4,age_bin,0.63829,0.64664,,,,True
google/gemma-3-4b-pt,mlp_h64,4,age_bin,0.6399,0.64818,,,,True
google/gemma-3-4b-pt,mlp_h128,4,age_bin,0.64407,0.65293,,,,True
google/gemma-3-4b-pt,attention,4,age_bin,0.33333,0.17185,,,,True
google/gemma-3-4b-pt,shuffled,4,age_bin,0.33543,0.27893,,,,True
google/gemma-3-4b-pt,mm,4,age_bin,0.38868,0.30854,,,,True
google/gemma-3-4b-pt,ridge_0.01,4,age_bin,0.62406,0.6264,,,,True
google/gemma-3-4b-pt,ridge_0.1,4,age_bin,0.61984,0.62225,,,,False
google/gemma-3-4b-pt,ridge_1.0,4,age_bin,0.58875,0.59054,,,,False
google/gemma-3-4b-pt,ridge_10.0,4,age_bin,0.45789,0.41138,,,,False
google/gemma-3-4b-pt,ridge_100.0,4,age_bin,0.36489,0.25221,,,,False
google/gemma-3-4b-pt,ema_lr1e-3,4,gender,0.60332,0.60278,0.63442,,,True
google/gemma-3-4b-pt,ema_lr5e-3,4,gender,0.65371,0.65315,0.71344,,,True
google/gemma-3-4b-pt,ema_lr1e-2,4,gender,0.67278,0.67192,0.73668,,,True
google/gemma-3-4b-pt,ema_lr5e-2,4,gender,0.67347,0.67236,0.74295,,,True
google/gemma-3-4b-pt,ema_lr1e-2_wd1e-3,4,gender,0.66975,0.66834,0.7401,,,True
google/gemma-3-4b-pt,ema_d0.99,4,gender,0.67337,0.67224,0.73799,,,True
google/gemma-3-4b-pt,ema_d0.9999,4,gender,0.66517,0.66409,0.7331,,,True
google/gemma-3-4b-pt,mlp_h16,4,gender,0.68071,0.68028,,,,True
google/gemma-3-4b-pt,mlp_h32,4,gender,0.67949,0.67875,,,,True
google/gemma-3-4b-pt,mlp_h64,4,gender,0.6805,0.67983,,,,True
google/gemma-3-4b-pt,mlp_h128,4,gender,0.68183,0.6815,,,,True
google/gemma-3-4b-pt,attention,4,gender,0.65862,0.65857,,,,True
google/gemma-3-4b-pt,shuffled,4,gender,0.50595,0.45887,,,,True
google/gemma-3-4b-pt,mm,4,gender,0.53776,0.45478,,,,True
google/gemma-3-4b-pt,ridge_0.01,4,gender,0.67417,0.67306,,,,True
google/gemma-3-4b-pt,ridge_0.1,4,gender,0.67266,0.67134,,,,False
google/gemma-3-4b-pt,ridge_1.0,4,gender,0.6594,0.65677,,,,False
google/gemma-3-4b-pt,ridge_10.0,4,gender,0.6313,0.61866,,,,False
google/gemma-3-4b-pt,ridge_100.0,4,gender,0.50421,0.34328,,,,False
google/gemma-3-4b-pt,ema_lr1e-3,4,star_sign,0.0868,0.08516,,0.08114,0.09251,True
google/gemma-3-4b-pt,ema_lr5e-3,4,star_sign,0.09327,0.08835,,0.08786,0.09862,True
google/gemma-3-4b-pt,ema_lr1e-2,4,star_sign,0.08882,0.08381,,0.0833,0.09417,True
google/gemma-3-4b-pt,ema_lr5e-2,4,star_sign,0.07969,0.061,,0.0748,0.08454,True
google/gemma-3-4b-pt,ema_lr1e-2_wd1e-3,4,star_sign,0.07155,0.06704,,0.0664,0.07663,True
google/gemma-3-4b-pt,ema_d0.99,4,star_sign,0.08733,0.07937,,0.08217,0.09258,True
google/gemma-3-4b-pt,ema_d0.9999,4,star_sign,0.0984,0.09038,,0.09254,0.10404,True
google/gemma-3-4b-pt,mlp_h16,4,star_sign,0.08946,0.05976,,,,True
google/gemma-3-4b-pt,mlp_h32,4,star_sign,0.06922,0.05095,,,,True
google/gemma-3-4b-pt,mlp_h64,4,star_sign,0.0709,0.05103,,,,True
google/gemma-3-4b-pt,mlp_h128,4,star_sign,0.07129,0.04955,,,,True
google/gemma-3-4b-pt,attention,4,star_sign,0.07551,0.05452,,,,True
google/gemma-3-4b-pt,shuffled,4,star_sign,0.08308,0.0788,,,,True
google/gemma-3-4b-pt,mm,4,star_sign,0.07831,0.02026,,,,True
google/gemma-3-4b-pt,ridge_0.01,4,star_sign,0.07937,0.0574,,,,False
google/gemma-3-4b-pt,ridge_0.1,4,star_sign,0.08149,0.05737,,,,False
google/gemma-3-4b-pt,ridge_1.0,4,star_sign,0.08902,0.05411,,,,False
google/gemma-3-4b-pt,ridge_10.0,4,star_sign,0.09992,0.049,,,,True
google/gemma-3-4b-pt,ridge_100.0,4,star_sign,0.08333,0.01604,,,,False
google/gemma-3-4b-pt,ema_lr1e-3,8,age_bin,0.61379,0.5946,,,,True
google/gemma-3-4b-pt,ema_lr5e-3,8,age_bin,0.68195,0.6658,,,,True
google/gemma-3-4b-pt,ema_lr1e-2,8,age_bin,0.69858,0.69339,,,,True
google/gemma-3-4b-pt,ema_lr5e-2,8,age_bin,0.71017,0.71446,,,,True
google/gemma-3-4b-pt,ema_lr1e-2_wd1e-3,8,age_bin,0.70046,0.69463,,,,True
google/gemma-3-4b-pt,ema_d0.99,8,age_bin,0.70812,0.70802,,,,True
google/gemma-3-4b-pt,ema_d0.9999,8,age_bin,0.69923,0.69313,,,,True
google/gemma-3-4b-pt,mlp_h16,8,age_bin,0.7104,0.71721,,,,True
google/gemma-3-4b-pt,mlp_h32,8,age_bin,0.71218,0.7191,,,,True
google/gemma-3-4b-pt,mlp_h64,8,age_bin,0.71198,0.71855,,,,True
google/gemma-3-4b-pt,mlp_h128,8,age_bin,0.71583,0.72092,,,,True
google/gemma-3-4b-pt,attention,8,age_bin,0.64896,0.64558,,,,True
google/gemma-3-4b-pt,shuffled,8,age_bin,0.33851,0.28482,,,,True
google/gemma-3-4b-pt,mm,8,age_bin,0.38157,0.30566,,,,True
google/gemma-3-4b-pt,ridge_0.01,8,age_bin,0.69794,0.6993,,,,True
google/gemma-3-4b-pt,ridge_0.1,8,age_bin,0.69874,0.69999,,,,False
google/gemma-3-4b-pt,ridge_1.0,8,age_bin,0.68667,0.68778,,,,False
google/gemma-3-4b-pt,ridge_10.0,8,age_bin,0.59204,0.59097,,,,False
google/gemma-3-4b-pt,ridge_100.0,8,age_bin,0.40796,0.31441,,,,False
google/gemma-3-4b-pt,ema_lr1e-3,8,gender,0.65668,0.65666,0.70798,,,True
google/gemma-3-4b-pt,ema_lr5e-3,8,gender,0.71351,0.71308,0.7842,,,True
google/gemma-3-4b-pt,ema_lr1e-2,8,gender,0.69786,0.69776,0.77942,,,True
google/gemma-3-4b-pt,ema_lr5e-2,8,gender,0.70184,0.70168,0.77724,,,True
google/gemma-3-4b-pt,ema_lr1e-2_wd1e-3,8,gender,0.69976,0.69969,0.76945,,,True
google/gemma-3-4b-pt,ema_d0.99,8,gender,0.70035,0.70019,0.78085,,,True
google/gemma-3-4b-pt,ema_d0.9999,8,gender,0.70006,0.7,0.78165,,,True
google/gemma-3-4b-pt,mlp_h16,8,gender,0.70919,0.70919,,,,True
google/gemma-3-4b-pt,mlp_h32,8,gender,0.71005,0.70992,,,,True
google/gemma-3-4b-pt,mlp_h64,8,gender,0.71065,0.71053,,,,True
google/gemma-3-4b-pt,mlp_h128,8,gender,0.7104,0.7104,,,,True
google/gemma-3-4b-pt,attention,8,gender,0.5,0.33284,,,,True
google/gemma-3-4b-pt,shuffled,8,gender,0.52198,0.50392,,,,True
google/gemma-3-4b-pt,mm,8,gender,0.5001,0.33307,,,,True
google/gemma-3-4b-pt,ridge_0.01,8,gender,0.70094,0.70077,,,,True
google/gemma-3-4b-pt,ridge_0.1,8,gender,0.70144,0.70126,,,,False
google/gemma-3-4b-pt,ridge_1.0,8,gender,0.69422,0.69386,,,,False
google/gemma-3-4b-pt,ridge_10.0,8,gender,0.66339,0.6603,,,,False
google/gemma-3-4b-pt,ridge_100.0,8,gender,0.55407,0.47946,,,,False
google/gemma-3-4b-pt,ema_lr1e-3,8,star_sign,0.08597,0.08403,,0.08005,0.09157,True
google/gemma-3-4b-pt,ema_lr5e-3,8,star_sign,0.08123,0.08051,,0.07582,0.08654,True
google/gemma-3-4b-pt,ema_lr1e-2,8,star_sign,0.0824,0.08082,,0.07702,0.08763,True
google/gemma-3-4b-pt,ema_lr5e-2,8,star_sign,0.07628,0.06986,,0.07111,0.08149,True
google/gemma-3-4b-pt,ema_lr1e-2_wd1e-3,8,star_sign,0.08587,0.08607,,0.0803,0.09102,True
google/gemma-3-4b-pt,ema_d0.99,8,star_sign,0.09272,0.08973,,0.08727,0.09832,True
google/gemma-3-4b-pt,ema_d0.9999,8,star_sign,0.08841,0.08556,,0.08281,0.0945,True
google/gemma-3-4b-pt,mlp_h16,8,star_sign,0.07044,0.06,,,,True
google/gemma-3-4b-pt,mlp_h32,8,star_sign,0.07192,0.06141,,,,True
google/gemma-3-4b-pt,mlp_h64,8,star_sign,0.07157,0.0618,,,,True
google/gemma-3-4b-pt,mlp_h128,8,star_sign,0.06963,0.06047,,,,True
google/gemma-3-4b-pt,attention,8,star_sign,0.08283,0.05684,,,,True
google/gemma-3-4b-pt,shuffled,8,star_sign,0.08947,0.08359,,,,True
google/gemma-3-4b-pt,mm,8,star_sign,0.08396,0.01621,,,,True
google/gemma-3-4b-pt,ridge_0.01,8,star_sign,0.0715,0.06099,,,,False
google/gemma-3-4b-pt,ridge_0.1,8,star_sign,0.07168,0.05986,,,,False
