model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
meta-llama/Llama-3.2-1B,ema_lr1e-3,0,age_bin,0.34624,0.33549,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,0,age_bin,0.3155,0.31676,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,0,age_bin,0.36335,0.36345,,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,0,age_bin,0.34952,0.29319,,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,0,age_bin,0.35032,0.34989,,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,0,age_bin,0.3388,0.33864,,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,0,age_bin,0.3828,0.38257,,,,True
meta-llama/Llama-3.2-1B,mlp_h16,0,age_bin,0.33333,0.21647,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,0,age_bin,0.33333,0.21647,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,0,age_bin,0.33333,0.21647,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,0,age_bin,0.33333,0.21647,,,,True
meta-llama/Llama-3.2-1B,attention,0,age_bin,0.33333,0.21647,,,,True
meta-llama/Llama-3.2-1B,shuffled,0,age_bin,0.35088,0.35047,,,,True
meta-llama/Llama-3.2-1B,mm,0,age_bin,0.41879,0.37395,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,0,age_bin,0.33333,0.21647,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,0,age_bin,0.33333,0.21647,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,0,age_bin,0.33333,0.21647,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,0,age_bin,0.33333,0.21647,,,,False
meta-llama/Llama-3.2-1B,ridge_100.0,0,age_bin,0.33333,0.21647,,,,False
meta-llama/Llama-3.2-1B,ema_lr1e-3,0,gender,0.4577,0.45708,0.4395,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-3,0,gender,0.525,0.52498,0.5355,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2,0,gender,0.51973,0.51965,0.527,,,True
meta-llama/Llama-3.2-1B,ema_lr5e-2,0,gender,0.58393,0.58259,0.58427,,,True
meta-llama/Llama-3.2-1B,ema_lr1e-2_wd1e-3,0,gender,0.49018,0.48952,0.5101,,,True
meta-llama/Llama-3.2-1B,ema_d0.99,0,gender,0.52689,0.52689,0.52385,,,True
meta-llama/Llama-3.2-1B,ema_d0.9999,0,gender,0.48168,0.48168,0.46809,,,True
meta-llama/Llama-3.2-1B,mlp_h16,0,gender,0.51519,0.37306,,,,True
meta-llama/Llama-3.2-1B,mlp_h32,0,gender,0.57654,0.53747,,,,True
meta-llama/Llama-3.2-1B,mlp_h64,0,gender,0.60252,0.59805,,,,True
meta-llama/Llama-3.2-1B,mlp_h128,0,gender,0.58263,0.54115,,,,True
meta-llama/Llama-3.2-1B,attention,0,gender,0.5,0.32916,,,,True
meta-llama/Llama-3.2-1B,shuffled,0,gender,0.51446,0.51426,,,,True
meta-llama/Llama-3.2-1B,mm,0,gender,0.56801,0.55595,,,,True
meta-llama/Llama-3.2-1B,ridge_0.01,0,gender,0.56468,0.48616,,,,True
meta-llama/Llama-3.2-1B,ridge_0.1,0,gender,0.55328,0.46209,,,,False
meta-llama/Llama-3.2-1B,ridge_1.0,0,gender,0.52187,0.38945,,,,False
meta-llama/Llama-3.2-1B,ridge_10.0,0,gender,0.5,0.32916,,,,False
