model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen2.5-3B,ema_lr1e-3,0,age_bin,0.32516,0.31966,,,,True
Qwen/Qwen2.5-3B,ema_lr5e-3,0,age_bin,0.34497,0.34484,,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2,0,age_bin,0.36587,0.36242,,,,True
Qwen/Qwen2.5-3B,ema_lr5e-2,0,age_bin,0.33216,0.2669,,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,0,age_bin,0.32394,0.31254,,,,True
Qwen/Qwen2.5-3B,ema_d0.99,0,age_bin,0.35049,0.33917,,,,True
Qwen/Qwen2.5-3B,ema_d0.9999,0,age_bin,0.32112,0.30633,,,,True
Qwen/Qwen2.5-3B,mlp_h16,0,age_bin,0.33333,0.21647,,,,True
Qwen/Qwen2.5-3B,mlp_h32,0,age_bin,0.33333,0.21647,,,,True
Qwen/Qwen2.5-3B,mlp_h64,0,age_bin,0.33333,0.21647,,,,True
Qwen/Qwen2.5-3B,mlp_h128,0,age_bin,0.33333,0.21647,,,,True
Qwen/Qwen2.5-3B,attention,0,age_bin,0.33333,0.21647,,,,True
Qwen/Qwen2.5-3B,shuffled,0,age_bin,0.36426,0.35735,,,,True
Qwen/Qwen2.5-3B,mm,0,age_bin,0.44385,0.38963,,,,True
Qwen/Qwen2.5-3B,ridge_0.01,0,age_bin,0.33333,0.21647,,,,True
Qwen/Qwen2.5-3B,ridge_0.1,0,age_bin,0.33333,0.21647,,,,False
Qwen/Qwen2.5-3B,ridge_1.0,0,age_bin,0.33333,0.21647,,,,False
Qwen/Qwen2.5-3B,ridge_10.0,0,age_bin,0.33333,0.21647,,,,False
Qwen/Qwen2.5-3B,ridge_100.0,0,age_bin,0.33333,0.21647,,,,False
Qwen/Qwen2.5-3B,ema_lr1e-3,0,gender,0.50154,0.50146,0.51383,,,True
Qwen/Qwen2.5-3B,ema_lr5e-3,0,gender,0.50536,0.50534,0.51814,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2,0,gender,0.50183,0.50143,0.51147,,,True
Qwen/Qwen2.5-3B,ema_lr5e-2,0,gender,0.54724,0.52917,0.574,,,True
Qwen/Qwen2.5-3B,ema_lr1e-2_wd1e-3,0,gender,0.52693,0.52692,0.53024,,,True
Qwen/Qwen2.5-3B,ema_d0.99,0,gender,0.52151,0.52109,0.51612,,,True
Qwen/Qwen2.5-3B,ema_d0.9999,0,gender,0.4901,0.48958,0.4866,,,True
Qwen/Qwen2.5-3B,mlp_h16,0,gender,0.58272,0.56507,,,,True
Qwen/Qwen2.5-3B,mlp_h32,0,gender,0.5,0.32916,,,,True
Qwen/Qwen2.5-3B,mlp_h64,0,gender,0.59612,0.59587,,,,True
Qwen/Qwen2.5-3B,mlp_h128,0,gender,0.57681,0.54793,,,,True
