model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
Qwen/Qwen3-0.6B-Base,ema_lr1e-3,0,age_bin,0.3151,0.3111,,,,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-3,0,age_bin,0.34419,0.34103,,,,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2,0,age_bin,0.3481,0.34703,,,,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-2,0,age_bin,0.33203,0.24295,,,,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2_wd1e-3,0,age_bin,0.32393,0.32321,,,,True
Qwen/Qwen3-0.6B-Base,ema_d0.99,0,age_bin,0.32583,0.32362,,,,True
Qwen/Qwen3-0.6B-Base,ema_d0.9999,0,age_bin,0.34704,0.34677,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h16,0,age_bin,0.33333,0.21647,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h32,0,age_bin,0.33333,0.21647,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h64,0,age_bin,0.33333,0.21647,,,,True
Qwen/Qwen3-0.6B-Base,mlp_h128,0,age_bin,0.33333,0.21647,,,,True
Qwen/Qwen3-0.6B-Base,attention,0,age_bin,0.33333,0.21647,,,,True
Qwen/Qwen3-0.6B-Base,shuffled,0,age_bin,0.3333,0.33332,,,,True
Qwen/Qwen3-0.6B-Base,mm,0,age_bin,0.44266,0.39168,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.01,0,age_bin,0.33333,0.21647,,,,True
Qwen/Qwen3-0.6B-Base,ridge_0.1,0,age_bin,0.33333,0.21647,,,,False
Qwen/Qwen3-0.6B-Base,ridge_1.0,0,age_bin,0.33333,0.21647,,,,False
Qwen/Qwen3-0.6B-Base,ridge_10.0,0,age_bin,0.33333,0.21647,,,,False
Qwen/Qwen3-0.6B-Base,ridge_100.0,0,age_bin,0.33333,0.21647,,,,False
Qwen/Qwen3-0.6B-Base,ema_lr1e-3,0,gender,0.48335,0.48257,0.4722,,,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-3,0,gender,0.55729,0.5573,0.55373,,,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2,0,gender,0.49089,0.49041,0.48818,,,True
Qwen/Qwen3-0.6B-Base,ema_lr5e-2,0,gender,0.51297,0.51195,0.52282,,,True
Qwen/Qwen3-0.6B-Base,ema_lr1e-2_wd1e-3,0,gender,0.51664,0.51615,0.50501,,,True
