model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
google/gemma-3-1b-pt,ema_lr1e-3,0,age_bin,0.30413,0.29921,,,,True
google/gemma-3-1b-pt,ema_lr5e-3,0,age_bin,0.31984,0.30849,,,,True
google/gemma-3-1b-pt,ema_lr1e-2,0,age_bin,0.36461,0.36406,,,,True
google/gemma-3-1b-pt,ema_lr5e-2,0,age_bin,0.33384,0.25902,,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,age_bin,0.36154,0.361,,,,True
google/gemma-3-1b-pt,ema_d0.99,0,age_bin,0.34683,0.34204,,,,True
google/gemma-3-1b-pt,ema_d0.9999,0,age_bin,0.31186,0.31196,,,,True
google/gemma-3-1b-pt,mlp_h16,0,age_bin,0.33333,0.21647,,,,True
google/gemma-3-1b-pt,mlp_h32,0,age_bin,0.33333,0.21647,,,,True
google/gemma-3-1b-pt,mlp_h64,0,age_bin,0.33333,0.21647,,,,True
google/gemma-3-1b-pt,mlp_h128,0,age_bin,0.33333,0.21647,,,,True
google/gemma-3-1b-pt,attention,0,age_bin,0.33751,0.25573,,,,True
google/gemma-3-1b-pt,shuffled,0,age_bin,0.32335,0.32363,,,,True
google/gemma-3-1b-pt,mm,0,age_bin,0.45136,0.4011,,,,True
google/gemma-3-1b-pt,ridge_0.01,0,age_bin,0.33333,0.21647,,,,True
google/gemma-3-1b-pt,ridge_0.1,0,age_bin,0.33333,0.21647,,,,False
google/gemma-3-1b-pt,ridge_1.0,0,age_bin,0.33333,0.21647,,,,False
google/gemma-3-1b-pt,ridge_10.0,0,age_bin,0.33333,0.21647,,,,False
google/gemma-3-1b-pt,ridge_100.0,0,age_bin,0.33333,0.21647,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,0,gender,0.51846,0.51818,0.51741,,,True
google/gemma-3-1b-pt,ema_lr5e-3,0,gender,0.51011,0.50885,0.50773,,,True
google/gemma-3-1b-pt,ema_lr1e-2,0,gender,0.52333,0.52311,0.55113,,,True
google/gemma-3-1b-pt,ema_lr5e-2,0,gender,0.48991,0.48708,0.49412,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,gender,0.47652,0.47562,0.4679,,,True
google/gemma-3-1b-pt,ema_d0.99,0,gender,0.51832,0.51819,0.51351,,,True
google/gemma-3-1b-pt,ema_d0.9999,0,gender,0.52923,0.52901,0.52307,,,True
google/gemma-3-1b-pt,mlp_h16,0,gender,0.59417,0.5916,,,,True
google/gemma-3-1b-pt,mlp_h32,0,gender,0.51213,0.3685,,,,True
google/gemma-3-1b-pt,mlp_h64,0,gender,0.5,0.33746,,,,True
google/gemma-3-1b-pt,mlp_h128,0,gender,0.502,0.34189,,,,True
google/gemma-3-1b-pt,attention,0,gender,0.58234,0.57466,,,,True
google/gemma-3-1b-pt,shuffled,0,gender,0.48365,0.48365,,,,True
google/gemma-3-1b-pt,mm,0,gender,0.55758,0.54814,,,,True
google/gemma-3-1b-pt,ridge_0.01,0,gender,0.5704,0.49723,,,,True
google/gemma-3-1b-pt,ridge_0.1,0,gender,0.55986,0.47822,,,,False
google/gemma-3-1b-pt,ridge_1.0,0,gender,0.51998,0.38423,,,,False
google/gemma-3-1b-pt,ridge_10.0,0,gender,0.5,0.32916,,,,False
google/gemma-3-1b-pt,ridge_100.0,0,gender,0.5,0.32916,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,0,star_sign,0.10226,0.01546,,0.08454,0.11996,True
google/gemma-3-1b-pt,ema_lr5e-3,0,star_sign,0.21731,0.02975,,0.19272,0.24287,True
google/gemma-3-1b-pt,ema_lr1e-2,0,star_sign,0.54376,0.0587,,0.51423,0.57426,True
google/gemma-3-1b-pt,ema_lr5e-2,0,star_sign,0.99902,0.49975,,0.99705,1.0,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,0,star_sign,0.52212,0.05717,,0.48867,0.55165,True
google/gemma-3-1b-pt,ema_d0.99,0,star_sign,0.54966,0.05912,,0.52013,0.57918,True
google/gemma-3-1b-pt,ema_d0.9999,0,star_sign,0.54277,0.05864,,0.51229,0.57328,True
google/gemma-3-1b-pt,mlp_h16,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h32,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h64,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,mlp_h128,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,attention,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,shuffled,0,star_sign,0.5821,0.06132,,,,True
google/gemma-3-1b-pt,mm,0,star_sign,0.99902,0.49975,,,,True
google/gemma-3-1b-pt,ridge_0.01,0,star_sign,1.0,1.0,,,,True
google/gemma-3-1b-pt,ridge_0.1,0,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_1.0,0,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_10.0,0,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ridge_100.0,0,star_sign,1.0,1.0,,,,False
google/gemma-3-1b-pt,ema_lr1e-3,4,age_bin,0.33473,0.32123,,,,True
google/gemma-3-1b-pt,ema_lr5e-3,4,age_bin,0.31198,0.30701,,,,True
google/gemma-3-1b-pt,ema_lr1e-2,4,age_bin,0.34319,0.34128,,,,True
google/gemma-3-1b-pt,ema_lr5e-2,4,age_bin,0.36128,0.34164,,,,True
google/gemma-3-1b-pt,ema_lr1e-2_wd1e-3,4,age_bin,0.32004,0.31754,,,,True
google/gemma-3-1b-pt,ema_d0.99,4,age_bin,0.34565,0.34324,,,,True
google/gemma-3-1b-pt,ema_d0.9999,4,age_bin,0.3406,0.33893,,,,True
google/gemma-3-1b-pt,mlp_h16,4,age_bin,0.33333,0.21647,,,,True
google/gemma-3-1b-pt,mlp_h32,4,age_bin,0.34155,0.23972,,,,True
google/gemma-3-1b-pt,mlp_h64,4,age_bin,0.34292,0.24343,,,,True
google/gemma-3-1b-pt,mlp_h128,4,age_bin,0.34053,0.23778,,,,True
google/gemma-3-1b-pt,attention,4,age_bin,0.33333,0.21647,,,,True
google/gemma-3-1b-pt,shuffled,4,age_bin,0.33713,0.33177,,,,True
google/gemma-3-1b-pt,mm,4,age_bin,0.42651,0.37089,,,,True
google/gemma-3-1b-pt,ridge_0.01,4,age_bin,0.34155,0.2398,,,,False
google/gemma-3-1b-pt,ridge_0.1,4,age_bin,0.33881,0.23225,,,,True
google/gemma-3-1b-pt,ridge_1.0,4,age_bin,0.33333,0.21647,,,,False
google/gemma-3-1b-pt,ridge_10.0,4,age_bin,0.33333,0.21647,,,,False
google/gemma-3-1b-pt,ridge_100.0,4,age_bin,0.33333,0.21647,,,,False
