model_name,strategy,layer,task,text_balanced_acc,macro_f1,auc_roc,bootstrap_ci_lo,bootstrap_ci_hi,val_selected
EleutherAI/pythia-1b,ema_lr1e-3,0,age_bin,0.35451,0.33361,,,,True
EleutherAI/pythia-1b,ema_lr5e-3,0,age_bin,0.38936,0.37866,,,,True
EleutherAI/pythia-1b,ema_lr1e-2,0,age_bin,0.33727,0.33739,,,,True
EleutherAI/pythia-1b,ema_lr5e-2,0,age_bin,0.33605,0.24789,,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,age_bin,0.34336,0.34203,,,,True
EleutherAI/pythia-1b,ema_d0.99,0,age_bin,0.38274,0.38261,,,,True
EleutherAI/pythia-1b,ema_d0.9999,0,age_bin,0.33819,0.3385,,,,True
EleutherAI/pythia-1b,mlp_h16,0,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-1b,mlp_h32,0,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-1b,mlp_h64,0,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-1b,mlp_h128,0,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-1b,attention,0,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-1b,shuffled,0,age_bin,0.31519,0.31538,,,,True
EleutherAI/pythia-1b,mm,0,age_bin,0.44755,0.42336,,,,True
EleutherAI/pythia-1b,ridge_0.01,0,age_bin,0.33333,0.21647,,,,True
EleutherAI/pythia-1b,ridge_0.1,0,age_bin,0.33333,0.21647,,,,False
EleutherAI/pythia-1b,ridge_1.0,0,age_bin,0.33333,0.21647,,,,False
EleutherAI/pythia-1b,ridge_10.0,0,age_bin,0.33333,0.21647,,,,False
EleutherAI/pythia-1b,ridge_100.0,0,age_bin,0.33333,0.21647,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,0,gender,0.51086,0.51076,0.52178,,,True
EleutherAI/pythia-1b,ema_lr5e-3,0,gender,0.49345,0.49345,0.48275,,,True
EleutherAI/pythia-1b,ema_lr1e-2,0,gender,0.48332,0.4832,0.46944,,,True
EleutherAI/pythia-1b,ema_lr5e-2,0,gender,0.51383,0.51375,0.54023,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,gender,0.49427,0.49424,0.50612,,,True
EleutherAI/pythia-1b,ema_d0.99,0,gender,0.5328,0.53279,0.54606,,,True
EleutherAI/pythia-1b,ema_d0.9999,0,gender,0.4812,0.48077,0.48197,,,True
EleutherAI/pythia-1b,mlp_h16,0,gender,0.5,0.32916,,,,True
EleutherAI/pythia-1b,mlp_h32,0,gender,0.5,0.32916,,,,True
EleutherAI/pythia-1b,mlp_h64,0,gender,0.5,0.32916,,,,True
EleutherAI/pythia-1b,mlp_h128,0,gender,0.61275,0.61239,,,,True
EleutherAI/pythia-1b,attention,0,gender,0.5,0.32916,,,,True
EleutherAI/pythia-1b,shuffled,0,gender,0.48707,0.48675,,,,True
EleutherAI/pythia-1b,mm,0,gender,0.5621,0.52702,,,,True
EleutherAI/pythia-1b,ridge_0.01,0,gender,0.56743,0.49425,,,,True
EleutherAI/pythia-1b,ridge_0.1,0,gender,0.56383,0.4819,,,,False
EleutherAI/pythia-1b,ridge_1.0,0,gender,0.53616,0.42352,,,,False
EleutherAI/pythia-1b,ridge_10.0,0,gender,0.5,0.32916,,,,False
EleutherAI/pythia-1b,ridge_100.0,0,gender,0.5,0.32916,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,0,star_sign,0.10914,0.0164,,0.08948,0.12783,True
EleutherAI/pythia-1b,ema_lr5e-3,0,star_sign,0.23107,0.03128,,0.20551,0.25664,True
EleutherAI/pythia-1b,ema_lr1e-2,0,star_sign,0.56441,0.06013,,0.53392,0.59587,True
EleutherAI/pythia-1b,ema_lr5e-2,0,star_sign,1.0,1.0,,1.0,1.0,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,0,star_sign,0.5998,0.06249,,0.5703,0.63029,True
EleutherAI/pythia-1b,ema_d0.99,0,star_sign,0.60865,0.06306,,0.58014,0.63815,True
EleutherAI/pythia-1b,ema_d0.9999,0,star_sign,0.55162,0.05925,,0.52114,0.58112,True
EleutherAI/pythia-1b,mlp_h16,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,mlp_h32,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,mlp_h64,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,mlp_h128,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,attention,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,shuffled,0,star_sign,0.58112,0.06126,,,,True
EleutherAI/pythia-1b,mm,0,star_sign,0.99902,0.49975,,,,True
EleutherAI/pythia-1b,ridge_0.01,0,star_sign,1.0,1.0,,,,True
EleutherAI/pythia-1b,ridge_0.1,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-1b,ridge_1.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-1b,ridge_10.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-1b,ridge_100.0,0,star_sign,1.0,1.0,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,4,age_bin,0.34759,0.33621,,,,True
EleutherAI/pythia-1b,ema_lr5e-3,4,age_bin,0.39412,0.37728,,,,True
EleutherAI/pythia-1b,ema_lr1e-2,4,age_bin,0.38322,0.37862,,,,True
EleutherAI/pythia-1b,ema_lr5e-2,4,age_bin,0.39071,0.38797,,,,True
EleutherAI/pythia-1b,ema_lr1e-2_wd1e-3,4,age_bin,0.37198,0.36484,,,,True
EleutherAI/pythia-1b,ema_d0.99,4,age_bin,0.38014,0.37576,,,,True
EleutherAI/pythia-1b,ema_d0.9999,4,age_bin,0.37279,0.36433,,,,True
EleutherAI/pythia-1b,mlp_h16,4,age_bin,0.34141,0.23565,,,,True
EleutherAI/pythia-1b,mlp_h32,4,age_bin,0.36995,0.30179,,,,True
EleutherAI/pythia-1b,mlp_h64,4,age_bin,0.3751,0.31561,,,,True
EleutherAI/pythia-1b,mlp_h128,4,age_bin,0.39607,0.36244,,,,True
EleutherAI/pythia-1b,attention,4,age_bin,0.33951,0.24196,,,,True
EleutherAI/pythia-1b,shuffled,4,age_bin,0.31965,0.31941,,,,True
EleutherAI/pythia-1b,mm,4,age_bin,0.33851,0.12594,,,,True
EleutherAI/pythia-1b,ridge_0.01,4,age_bin,0.36454,0.28879,,,,True
EleutherAI/pythia-1b,ridge_0.1,4,age_bin,0.35202,0.26311,,,,False
EleutherAI/pythia-1b,ridge_1.0,4,age_bin,0.33675,0.22495,,,,False
EleutherAI/pythia-1b,ridge_10.0,4,age_bin,0.33333,0.21647,,,,False
EleutherAI/pythia-1b,ridge_100.0,4,age_bin,0.33333,0.21647,,,,False
EleutherAI/pythia-1b,ema_lr1e-3,4,gender,0.5094,0.50731,0.50171,,,True
EleutherAI/pythia-1b,ema_lr5e-3,4,gender,0.53915,0.53884,0.5618,,,True
